Actual,Predicted,Model
2,1,RidgeClassifier
2,2,RidgeClassifier
2,2,RidgeClassifier
1,1,RidgeClassifier
2,2,RidgeClassifier
1,1,RidgeClassifier
1,1,RidgeClassifier
2,2,RidgeClassifier
1,1,RidgeClassifier
1,1,RidgeClassifier
1,1,RidgeClassifier
2,2,RidgeClassifier
1,1,RidgeClassifier
2,2,RidgeClassifier
0,2,RidgeClassifier
1,1,RidgeClassifier
2,2,RidgeClassifier
1,1,RidgeClassifier
1,1,RidgeClassifier
2,2,RidgeClassifier
1,1,RidgeClassifier
2,2,DecisionTreeClassifier
2,2,DecisionTreeClassifier
2,2,DecisionTreeClassifier
1,1,DecisionTreeClassifier
2,2,DecisionTreeClassifier
1,1,DecisionTreeClassifier
1,1,DecisionTreeClassifier
2,2,DecisionTreeClassifier
1,1,DecisionTreeClassifier
1,0,DecisionTreeClassifier
1,2,DecisionTreeClassifier
2,2,DecisionTreeClassifier
1,1,DecisionTreeClassifier
2,2,DecisionTreeClassifier
0,1,DecisionTreeClassifier
1,1,DecisionTreeClassifier
2,2,DecisionTreeClassifier
1,1,DecisionTreeClassifier
1,1,DecisionTreeClassifier
2,1,DecisionTreeClassifier
1,1,DecisionTreeClassifier
2,2,GradientBoostingClassifier
2,2,GradientBoostingClassifier
2,2,GradientBoostingClassifier
1,1,GradientBoostingClassifier
2,2,GradientBoostingClassifier
1,1,GradientBoostingClassifier
1,1,GradientBoostingClassifier
2,2,GradientBoostingClassifier
1,1,GradientBoostingClassifier
1,1,GradientBoostingClassifier
1,1,GradientBoostingClassifier
2,0,GradientBoostingClassifier
1,1,GradientBoostingClassifier
2,2,GradientBoostingClassifier
0,1,GradientBoostingClassifier
1,1,GradientBoostingClassifier
2,0,GradientBoostingClassifier
1,1,GradientBoostingClassifier
1,1,GradientBoostingClassifier
2,1,GradientBoostingClassifier
1,1,GradientBoostingClassifier
2,2,RandomForestClassifier
2,2,RandomForestClassifier
2,2,RandomForestClassifier
1,1,RandomForestClassifier
2,2,RandomForestClassifier
1,1,RandomForestClassifier
1,1,RandomForestClassifier
2,2,RandomForestClassifier
1,1,RandomForestClassifier
1,1,RandomForestClassifier
1,1,RandomForestClassifier
2,2,RandomForestClassifier
1,1,RandomForestClassifier
2,2,RandomForestClassifier
0,1,RandomForestClassifier
1,1,RandomForestClassifier
2,2,RandomForestClassifier
1,1,RandomForestClassifier
1,1,RandomForestClassifier
2,2,RandomForestClassifier
1,1,RandomForestClassifier
2,2,AdaBoostClassifier
2,2,AdaBoostClassifier
2,2,AdaBoostClassifier
1,1,AdaBoostClassifier
2,2,AdaBoostClassifier
1,1,AdaBoostClassifier
1,2,AdaBoostClassifier
2,2,AdaBoostClassifier
1,1,AdaBoostClassifier
1,1,AdaBoostClassifier
1,1,AdaBoostClassifier
2,2,AdaBoostClassifier
1,1,AdaBoostClassifier
2,2,AdaBoostClassifier
0,1,AdaBoostClassifier
1,1,AdaBoostClassifier
2,2,AdaBoostClassifier
1,1,AdaBoostClassifier
1,1,AdaBoostClassifier
2,2,AdaBoostClassifier
1,1,AdaBoostClassifier
2,2,KNeighborsClassifier
2,2,KNeighborsClassifier
2,2,KNeighborsClassifier
1,1,KNeighborsClassifier
2,2,KNeighborsClassifier
1,1,KNeighborsClassifier
1,1,KNeighborsClassifier
2,2,KNeighborsClassifier
1,1,KNeighborsClassifier
1,1,KNeighborsClassifier
1,1,KNeighborsClassifier
2,2,KNeighborsClassifier
1,1,KNeighborsClassifier
2,2,KNeighborsClassifier
0,1,KNeighborsClassifier
1,1,KNeighborsClassifier
2,2,KNeighborsClassifier
1,1,KNeighborsClassifier
1,1,KNeighborsClassifier
2,2,KNeighborsClassifier
1,1,KNeighborsClassifier
2,2,MLPClassifier
2,2,MLPClassifier
2,2,MLPClassifier
1,1,MLPClassifier
2,2,MLPClassifier
1,1,MLPClassifier
1,2,MLPClassifier
2,2,MLPClassifier
1,2,MLPClassifier
1,1,MLPClassifier
1,1,MLPClassifier
2,2,MLPClassifier
1,1,MLPClassifier
2,2,MLPClassifier
0,1,MLPClassifier
1,2,MLPClassifier
