Actual,Predicted,Model
0,1,RidgeClassifier
0,0,RidgeClassifier
0,0,RidgeClassifier
2,2,RidgeClassifier
2,2,RidgeClassifier
2,1,RidgeClassifier
2,2,RidgeClassifier
0,0,RidgeClassifier
1,2,RidgeClassifier
2,2,RidgeClassifier
1,2,RidgeClassifier
0,0,RidgeClassifier
1,2,RidgeClassifier
0,0,RidgeClassifier
2,2,RidgeClassifier
1,2,RidgeClassifier
0,0,RidgeClassifier
2,1,RidgeClassifier
2,2,RidgeClassifier
1,1,RidgeClassifier
2,1,RidgeClassifier
0,0,DecisionTreeClassifier
0,0,DecisionTreeClassifier
0,0,DecisionTreeClassifier
2,2,DecisionTreeClassifier
2,2,DecisionTreeClassifier
2,2,DecisionTreeClassifier
2,2,DecisionTreeClassifier
0,0,DecisionTreeClassifier
1,1,DecisionTreeClassifier
2,1,DecisionTreeClassifier
1,1,DecisionTreeClassifier
0,0,DecisionTreeClassifier
1,1,DecisionTreeClassifier
0,0,DecisionTreeClassifier
2,2,DecisionTreeClassifier
1,2,DecisionTreeClassifier
0,0,DecisionTreeClassifier
2,2,DecisionTreeClassifier
2,2,DecisionTreeClassifier
1,1,DecisionTreeClassifier
2,2,DecisionTreeClassifier
0,0,GradientBoostingClassifier
0,0,GradientBoostingClassifier
0,0,GradientBoostingClassifier
2,2,GradientBoostingClassifier
2,2,GradientBoostingClassifier
2,2,GradientBoostingClassifier
2,2,GradientBoostingClassifier
0,0,GradientBoostingClassifier
1,1,GradientBoostingClassifier
2,2,GradientBoostingClassifier
1,1,GradientBoostingClassifier
0,0,GradientBoostingClassifier
1,1,GradientBoostingClassifier
0,0,GradientBoostingClassifier
2,2,GradientBoostingClassifier
1,2,GradientBoostingClassifier
0,0,GradientBoostingClassifier
2,2,GradientBoostingClassifier
2,2,GradientBoostingClassifier
1,1,GradientBoostingClassifier
2,2,GradientBoostingClassifier
0,0,RandomForestClassifier
0,0,RandomForestClassifier
0,0,RandomForestClassifier
2,2,RandomForestClassifier
2,2,RandomForestClassifier
2,2,RandomForestClassifier
2,2,RandomForestClassifier
0,0,RandomForestClassifier
1,1,RandomForestClassifier
2,2,RandomForestClassifier
1,1,RandomForestClassifier
0,0,RandomForestClassifier
1,1,RandomForestClassifier
