Actual,Predicted,Model
0.0,0.0,RidgeClassifier
0.0,0.0,RidgeClassifier
0.0,0.0,RidgeClassifier
2.0,2.0,RidgeClassifier
2.0,2.0,RidgeClassifier
2.0,2.0,RidgeClassifier
2.0,2.0,RidgeClassifier
0.0,0.0,RidgeClassifier
1.0,2.0,RidgeClassifier
2.0,2.0,RidgeClassifier
1.0,2.0,RidgeClassifier
0.0,1.0,RidgeClassifier
1.0,2.0,RidgeClassifier
0.0,0.0,RidgeClassifier
2.0,2.0,RidgeClassifier
1.0,2.0,RidgeClassifier
0.0,0.0,RidgeClassifier
2.0,2.0,RidgeClassifier
2.0,2.0,RidgeClassifier
1.0,1.0,RidgeClassifier
2.0,2.0,RidgeClassifier
0.0,0.0,DecisionTreeClassifier
0.0,0.0,DecisionTreeClassifier
0.0,0.0,DecisionTreeClassifier
2.0,2.0,DecisionTreeClassifier
2.0,2.0,DecisionTreeClassifier
2.0,2.0,DecisionTreeClassifier
2.0,2.0,DecisionTreeClassifier
0.0,0.0,DecisionTreeClassifier
1.0,1.0,DecisionTreeClassifier
2.0,2.0,DecisionTreeClassifier
1.0,1.0,DecisionTreeClassifier
0.0,0.0,DecisionTreeClassifier
1.0,1.0,DecisionTreeClassifier
0.0,0.0,DecisionTreeClassifier
2.0,2.0,DecisionTreeClassifier
1.0,2.0,DecisionTreeClassifier
0.0,0.0,DecisionTreeClassifier
2.0,2.0,DecisionTreeClassifier
2.0,2.0,DecisionTreeClassifier
1.0,1.0,DecisionTreeClassifier
2.0,2.0,DecisionTreeClassifier
0.0,0.0,GradientBoostingClassifier
0.0,0.0,GradientBoostingClassifier
0.0,0.0,GradientBoostingClassifier
2.0,2.0,GradientBoostingClassifier
2.0,2.0,GradientBoostingClassifier
2.0,2.0,GradientBoostingClassifier
2.0,2.0,GradientBoostingClassifier
0.0,0.0,GradientBoostingClassifier
1.0,1.0,GradientBoostingClassifier
2.0,2.0,GradientBoostingClassifier
1.0,1.0,GradientBoostingClassifier
0.0,0.0,GradientBoostingClassifier
1.0,1.0,GradientBoostingClassifier
0.0,0.0,GradientBoostingClassifier
2.0,2.0,GradientBoostingClassifier
1.0,2.0,GradientBoostingClassifier
0.0,0.0,GradientBoostingClassifier
2.0,2.0,GradientBoostingClassifier
2.0,2.0,GradientBoostingClassifier
1.0,1.0,GradientBoostingClassifier
2.0,2.0,GradientBoostingClassifier
0.0,0.0,RandomForestClassifier
0.0,0.0,RandomForestClassifier
0.0,0.0,RandomForestClassifier
2.0,2.0,RandomForestClassifier
2.0,2.0,RandomForestClassifier
2.0,2.0,RandomForestClassifier
2.0,2.0,RandomForestClassifier
0.0,0.0,RandomForestClassifier
1.0,1.0,RandomForestClassifier
2.0,2.0,RandomForestClassifier
1.0,1.0,RandomForestClassifier
0.0,0.0,RandomForestClassifier
1.0,1.0,RandomForestClassifier
0.0,0.0,RandomForestClassifier
2.0,2.0,RandomForestClassifier
1.0,2.0,RandomForestClassifier
0.0,0.0,RandomForestClassifier
2.0,2.0,RandomForestClassifier
2.0,2.0,RandomForestClassifier
1.0,1.0,RandomForestClassifier
2.0,2.0,RandomForestClassifier
0.0,0.0,AdaBoostClassifier
0.0,0.0,AdaBoostClassifier
0.0,0.0,AdaBoostClassifier
2.0,2.0,AdaBoostClassifier
2.0,2.0,AdaBoostClassifier
2.0,2.0,AdaBoostClassifier
2.0,2.0,AdaBoostClassifier
0.0,0.0,AdaBoostClassifier
1.0,1.0,AdaBoostClassifier
2.0,2.0,AdaBoostClassifier
1.0,1.0,AdaBoostClassifier
0.0,0.0,AdaBoostClassifier
1.0,1.0,AdaBoostClassifier
0.0,0.0,AdaBoostClassifier
2.0,2.0,AdaBoostClassifier
1.0,2.0,AdaBoostClassifier
0.0,0.0,AdaBoostClassifier
2.0,2.0,AdaBoostClassifier
2.0,2.0,AdaBoostClassifier
1.0,1.0,AdaBoostClassifier
2.0,2.0,AdaBoostClassifier
0.0,2.0,KNeighborsClassifier
0.0,0.0,KNeighborsClassifier
0.0,0.0,KNeighborsClassifier
2.0,2.0,KNeighborsClassifier
2.0,0.0,KNeighborsClassifier
2.0,2.0,KNeighborsClassifier
2.0,2.0,KNeighborsClassifier
0.0,0.0,KNeighborsClassifier
1.0,2.0,KNeighborsClassifier
2.0,2.0,KNeighborsClassifier
1.0,2.0,KNeighborsClassifier
0.0,0.0,KNeighborsClassifier
1.0,2.0,KNeighborsClassifier
0.0,0.0,KNeighborsClassifier
2.0,2.0,KNeighborsClassifier
1.0,2.0,KNeighborsClassifier
0.0,2.0,KNeighborsClassifier
2.0,2.0,KNeighborsClassifier
2.0,2.0,KNeighborsClassifier
1.0,0.0,KNeighborsClassifier
2.0,2.0,KNeighborsClassifier
0.0,0.0,MLPClassifier
0.0,0.0,MLPClassifier
0.0,0.0,MLPClassifier
2.0,2.0,MLPClassifier
2.0,2.0,MLPClassifier
2.0,2.0,MLPClassifier
2.0,2.0,MLPClassifier
0.0,0.0,MLPClassifier
1.0,1.0,MLPClassifier
2.0,2.0,MLPClassifier
1.0,1.0,MLPClassifier
0.0,0.0,MLPClassifier
1.0,1.0,MLPClassifier
0.0,0.0,MLPClassifier
2.0,2.0,MLPClassifier
1.0,2.0,MLPClassifier
0.0,0.0,MLPClassifier
2.0,2.0,MLPClassifier
2.0,2.0,MLPClassifier
1.0,1.0,MLPClassifier
2.0,2.0,MLPClassifier
0.0,0.0,LogisticRegression
0.0,0.0,LogisticRegression
0.0,0.0,LogisticRegression
2.0,2.0,LogisticRegression
2.0,2.0,LogisticRegression
2.0,2.0,LogisticRegression
2.0,2.0,LogisticRegression
0.0,0.0,LogisticRegression
1.0,1.0,LogisticRegression
2.0,2.0,LogisticRegression
1.0,1.0,LogisticRegression
0.0,0.0,LogisticRegression
1.0,1.0,LogisticRegression
0.0,0.0,LogisticRegression
2.0,2.0,LogisticRegression
1.0,2.0,LogisticRegression
0.0,0.0,LogisticRegression
2.0,2.0,LogisticRegression
2.0,2.0,LogisticRegression
1.0,1.0,LogisticRegression
2.0,2.0,LogisticRegression
0.0,0.0,SGDClassifier
0.0,0.0,SGDClassifier
0.0,0.0,SGDClassifier
2.0,2.0,SGDClassifier
2.0,2.0,SGDClassifier
2.0,2.0,SGDClassifier
2.0,2.0,SGDClassifier
0.0,0.0,SGDClassifier
1.0,2.0,SGDClassifier
2.0,2.0,SGDClassifier
1.0,2.0,SGDClassifier
0.0,0.0,SGDClassifier
1.0,1.0,SGDClassifier
0.0,0.0,SGDClassifier
2.0,2.0,SGDClassifier
1.0,2.0,SGDClassifier
