id,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF30,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit,Provincial_Class,Federal_Class,Regime,Vegetation_Type,Vegetation_Cover,Woody_Canopy_Cover,Moss_Cover,Phragmites,Soil_Type,Surface_Water_Present,Saturation_Depth,Living_Moss_Depth,Organic_Depth,Hydrogeomorphic_Class
213.0,4.0,5.0,5.0,6.0,0.0,0.0,4.0,1.0,1.0,5.0,4.0,4.0,2.0,5.0,1.0,0.07,0.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,2272.0,1.0,0.0,1.0,1.0,-0.7632280651740659,0.08948418016382548,4.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,80.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,3.0,3.0,5.0,0.02664775509805324,0.0,6.751679050434599,211.09339960912877,0.42226405085632723,0.6563713269833054,0.333333333,0.009581757252785844,0.23204212540454788,0.028439283734227612,2.094,10.0,3.815,5.702,4.12,4.094,4.748,7.164,6.176,10.0,0.0,0.0,1.304625673647199,0.8568077558634044,0.8110510272289615,3.0,1.0,0.04898052778354428,1.0,4.0,1.8534406170523656,0.0,0.0,5.179385628267365
258.0,4.0,5.0,5.0,4.0,3.0,0.0,4.0,4.0,3.0,1.0,5.0,2.0,3.0,5.0,1.0,0.22,0.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,2272.0,2.0,0.0,0.0,0.0,-0.2667033731909778,1.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0,5.0,1.0,5.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,4.0,5.0,1.0,4.0,3.0,2.0,3.0,2.0,5.0,0.0,2.0,6.025083521807632,213.80771999365786,0.40138300042682507,0.6770148266912954,0.333333333,-0.14401991596704367,0.19721743180424306,0.3484121536529464,1.098,10.0,4.198,4.893,3.422,1.124,4.517,2.64,4.88,4.028,5.0,9.0,1.3471598842752783,1.303816454595762,0.5708824660187055,0.0,1.0,0.0617016996270372,1.0,4.0,1.8387584715851497,0.0,0.0,5.794268247586482
220.0,4.0,5.0,5.0,6.0,1.0,0.0,5.0,1.0,1.0,5.0,6.0,3.0,2.0,5.0,4.0,0.13,0.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,2314.0,2.0,0.0,1.0,1.0,1.0,0.07928217794881587,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,2.0,0.0,5.0,2.0,3.0,0.04589118088896532,0.0,5.523895563368714,216.91064412070213,1.0,0.7576108400901154,0.5,0.08434901684380813,-0.29192323632412603,0.22174241426974486,1.395,1.575,4.537,6.614,3.431,4.462,6.606,7.808,5.678,10.0,2.0,3.0,1.304825039393175,1.2656583187048238,0.9953604098065505,0.0,3.0,0.05621669853060558,2.0,4.0,1.90354599714584,4.0,126.0,5.749544299071071
468.0,1.0,5.0,6.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,4.0,6.0,6.0,2.0,2.0,0.0356,0.0,4.0,4.0,2.0,2.0,3.0,3.0,6.0,2180.0,0.0,0.0,0.0,0.3974513178352743,0.0824310448644403,0.05528355243155872,4.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,3.0,224.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,3.0,2.0,4.0,1.0,2.0,5.0,6.0,4.0,1.0,1.0,4.0,2.0,7.0,0.01818999825367132,1.0,5.201452355885158,180.65912262892311,0.18863309944556814,0.7462921496842247,0.666666667,0.16733980674533183,-0.01797621590387749,-0.048589993563092314,3.726,4.071,3.924,2.268,3.066,1.062,7.084,1.939,4.226,10.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,5.0,80.7,4.0
501.0,2.0,4.0,4.0,6.0,2.0,1.0,4.0,1.0,3.0,5.0,6.0,4.0,6.0,2.0,2.0,0.08,0.0,4.0,4.0,1.0,3.0,1.0,2.0,4.0,2062.0,2.0,0.0,0.0,0.5041942861528074,0.28801659793106094,0.033706509939288865,4.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,80.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,3.0,2.0,4.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,5.0,2.0,7.0,-0.010702238057917493,0.0,6.689054671806657,175.6973031106945,0.1450736238428619,0.6441425205309161,0.333333333,-0.1514965984791397,0.14662653111060847,0.026004116780105148,3.019,6.66,4.648,6.771,4.145,5.14,4.586,8.217,4.514,7.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,9.0,9.0
275.0,1.0,5.0,5.0,3.0,2.0,0.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,2.0,2.0,0.49,0.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,1846.0,2.0,0.0,0.0,0.42090483294117187,0.4616839002227966,0.02877080596807058,3.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,2.0,104.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,6.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,1.0,5.916496526133594,156.74761950361733,0.22575298509259875,0.41828507033242723,0.0,0.08863903531240747,0.086339975761271,0.05732988164630693,2.648,1.85,5.49,6.072,4.492,3.894,5.072,5.981,5.283,4.167,2.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,61.7,4.0
349.0,3.0,3.0,4.0,7.0,1.0,3.0,3.0,4.0,3.0,6.0,7.0,3.0,5.0,2.0,4.0,0.3008,0.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0,1936.0,2.0,0.0,0.0,0.3754636354462251,-0.1964051095432624,0.0,3.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,192.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0020408388375386666,1.0,6.83,160.3006734299029,0.19336219746580866,0.49471817237346305,0.5,0.010135516018493662,0.1541395076996008,0.039081836202009064,3.121,2.602,5.597,7.392,5.159,4.458,6.746,7.047,5.585,5.972,2.0,3.0,2.0,1.0,0.7823628208531206,0.0,1.0,0.0,0.0,2.0,2.0,-1.0787647402441474,26.7,9.0
355.0,1.0,4.0,5.0,6.0,3.0,3.0,4.0,5.0,3.0,6.0,7.0,4.0,6.0,2.0,2.0,0.51,0.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,1657.0,2.0,0.0,0.0,0.592844223633221,0.8941198595703184,-0.0016521025839116021,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,64.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,-0.017120839511404168,1.0,6.14289838953276,134.88874593111862,0.10750387646438228,0.30679301976244755,0.0,-0.08197271970848337,0.11821031343793836,0.025927280883576632,2.417,3.15,6.037,6.317,3.75,4.122,6.093,6.381,4.404,5.417,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,32.0,0.0
169.0,3.0,5.0,7.0,1.0,0.0,0.0,4.0,4.0,3.0,5.0,7.0,6.0,6.0,5.0,4.0,0.43,0.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,1342.0,0.0,0.0,0.0,0.26375834969219303,0.546013981235161,0.0,4.0,3.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,63.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,2.0,3.0,2.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,0.0,7.35,380.0,0.0,0.0,0.0,0.0,0.0,0.0,3.323,1.075,7.028,3.235,3.995,3.922,4.94,6.031,5.031,4.167,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.3,40.0,2.0
102.0,4.0,5.0,7.0,1.0,0.0,0.0,5.0,4.0,3.0,1.0,5.0,2.0,4.0,5.0,4.0,0.52,0.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,1985.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,63.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,1.0,6.56,81.0,0.0,0.0,0.0,-0.11573470815049411,0.062076838947748986,0.0699861938280951,4.865,2.04,2.934,2.597,3.788,3.985,4.394,6.236,5.282,4.444,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,18.3,7.0
