id,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF30,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit,Provincial_Class,Federal_Class,Regime,Vegetation_Type,Vegetation_Cover,Woody_Canopy_Cover,Moss_Cover,Phragmites,Soil_Type,Surface_Water_Present,Saturation_Depth,Living_Moss_Depth,Organic_Depth,Hydrogeomorphic_Class
100.0,2.0,5.0,7.0,1.0,0.0,0.0,5.0,1.0,2.0,1.0,4.0,3.0,5.0,5.0,4.0,0.54,0.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0,1887.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,42.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,6.67,186.0,0.0,0.0,0.0,0.013733527587904137,0.003391641497449749,0.1282795382756194,5.537,2.537,5.474,2.358,3.211,4.168,4.224,5.876,2.726,6.41,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,42.3,4.0
102.0,4.0,5.0,7.0,1.0,0.0,0.0,5.0,4.0,3.0,1.0,5.0,2.0,4.0,5.0,4.0,0.52,0.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,1985.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,63.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,1.0,6.56,81.0,0.0,0.0,0.0,-0.10578112262084874,0.06364517513709583,0.0669612387131796,4.67,1.972,3.807,3.613,1.946,4.21,2.927,6.042,2.004,4.017,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,18.3,7.0
105.0,3.0,5.0,7.0,1.0,3.0,0.0,5.0,5.0,3.0,5.0,3.0,6.0,5.0,5.0,4.0,0.82,0.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,1408.0,2.0,0.0,0.0,0.45859055928345205,0.8427164534348854,0.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,192.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,0.0,1.0,5.158539237296581,106.9950049603546,0.1725546803104346,0.04157979781184795,0.0,0.18315237823562386,0.23663302826690447,-0.17732139523687096,6.546,1.983,0.901,0.0,10.0,-0.293,10.0,-0.064,10.0,0.128,1.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,2.0,4.7,90.967987580466,4.0
110.0,3.0,5.0,7.0,1.0,3.0,0.0,4.0,5.0,3.0,2.0,4.0,5.0,6.0,5.0,4.0,0.23,0.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,1624.0,0.0,0.0,0.0,0.36547755092003475,0.3203661627282033,0.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,72.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,4.0,1.0,2.0,5.0,2.0,4.0,3.0,2.0,3.0,1.0,7.0,0.0,0.0,5.48,139.8612644396575,0.0,0.0,0.0,0.08539936611025745,0.13578167025614335,0.03217488900129862,7.486,2.396,0.933,0.0,10.0,0.343,10.0,1.142,10.0,2.564,1.0,5.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,3.3,33.0,4.0
111.0,3.0,4.0,6.0,4.0,3.0,0.0,4.0,1.0,2.0,3.0,6.0,6.0,2.0,5.0,4.0,0.16,0.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,2075.0,0.0,0.0,0.0,1.0,-0.04493800700794859,0.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,2.0,160.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,0.0,1.0,7.0,1.0,0.0,7.12,184.5839740300254,0.0,0.0,0.0,0.16796874057955763,-0.02732789764038468,-0.09396641033933534,6.151,0.319,1.108,0.0,10.0,0.085,10.0,1.098,10.0,6.41,1.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,4.3,124.3,5.0
113.0,3.0,5.0,7.0,1.0,3.0,0.0,4.0,5.0,3.0,5.0,5.0,4.0,6.0,5.0,4.0,0.7,0.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,1579.0,2.0,0.0,0.0,0.4190305137921294,0.41139666922629914,0.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,64.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,4.0,3.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,4.0,1.0,3.0,0.0,1.0,5.95,105.0,0.0,0.0,0.0,0.09025018480496366,0.17436643536448804,0.1503308195032083,5.125,2.336,4.565,3.01,4.57,0.107,4.003,0.65,3.483,2.222,2.0,4.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,2.0,2.306243694729848,20.0,4.0
114.0,4.0,5.0,7.0,1.0,3.0,0.0,5.0,5.0,3.0,5.0,3.0,6.0,6.0,3.0,4.0,0.51,0.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,1698.0,0.0,0.0,0.0,0.32789079726181125,0.12723108874115452,0.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,224.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,6.0,1.0,7.0,0.0,1.0,3.9,90.0,0.0,0.0,0.0,0.062079362697408574,0.20525588086637667,-0.19460050706545812,4.541,1.201,4.836,1.39,2.472,-0.115,4.695,0.208,1.336,0.192,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,9.137507680119933,55.0,5.0
127.0,4.0,5.0,7.0,1.0,3.0,0.0,4.0,5.0,3.0,4.0,3.0,4.0,6.0,4.0,4.0,0.51,0.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,1624.0,2.0,0.0,0.0,0.5694679278242922,1.7334318951207535,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,6.0,1.0,7.0,0.0,2.0,6.07,41.0,0.0,0.15848222728268846,0.0,0.0,0.0,0.0,4.403,1.201,4.241,2.977,2.583,0.219,4.727,0.5,2.549,1.026,1.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,7.7,77.66966154551699,4.0
128.0,4.0,5.0,7.0,1.0,0.0,0.0,4.0,5.0,3.0,4.0,5.0,3.0,6.0,5.0,4.0,0.76,0.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,1579.0,0.0,0.0,0.0,0.24984144439064548,0.04518583380171126,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,192.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,1.0,5.0,4.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,3.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,1.0,3.96,230.0,0.0,0.0,0.0,0.1510799095460137,0.1818823909717047,-0.07470784598629165,6.928,1.831,0.0,0.0,10.0,-0.259,10.0,-0.011,10.0,0.128,4.0,6.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,5.636510230981404,58.3,4.0
12.0,4.0,5.0,7.0,1.0,3.0,0.0,4.0,5.0,3.0,4.0,6.0,4.0,6.0,5.0,4.0,0.66,0.0,0.0,0.0,2.0,1.0,3.0,2.0,4.0,1357.0,0.0,0.0,0.0,0.725928154038114,3.9655220790422927,0.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,2.0,128.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,1.0,5.0,3.0,5.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,6.0,1.0,7.0,0.0,1.0,4.16,52.0,1.0,0.0,0.0,0.271086828800228,-0.6377494512964758,-0.6692199858098286,4.329,1.579,4.722,2.541,4.206,11.453,4.931,10.0,2.411,10.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,9.0,399.0,0.0
