Actual,Predicted,Model
6.301,5.73043726758633,Ridge
10.0,9.714227529234195,Ridge
10.0,9.546762629554824,Ridge
10.0,9.286868260776508,Ridge
10.0,10.672196592845655,Ridge
4.231,5.646970560689965,Ridge
6.191,5.400841337315666,Ridge
10.0,8.351044478739658,Ridge
5.282,6.917190958250824,Ridge
10.0,8.760556216336251,Ridge
5.926,5.928098363086627,Ridge
4.253,5.2757589464279,Ridge
4.138,5.312330185205038,Ridge
4.682,4.482215776352544,Ridge
5.508,8.7405961707432,Ridge
5.947,3.2871768142582702,Ridge
5.429,6.287778697485244,Ridge
6.028,5.544958207549353,Ridge
10.0,11.913287362483171,Ridge
4.929,5.148927213876026,Ridge
4.798,4.538593112091928,Ridge
6.301,787.732,DecisionTreeRegressor
10.0,6.071,DecisionTreeRegressor
10.0,4.716,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,5.479,DecisionTreeRegressor
4.231,4.226,DecisionTreeRegressor
6.191,6.376,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,5.708,DecisionTreeRegressor
10.0,5.45,DecisionTreeRegressor
5.926,5.698,DecisionTreeRegressor
4.253,5.712,DecisionTreeRegressor
4.138,5.698,DecisionTreeRegressor
4.682,5.134,DecisionTreeRegressor
5.508,5.698,DecisionTreeRegressor
5.947,6.201,DecisionTreeRegressor
5.429,5.744,DecisionTreeRegressor
6.028,5.698,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,5.712,DecisionTreeRegressor
4.798,4.989,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,4.929,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.231,7.52375,RandomForestRegressor
6.191,4.929,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,4.665,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,5.0075,RandomForestRegressor
4.253,4.1850000000000005,RandomForestRegressor
4.138,4.1850000000000005,RandomForestRegressor
4.682,5.192,RandomForestRegressor
5.508,5.5597142857142865,RandomForestRegressor
5.947,6.3844,RandomForestRegressor
5.429,5.925,RandomForestRegressor
6.028,5.5597142857142865,RandomForestRegressor
10.0,4.778666666666666,RandomForestRegressor
4.929,5.383,RandomForestRegressor
4.798,5.648571428571429,RandomForestRegressor
6.301,5.6469772727272725,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,4.571060606060605,AdaBoostRegressor
6.191,5.6469772727272725,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.6469772727272725,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.6469772727272725,AdaBoostRegressor
4.253,4.571060606060605,AdaBoostRegressor
4.138,4.571060606060605,AdaBoostRegressor
4.682,4.571060606060605,AdaBoostRegressor
5.508,5.6469772727272725,AdaBoostRegressor
5.947,4.571060606060605,AdaBoostRegressor
5.429,4.571060606060605,AdaBoostRegressor
6.028,5.6469772727272725,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,4.571060606060605,AdaBoostRegressor
4.798,5.6469772727272725,AdaBoostRegressor
6.301,6.044754585167503,KNeighborsRegressor
10.0,9.521823690048441,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,9.075717901314267,KNeighborsRegressor
10.0,5.965498982050456,KNeighborsRegressor
4.231,6.199486849428602,KNeighborsRegressor
6.191,5.874132580027121,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.282,6.423193762887002,KNeighborsRegressor
10.0,9.203281125906528,KNeighborsRegressor
5.926,5.630407467248233,KNeighborsRegressor
4.253,5.761511025377443,KNeighborsRegressor
4.138,5.076760810185514,KNeighborsRegressor
4.682,4.880905963951128,KNeighborsRegressor
5.508,7.092536823049665,KNeighborsRegressor
5.947,6.2711698394214075,KNeighborsRegressor
5.429,5.346249917575669,KNeighborsRegressor
6.028,5.71849660664572,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
4.929,7.690212236974366,KNeighborsRegressor
4.798,6.61664247237908,KNeighborsRegressor
6.301,6.062903865039941,MLPRegressor
10.0,4.241564617399862,MLPRegressor
10.0,8.235563194665916,MLPRegressor
10.0,4.1016207233934585,MLPRegressor
10.0,6.708869073345025,MLPRegressor
4.231,11.963069608035285,MLPRegressor
6.191,-5.458928631086612,MLPRegressor
10.0,3.374279229271751,MLPRegressor
5.282,18.91631866962997,MLPRegressor
10.0,2.216189750439924,MLPRegressor
5.926,2.1204017325921076,MLPRegressor
4.253,11.532497403964738,MLPRegressor
4.138,12.626381039036799,MLPRegressor
4.682,9.943818562627657,MLPRegressor
5.508,11.735168080129291,MLPRegressor
5.947,3.236519048355619,MLPRegressor
5.429,0.7126710978414432,MLPRegressor
6.028,10.908113961045077,MLPRegressor
10.0,14.124269877686796,MLPRegressor
4.929,2.50802934110409,MLPRegressor
4.798,4.4563641586212315,MLPRegressor
6.301,13.137996662752911,ElasticNet
10.0,6.1113158678119,ElasticNet
10.0,5.361691967554374,ElasticNet
10.0,4.71888437166684,ElasticNet
10.0,12.260985602805883,ElasticNet
4.231,14.071630614872168,ElasticNet
6.191,24.973379657471334,ElasticNet
10.0,4.153384939242229,ElasticNet
5.282,6.130350778163772,ElasticNet
10.0,7.399878608297099,ElasticNet
5.926,6.183249022405703,ElasticNet
4.253,4.717386986133303,ElasticNet
4.138,40.58579586492618,ElasticNet
4.682,6.346429293901213,ElasticNet
5.508,5.565029189225419,ElasticNet
5.947,4.527968869871467,ElasticNet
5.429,4.461357290494404,ElasticNet
6.028,6.701760858517829,ElasticNet
10.0,6.451742166884512,ElasticNet
4.929,6.559430666604002,ElasticNet
4.798,5.875309697225194,ElasticNet
6.301,5.8264778522375735,SGDRegressor
10.0,9.475784305929267,SGDRegressor
10.0,9.872797066069003,SGDRegressor
10.0,9.671938397875458,SGDRegressor
10.0,10.903084631116648,SGDRegressor
4.231,5.666382429528982,SGDRegressor
6.191,5.288703474863491,SGDRegressor
10.0,8.160263558238366,SGDRegressor
5.282,7.381816344679202,SGDRegressor
10.0,8.493220446510355,SGDRegressor
5.926,6.203427420586987,SGDRegressor
4.253,4.358494131625444,SGDRegressor
4.138,5.636723994628461,SGDRegressor
4.682,4.5767003125097965,SGDRegressor
5.508,8.864501126932922,SGDRegressor
5.947,4.333292485936863,SGDRegressor
5.429,6.020707506566714,SGDRegressor
6.028,5.485880716090104,SGDRegressor
10.0,12.563377201666132,SGDRegressor
4.929,4.519746179777407,SGDRegressor
4.798,4.12329271406537,SGDRegressor
6.301,5.674445585822802,BayesianRidge
10.0,9.803720791513967,BayesianRidge
10.0,9.54509562999518,BayesianRidge
10.0,9.400300298513272,BayesianRidge
10.0,10.751220202975718,BayesianRidge
4.231,5.433555368805011,BayesianRidge
6.191,5.601610314943848,BayesianRidge
10.0,8.369263184595582,BayesianRidge
5.282,6.7597460005573975,BayesianRidge
10.0,8.830885542893197,BayesianRidge
5.926,6.031516996940477,BayesianRidge
4.253,5.154208980715876,BayesianRidge
4.138,4.97474946789771,BayesianRidge
4.682,4.520054359653293,BayesianRidge
5.508,8.782491604075629,BayesianRidge
5.947,3.217457004087593,BayesianRidge
5.429,6.411489198621636,BayesianRidge
6.028,5.371564933274767,BayesianRidge
10.0,11.787860618361453,BayesianRidge
4.929,5.295847332485559,BayesianRidge
4.798,4.564113511111402,BayesianRidge
6.301,5.668116261484101,KernelRidge
10.0,9.812841073726304,KernelRidge
10.0,9.542924927125569,KernelRidge
10.0,9.411159587529255,KernelRidge
10.0,10.756794707034715,KernelRidge
4.231,5.418025873164879,KernelRidge
6.191,5.618835666100495,KernelRidge
10.0,8.374004324199632,KernelRidge
5.282,6.744371118664276,KernelRidge
10.0,8.841438251314685,KernelRidge
5.926,6.037458882143255,KernelRidge
4.253,5.146735487272963,KernelRidge
4.138,4.950580039527267,KernelRidge
4.682,4.517495957115898,KernelRidge
5.508,8.787331395637011,KernelRidge
5.947,3.2106895185715985,KernelRidge
5.429,6.418786846334115,KernelRidge
6.028,5.3528686479257885,KernelRidge
10.0,11.77567484822066,KernelRidge
4.929,5.308950449107215,KernelRidge
4.798,4.569166425731964,KernelRidge
6.301,6.886274890653096,LinearRegression
10.0,8.211575507405419,LinearRegression
10.0,9.34908796547196,LinearRegression
10.0,8.873939410480835,LinearRegression
10.0,11.593472498491844,LinearRegression
4.231,3.47282230058834,LinearRegression
6.191,6.8135348192807985,LinearRegression
10.0,8.28475721557599,LinearRegression
5.282,6.325604429406139,LinearRegression
10.0,8.418281177167957,LinearRegression
5.926,4.245538300777847,LinearRegression
4.253,3.918794081526996,LinearRegression
4.138,4.544117407652225,LinearRegression
4.682,5.473890733989932,LinearRegression
5.508,4.890787374147012,LinearRegression
5.947,5.87338917743486,LinearRegression
5.429,5.25330818283081,LinearRegression
6.028,5.2666697483518625,LinearRegression
10.0,10.892573058759139,LinearRegression
4.929,4.407467852224028,LinearRegression
4.798,4.572474631243606,LinearRegression
6.301,7.860142654470579,RANSACRegressor
10.0,7.717994665703337,RANSACRegressor
10.0,10.445222646842645,RANSACRegressor
10.0,5.805424178789281,RANSACRegressor
10.0,12.168957611794916,RANSACRegressor
4.231,-3.854488382553292,RANSACRegressor
6.191,4.6914452226841235,RANSACRegressor
10.0,9.299975960472999,RANSACRegressor
5.282,6.2809750109368,RANSACRegressor
10.0,8.602795127587868,RANSACRegressor
5.926,3.3362287387169545,RANSACRegressor
4.253,0.696931255300612,RANSACRegressor
4.138,1.3508976999793134,RANSACRegressor
4.682,1.7941015698920424,RANSACRegressor
5.508,2.5768581583489762,RANSACRegressor
5.947,6.400485267194128,RANSACRegressor
5.429,4.772933754037545,RANSACRegressor
6.028,4.36955060453603,RANSACRegressor
10.0,15.148761888480923,RANSACRegressor
4.929,4.424368847290829,RANSACRegressor
