Actual,Predicted,Model
6.301,6.1092667034716825,Ridge
10.0,9.687653529974378,Ridge
10.0,9.890533410350372,Ridge
10.0,9.612207833286657,Ridge
10.0,10.396645057428515,Ridge
4.231,5.350092077784972,Ridge
6.191,6.0270310993018406,Ridge
10.0,9.029168290591084,Ridge
5.282,6.855867784723242,Ridge
10.0,9.2500170764878,Ridge
5.926,5.358654349305977,Ridge
4.253,5.669112691520164,Ridge
4.138,4.434872472761807,Ridge
4.682,3.954411021477422,Ridge
5.508,6.702167786316349,Ridge
5.947,4.734998745065978,Ridge
5.429,5.961139476253239,Ridge
6.028,4.794432525141454,Ridge
10.0,11.821943025631587,Ridge
4.929,5.159665533469875,Ridge
4.798,5.006550178042392,Ridge
6.301,5.2785,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,5.445,DecisionTreeRegressor
6.191,5.404,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,6.188,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,5.9085,DecisionTreeRegressor
4.253,4.213,DecisionTreeRegressor
4.138,4.989,DecisionTreeRegressor
4.682,5.6145,DecisionTreeRegressor
5.508,5.522,DecisionTreeRegressor
5.947,2.942,DecisionTreeRegressor
5.429,4.459,DecisionTreeRegressor
6.028,5.9085,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,6.0305,DecisionTreeRegressor
4.798,5.5975,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,6.0068,RandomForestRegressor
10.0,8.075333333333333,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,5.866750000000001,RandomForestRegressor
4.231,4.936249999999999,RandomForestRegressor
6.191,5.330800000000001,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,4.962666666666666,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,5.330800000000001,RandomForestRegressor
4.253,10.0,RandomForestRegressor
4.138,4.716,RandomForestRegressor
4.682,5.161666666666666,RandomForestRegressor
5.508,6.226999999999999,RandomForestRegressor
5.947,10.0,RandomForestRegressor
5.429,5.161666666666666,RandomForestRegressor
6.028,5.24475,RandomForestRegressor
10.0,4.47325,RandomForestRegressor
4.929,5.24475,RandomForestRegressor
4.798,5.7467999999999995,RandomForestRegressor
6.301,5.759485294117645,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,4.936499999999999,AdaBoostRegressor
6.191,5.759485294117645,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,4.936499999999999,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.759485294117645,AdaBoostRegressor
4.253,4.936499999999999,AdaBoostRegressor
4.138,4.936499999999999,AdaBoostRegressor
4.682,4.936499999999999,AdaBoostRegressor
5.508,5.759485294117645,AdaBoostRegressor
5.947,4.936499999999999,AdaBoostRegressor
5.429,4.936499999999999,AdaBoostRegressor
6.028,5.759485294117645,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,4.936499999999999,AdaBoostRegressor
4.798,4.936499999999999,AdaBoostRegressor
6.301,6.006283971317483,KNeighborsRegressor
10.0,8.901078245564635,KNeighborsRegressor
10.0,8.542769649855114,KNeighborsRegressor
10.0,9.073214594966911,KNeighborsRegressor
10.0,6.0501599554666585,KNeighborsRegressor
4.231,5.781136744987921,KNeighborsRegressor
6.191,5.855171127840571,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.282,6.910890590352994,KNeighborsRegressor
10.0,9.168046126142253,KNeighborsRegressor
5.926,5.869459967854002,KNeighborsRegressor
4.253,5.176000574535449,KNeighborsRegressor
4.138,4.985969713213051,KNeighborsRegressor
4.682,4.9892699243533425,KNeighborsRegressor
5.508,6.571757293660732,KNeighborsRegressor
5.947,7.026180276022521,KNeighborsRegressor
5.429,5.2287823830292535,KNeighborsRegressor
6.028,5.917535665035759,KNeighborsRegressor
10.0,9.515629399618438,KNeighborsRegressor
4.929,7.41054017128379,KNeighborsRegressor
4.798,7.141617094886692,KNeighborsRegressor
6.301,8.415663407805216,MLPRegressor
10.0,9.532721113039434,MLPRegressor
10.0,9.67319303866551,MLPRegressor
10.0,9.754249940456175,MLPRegressor
10.0,10.459049469273634,MLPRegressor
4.231,7.908635985399225,MLPRegressor
6.191,8.318401503182072,MLPRegressor
10.0,9.692686637550986,MLPRegressor
5.282,7.402161173447305,MLPRegressor
10.0,8.931482714747876,MLPRegressor
5.926,6.314275831147284,MLPRegressor
4.253,6.492082603322432,MLPRegressor
4.138,8.230003571308545,MLPRegressor
4.682,7.046341955464686,MLPRegressor
5.508,7.792383677434281,MLPRegressor
5.947,9.37230173623622,MLPRegressor
5.429,7.155052140202092,MLPRegressor
6.028,7.092797299608221,MLPRegressor
10.0,12.34260952068499,MLPRegressor
4.929,7.406888427690533,MLPRegressor
4.798,6.136311922898356,MLPRegressor
6.301,13.438555305159994,ElasticNet
10.0,6.10693531684367,ElasticNet
10.0,5.135150789103707,ElasticNet
10.0,4.683182229246643,ElasticNet
10.0,12.3974731643481,ElasticNet
4.231,13.926334614103682,ElasticNet
6.191,25.587468812961752,ElasticNet
10.0,4.573058470328359,ElasticNet
5.282,5.687599749952518,ElasticNet
10.0,7.572583850971077,ElasticNet
5.926,6.766437657186314,ElasticNet
4.253,4.90816432189476,ElasticNet
4.138,40.31110376902123,ElasticNet
4.682,6.263666147373557,ElasticNet
5.508,5.903222344162573,ElasticNet
5.947,4.615882913507796,ElasticNet
5.429,4.827769370313922,ElasticNet
6.028,6.864471475316085,ElasticNet
10.0,6.448572477978949,ElasticNet
4.929,6.171748987038884,ElasticNet
4.798,6.324601312298334,ElasticNet
6.301,6.4164270603281395,SGDRegressor
10.0,9.227902033585638,SGDRegressor
10.0,10.272342534161131,SGDRegressor
10.0,9.151581823665882,SGDRegressor
10.0,10.449686965400222,SGDRegressor
4.231,5.9850815660117656,SGDRegressor
6.191,6.353337060147459,SGDRegressor
10.0,9.413559007471346,SGDRegressor
5.282,6.55144411292478,SGDRegressor
10.0,9.718619448037959,SGDRegressor
5.926,4.7338935056837315,SGDRegressor
4.253,5.623583173937067,SGDRegressor
4.138,5.589895269549133,SGDRegressor
4.682,3.3697036840762156,SGDRegressor
5.508,6.3735492349581735,SGDRegressor
5.947,5.781342933964352,SGDRegressor
5.429,5.498111098653095,SGDRegressor
6.028,4.558439292411222,SGDRegressor
10.0,12.059384182825024,SGDRegressor
4.929,5.647809842204817,SGDRegressor
4.798,5.420050549389952,SGDRegressor
6.301,5.966490704586325,BayesianRidge
10.0,9.846650716248362,BayesianRidge
10.0,9.860183963874626,BayesianRidge
10.0,9.814790710768523,BayesianRidge
10.0,10.316590635453457,BayesianRidge
4.231,5.301708111454562,BayesianRidge
6.191,6.031070635029013,BayesianRidge
10.0,9.065535785701126,BayesianRidge
5.282,6.847888660215345,BayesianRidge
10.0,9.360184145906635,BayesianRidge
5.926,5.481973449061328,BayesianRidge
4.253,5.586615937577899,BayesianRidge
4.138,4.637452346327657,BayesianRidge
4.682,4.387617691010862,BayesianRidge
5.508,6.718969648950816,BayesianRidge
5.947,4.69846453060613,BayesianRidge
5.429,5.853574644294001,BayesianRidge
6.028,4.609055773868879,BayesianRidge
10.0,12.085340376318566,BayesianRidge
4.929,5.092685355258856,BayesianRidge
4.798,5.244134012417518,BayesianRidge
6.301,6.21671809820595,KernelRidge
10.0,6.15083775650152,KernelRidge
10.0,7.175974948167131,KernelRidge
10.0,6.952522460500894,KernelRidge
10.0,5.311329429698405,KernelRidge
4.231,8.610807043881977,KernelRidge
6.191,6.706662878782773,KernelRidge
10.0,8.664345510060938,KernelRidge
5.282,6.28967926239792,KernelRidge
10.0,8.280555718507514,KernelRidge
5.926,6.480930452775719,KernelRidge
4.253,5.722728138088367,KernelRidge
4.138,4.396176371872266,KernelRidge
4.682,5.1944099260925825,KernelRidge
5.508,3.975050236511871,KernelRidge
5.947,4.66717600894597,KernelRidge
5.429,6.44222909781056,KernelRidge
6.028,5.298170114903396,KernelRidge
10.0,8.541852044984815,KernelRidge
4.929,2.972707345750459,KernelRidge
4.798,7.2199392116524574,KernelRidge
6.301,6.701707426180866,LinearRegression
10.0,9.108862772852556,LinearRegression
10.0,9.635645320094405,LinearRegression
10.0,9.383171051965292,LinearRegression
10.0,11.537569900493258,LinearRegression
4.231,3.1869705109150006,LinearRegression
6.191,7.1312916996508395,LinearRegression
10.0,7.776903720411993,LinearRegression
5.282,6.71474928489736,LinearRegression
