Actual,Predicted,Model
6.301,6.004591688592911,Ridge
10.0,9.417827787115705,Ridge
10.0,10.231329348184543,Ridge
10.0,10.284330069781621,Ridge
10.0,10.9429211346739,Ridge
4.231,6.0717795268347245,Ridge
6.191,5.2233296360371675,Ridge
10.0,9.128314542727697,Ridge
5.282,6.408201407794608,Ridge
10.0,9.332138517325939,Ridge
5.926,5.714175802000899,Ridge
4.253,5.31183563434209,Ridge
4.138,5.735790710567419,Ridge
4.682,4.280171490398412,Ridge
5.508,7.506311412462628,Ridge
5.947,4.139877698387825,Ridge
5.429,5.554208783577607,Ridge
6.028,5.04114079275531,Ridge
10.0,11.170165680308427,Ridge
4.929,5.744578991457167,Ridge
4.798,5.364177616519318,Ridge
6.301,6.356,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,5.762,DecisionTreeRegressor
6.191,5.9670000000000005,DecisionTreeRegressor
10.0,5.762,DecisionTreeRegressor
5.282,5.3309999999999995,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,5.531,DecisionTreeRegressor
4.253,4.816,DecisionTreeRegressor
4.138,4.816,DecisionTreeRegressor
4.682,4.514,DecisionTreeRegressor
5.508,4.331,DecisionTreeRegressor
5.947,4.716,DecisionTreeRegressor
5.429,5.468,DecisionTreeRegressor
6.028,5.531,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,5.863,DecisionTreeRegressor
4.798,5.687,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,5.189,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,5.189,RandomForestRegressor
4.231,4.88,RandomForestRegressor
6.191,5.189,RandomForestRegressor
10.0,4.905,RandomForestRegressor
5.282,5.468,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,6.1645,RandomForestRegressor
4.253,5.385,RandomForestRegressor
4.138,3.855,RandomForestRegressor
4.682,4.726,RandomForestRegressor
5.508,5.189,RandomForestRegressor
5.947,5.574,RandomForestRegressor
5.429,5.479,RandomForestRegressor
6.028,5.189,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,5.468,RandomForestRegressor
4.798,5.719,RandomForestRegressor
6.301,5.820541666666665,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,787.732,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,5.820541666666665,AdaBoostRegressor
6.191,5.820541666666665,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.820541666666665,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.820541666666665,AdaBoostRegressor
4.253,5.088783333333334,AdaBoostRegressor
4.138,5.820541666666665,AdaBoostRegressor
4.682,5.088783333333334,AdaBoostRegressor
5.508,5.088783333333334,AdaBoostRegressor
5.947,5.820541666666665,AdaBoostRegressor
5.429,5.820541666666665,AdaBoostRegressor
6.028,787.732,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,5.820541666666665,AdaBoostRegressor
4.798,5.820541666666665,AdaBoostRegressor
6.301,5.955965887154734,KNeighborsRegressor
10.0,9.05312271052809,KNeighborsRegressor
10.0,9.520732004649721,KNeighborsRegressor
10.0,9.483817969310138,KNeighborsRegressor
10.0,6.047932508383705,KNeighborsRegressor
4.231,6.147356745357586,KNeighborsRegressor
6.191,5.834397383397473,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.282,6.866603033797987,KNeighborsRegressor
10.0,9.552977422943785,KNeighborsRegressor
5.926,5.6964495509965545,KNeighborsRegressor
4.253,5.720135807639706,KNeighborsRegressor
4.138,5.08113607669752,KNeighborsRegressor
4.682,5.13406822533481,KNeighborsRegressor
5.508,5.695783006149258,KNeighborsRegressor
5.947,6.608713195212112,KNeighborsRegressor
5.429,5.368314747054402,KNeighborsRegressor
6.028,6.3764780310616445,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.929,7.69862547630205,KNeighborsRegressor
4.798,6.730802640454663,KNeighborsRegressor
6.301,5.791029825253251,MLPRegressor
10.0,9.537472664996697,MLPRegressor
10.0,10.201066421695057,MLPRegressor
10.0,10.40890101056485,MLPRegressor
10.0,11.108661927383274,MLPRegressor
4.231,6.0534541671341975,MLPRegressor
6.191,5.236390177456586,MLPRegressor
10.0,9.233230466084986,MLPRegressor
5.282,6.320819016003251,MLPRegressor
10.0,9.484157348687956,MLPRegressor
5.926,5.810309784357548,MLPRegressor
4.253,5.322679215167747,MLPRegressor
4.138,5.781785348482083,MLPRegressor
4.682,4.250841907326472,MLPRegressor
5.508,7.6502451018194995,MLPRegressor
5.947,4.004121766717904,MLPRegressor
5.429,5.658161344457258,MLPRegressor
6.028,4.837477247122602,MLPRegressor
10.0,10.905219369865382,MLPRegressor
4.929,5.880236330765869,MLPRegressor
4.798,5.45645027412582,MLPRegressor
6.301,13.082725275993683,ElasticNet
10.0,5.635785587427346,ElasticNet
10.0,3.820509112877108,ElasticNet
10.0,7.111044440506477,ElasticNet
10.0,11.850914954950213,ElasticNet
4.231,13.879097430959431,ElasticNet
6.191,26.16613020391377,ElasticNet
10.0,4.4676750174571085,ElasticNet
5.282,5.426701771385245,ElasticNet
10.0,6.507242186818502,ElasticNet
5.926,5.7400380347089826,ElasticNet
4.253,4.7339045327745835,ElasticNet
4.138,42.41226948064716,ElasticNet
4.682,6.124856702430184,ElasticNet
5.508,5.204451366347794,ElasticNet
5.947,3.4696821678841125,ElasticNet
5.429,4.818124897426207,ElasticNet
6.028,6.095112420746257,ElasticNet
10.0,7.063266711273115,ElasticNet
4.929,5.241970546502959,ElasticNet
4.798,5.303436928220543,ElasticNet
6.301,6.103482141595659,SGDRegressor
10.0,8.895908901216009,SGDRegressor
10.0,9.40889429978124,SGDRegressor
10.0,9.910181011683633,SGDRegressor
10.0,10.291487679402309,SGDRegressor
4.231,5.844816223092497,SGDRegressor
6.191,5.276776775957632,SGDRegressor
10.0,9.107986552371694,SGDRegressor
5.282,6.3985373730765644,SGDRegressor
10.0,9.335748733798804,SGDRegressor
5.926,5.3509599951208875,SGDRegressor
4.253,4.872760587076746,SGDRegressor
4.138,4.2113975356383175,SGDRegressor
4.682,4.793027614032065,SGDRegressor
5.508,7.256636833145269,SGDRegressor
5.947,4.90041831148695,SGDRegressor
5.429,5.392285974235809,SGDRegressor
6.028,5.036993616922116,SGDRegressor
10.0,10.549139507407418,SGDRegressor
4.929,5.638579298278378,SGDRegressor
4.798,5.659368103768714,SGDRegressor
6.301,5.816803900800074,BayesianRidge
10.0,9.523647900530255,BayesianRidge
10.0,10.204132429178618,BayesianRidge
10.0,10.393703384056412,BayesianRidge
10.0,11.088916358800233,BayesianRidge
4.231,6.055313379780225,BayesianRidge
6.191,5.234536090925658,BayesianRidge
10.0,9.220708267424193,BayesianRidge
5.282,6.332039068316715,BayesianRidge
10.0,9.46558790768535,BayesianRidge
5.926,5.798379709558691,BayesianRidge
4.253,5.322046135373666,BayesianRidge
4.138,5.7767197918075395,BayesianRidge
4.682,4.253448533637431,BayesianRidge
5.508,7.633457577280433,BayesianRidge
5.947,4.019397904750078,BayesianRidge
5.429,5.645319153957745,BayesianRidge
6.028,4.861368283023911,BayesianRidge
10.0,10.937248358535127,BayesianRidge
4.929,5.8636586503882215,BayesianRidge
4.798,5.445248130953603,BayesianRidge
6.301,21.7125649155154,KernelRidge
10.0,6.783525714816385,KernelRidge
10.0,20.738165826834237,KernelRidge
10.0,8.287744967159625,KernelRidge
10.0,1.3091513617687092,KernelRidge
4.231,27.949211869185284,KernelRidge
6.191,37.139549851321114,KernelRidge
10.0,2.666263051757234,KernelRidge
5.282,8.136947676901109,KernelRidge
10.0,2.6500847062330806,KernelRidge
5.926,8.100983420785234,KernelRidge
4.253,5.946048002750019,KernelRidge
4.138,52.98766483305961,KernelRidge
4.682,10.601023052379137,KernelRidge
5.508,1.722124597246168,KernelRidge
5.947,21.26667668277816,KernelRidge
5.429,21.384488511263456,KernelRidge
6.028,26.91496935388187,KernelRidge
10.0,23.529917179919575,KernelRidge
4.929,-1.4402796785547416,KernelRidge
4.798,-0.3892720695273191,KernelRidge
6.301,6.6500429800298475,LinearRegression
10.0,8.324909510364881,LinearRegression
10.0,9.499563182856944,LinearRegression
10.0,8.97436258247711,LinearRegression
10.0,11.244889459474171,LinearRegression
4.231,3.8460065096994853,LinearRegression
6.191,7.180071936416585,LinearRegression
10.0,8.563261553269923,LinearRegression
5.282,6.374610542472504,LinearRegression
10.0,8.416081385771097,LinearRegression
5.926,4.598220469475991,LinearRegression
4.253,4.063540051541064,LinearRegression
4.138,4.757153308446648,LinearRegression
4.682,5.234391349881594,LinearRegression
5.508,4.789746878161289,LinearRegression
5.947,6.106145505767974,LinearRegression
5.429,5.452181832432338,LinearRegression
6.028,5.436560280380506,LinearRegression
10.0,10.86729729791445,LinearRegression
4.929,4.450866378896787,LinearRegression
4.798,4.597562949173061,LinearRegression
6.301,5.563241503566779,RANSACRegressor
10.0,9.31029598894079,RANSACRegressor
10.0,9.492091742028155,RANSACRegressor
10.0,10.06224205257633,RANSACRegressor
10.0,10.157657330048746,RANSACRegressor
4.231,7.243247276265145,RANSACRegressor
6.191,6.146825951611543,RANSACRegressor
10.0,6.719797122237698,RANSACRegressor
5.282,8.426156538142536,RANSACRegressor
10.0,7.738674540786577,RANSACRegressor
5.926,6.068478717642137,RANSACRegressor
4.253,4.773271976468993,RANSACRegressor
4.138,8.483253006325084,RANSACRegressor
4.682,5.684969887360001,RANSACRegressor
5.508,7.241201021556058,RANSACRegressor
5.947,5.730530258322141,RANSACRegressor
5.429,3.078103367372208,RANSACRegressor
6.028,3.0430369213329778,RANSACRegressor
10.0,9.18932372755704,RANSACRegressor
4.929,8.201360141378641,RANSACRegressor
4.798,6.168390602030954,RANSACRegressor
6.301,3.5386251905695074,TheilSenRegressor
10.0,8.842152747847766,TheilSenRegressor
10.0,10.350755499806363,TheilSenRegressor
10.0,9.99618411043757,TheilSenRegressor
10.0,9.475190966138236,TheilSenRegressor
4.231,8.818152527015808,TheilSenRegressor
6.191,3.0341851516611964,TheilSenRegressor
10.0,9.197182089429472,TheilSenRegressor
5.282,6.9764250107680015,TheilSenRegressor
10.0,10.418260985375523,TheilSenRegressor
5.926,6.757867341771818,TheilSenRegressor
4.253,5.307439667744323,TheilSenRegressor
4.138,6.462863627008198,TheilSenRegressor
4.682,6.281896895979505,TheilSenRegressor
5.508,8.526432837707649,TheilSenRegressor
5.947,2.3017032225361866,TheilSenRegressor
5.429,4.69989184911167,TheilSenRegressor
6.028,5.493839874360975,TheilSenRegressor
10.0,11.055427157356506,TheilSenRegressor
4.929,5.579839893329545,TheilSenRegressor
4.798,4.741230158346385,TheilSenRegressor
6.301,6.553977966308594,TensorFlow
10.0,8.139237403869629,TensorFlow
10.0,8.310101509094238,TensorFlow
10.0,7.525099277496338,TensorFlow
10.0,8.60140323638916,TensorFlow
4.231,4.962951183319092,TensorFlow
6.191,5.619944095611572,TensorFlow
10.0,7.987950325012207,TensorFlow
5.282,5.594250202178955,TensorFlow
10.0,10.711982727050781,TensorFlow
5.926,5.645037651062012,TensorFlow
4.253,5.0265679359436035,TensorFlow
4.138,6.766520023345947,TensorFlow
4.682,5.524649620056152,TensorFlow
5.508,5.900923252105713,TensorFlow
5.947,4.354470252990723,TensorFlow
5.429,5.8464555740356445,TensorFlow
6.028,7.053005695343018,TensorFlow
10.0,7.009708404541016,TensorFlow
4.929,8.284125328063965,TensorFlow
4.798,4.5330634117126465,TensorFlow
