Actual,Predicted,Model
6.301,7.422381371192795,Ridge
10.0,9.084985595657463,Ridge
10.0,10.341547592341064,Ridge
10.0,8.85683454504758,Ridge
10.0,10.382407103300812,Ridge
4.231,6.281518829245469,Ridge
6.191,5.441205602146186,Ridge
10.0,8.976268842940232,Ridge
5.282,7.664419851759597,Ridge
10.0,8.482744410199636,Ridge
5.926,4.9851262206777385,Ridge
4.253,5.913187103578078,Ridge
4.138,6.005513545960156,Ridge
4.682,3.9039994145893564,Ridge
5.508,6.59603471674808,Ridge
5.947,4.204368104632822,Ridge
5.429,5.6305676169827725,Ridge
6.028,6.602367524915316,Ridge
10.0,12.588212913057989,Ridge
4.929,4.0568252710057084,Ridge
4.798,4.046778738234178,Ridge
6.301,6.642,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,5.178,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,6.176,DecisionTreeRegressor
6.191,5.904,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,5.513,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,6.2235,DecisionTreeRegressor
4.253,4.6594999999999995,DecisionTreeRegressor
4.138,5.0225,DecisionTreeRegressor
4.682,5.502,DecisionTreeRegressor
5.508,6.375,DecisionTreeRegressor
5.947,3.928,DecisionTreeRegressor
5.429,4.877000000000001,DecisionTreeRegressor
6.028,4.226,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,5.708,DecisionTreeRegressor
4.798,5.8535,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,6.532,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,5.108,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.231,5.074,RandomForestRegressor
6.191,5.134,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,6.375,RandomForestRegressor
10.0,4.512,RandomForestRegressor
5.926,6.376,RandomForestRegressor
4.253,6.199,RandomForestRegressor
4.138,5.128,RandomForestRegressor
4.682,6.183,RandomForestRegressor
5.508,5.934,RandomForestRegressor
5.947,10.0,RandomForestRegressor
5.429,4.807,RandomForestRegressor
6.028,5.764,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,3.855,RandomForestRegressor
4.798,5.934,RandomForestRegressor
6.301,5.628868131868131,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,4.776195121951221,AdaBoostRegressor
6.191,5.628868131868131,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.628868131868131,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.628868131868131,AdaBoostRegressor
4.253,4.776195121951221,AdaBoostRegressor
4.138,4.776195121951221,AdaBoostRegressor
4.682,4.776195121951221,AdaBoostRegressor
5.508,5.628868131868131,AdaBoostRegressor
5.947,4.776195121951221,AdaBoostRegressor
5.429,4.776195121951221,AdaBoostRegressor
6.028,5.628868131868131,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,4.776195121951221,AdaBoostRegressor
4.798,5.628868131868131,AdaBoostRegressor
6.301,6.17223383589498,KNeighborsRegressor
10.0,9.05191986189838,KNeighborsRegressor
10.0,9.524998657736072,KNeighborsRegressor
10.0,9.471358817221073,KNeighborsRegressor
10.0,5.885067599595675,KNeighborsRegressor
4.231,6.283465520496219,KNeighborsRegressor
6.191,5.85376290975347,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
5.282,6.928815926354799,KNeighborsRegressor
10.0,9.202888897346268,KNeighborsRegressor
5.926,5.593167162136789,KNeighborsRegressor
4.253,5.716582743338938,KNeighborsRegressor
4.138,4.995522266896434,KNeighborsRegressor
4.682,5.117626419636574,KNeighborsRegressor
5.508,7.043474743554026,KNeighborsRegressor
5.947,5.822502235040056,KNeighborsRegressor
5.429,5.22668050801871,KNeighborsRegressor
6.028,5.753254109196803,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
4.929,7.685229560915306,KNeighborsRegressor
4.798,7.208993557731877,KNeighborsRegressor
6.301,9.146529706454977,MLPRegressor
10.0,8.293302698555298,MLPRegressor
10.0,8.742509024365654,MLPRegressor
10.0,4.258749021443298,MLPRegressor
10.0,9.845906352645999,MLPRegressor
4.231,10.507953826326347,MLPRegressor
6.191,-1.2557499944797283,MLPRegressor
10.0,7.897314403748495,MLPRegressor
5.282,10.715203554076837,MLPRegressor
10.0,2.03712144881947,MLPRegressor
5.926,2.0380171254559896,MLPRegressor
4.253,3.837543904504857,MLPRegressor
4.138,-1.4947504102188103,MLPRegressor
4.682,5.917143920323326,MLPRegressor
5.508,6.976783960233712,MLPRegressor
5.947,7.2238678449487,MLPRegressor
5.429,4.703221579447917,MLPRegressor
6.028,4.677601248062796,MLPRegressor
10.0,12.258085785067337,MLPRegressor
4.929,6.0632025450064875,MLPRegressor
4.798,1.6802034287041463,MLPRegressor
6.301,13.486298837683728,ElasticNet
10.0,6.332263439184105,ElasticNet
10.0,5.678923130646819,ElasticNet
10.0,5.447316680246947,ElasticNet
10.0,12.353852723307504,ElasticNet
4.231,13.443942186121,ElasticNet
6.191,25.568360321517773,ElasticNet
10.0,4.563981152252496,ElasticNet
5.282,5.679536914524289,ElasticNet
10.0,7.980686889502598,ElasticNet
5.926,6.202757197973178,ElasticNet
4.253,5.126825994552645,ElasticNet
4.138,40.68524516646586,ElasticNet
4.682,5.6277332655127825,ElasticNet
5.508,5.576521920394187,ElasticNet
5.947,4.728665595759253,ElasticNet
5.429,4.424535764603933,ElasticNet
6.028,7.278822279525638,ElasticNet
10.0,6.501759156333637,ElasticNet
4.929,6.080615991243993,ElasticNet
4.798,6.161621668373601,ElasticNet
6.301,1.8778571185611916,SGDRegressor
10.0,7.296543259714193,SGDRegressor
10.0,11.594292069418142,SGDRegressor
10.0,7.529536370005431,SGDRegressor
10.0,16.552031478718348,SGDRegressor
4.231,2.826159267032425,SGDRegressor
6.191,5.453402637041223,SGDRegressor
10.0,8.476545628097634,SGDRegressor
5.282,12.450736409307488,SGDRegressor
10.0,2.751061157865843,SGDRegressor
5.926,7.2630954710317095,SGDRegressor
4.253,11.782597757035258,SGDRegressor
4.138,6.084944862211246,SGDRegressor
4.682,4.731039527810598,SGDRegressor
5.508,6.87439060810363,SGDRegressor
5.947,3.954098346517604,SGDRegressor
5.429,11.03654301848874,SGDRegressor
