Actual,Predicted,Model
6.301,7.010964336234714,Ridge
10.0,8.753941312728552,Ridge
10.0,9.011570131207788,Ridge
10.0,8.35178911625199,Ridge
10.0,10.964120621213349,Ridge
4.231,5.060376942547414,Ridge
6.191,5.263099241399877,Ridge
10.0,9.105577508947711,Ridge
5.282,7.146604118728942,Ridge
10.0,8.501340208327909,Ridge
5.926,4.524738501790359,Ridge
4.253,5.457703514253308,Ridge
4.138,3.8023889765510113,Ridge
4.682,3.7213713989139023,Ridge
5.508,5.7669773214038464,Ridge
5.947,3.3090761531644146,Ridge
5.429,5.317159204344223,Ridge
6.028,4.837244912891962,Ridge
10.0,12.41267493575219,Ridge
4.929,5.955355157761382,Ridge
4.798,2.43587888801496,Ridge
6.301,5.056,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.231,4.589,DecisionTreeRegressor
6.191,5.228,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.282,4.226,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,5.712,DecisionTreeRegressor
4.253,4.989,DecisionTreeRegressor
4.138,3.855,DecisionTreeRegressor
4.682,5.165,DecisionTreeRegressor
5.508,10.0,DecisionTreeRegressor
5.947,6.376,DecisionTreeRegressor
5.429,4.589,DecisionTreeRegressor
6.028,5.531,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,5.963,DecisionTreeRegressor
4.798,5.165,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,5.698,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,5.963,RandomForestRegressor
4.231,5.45,RandomForestRegressor
6.191,6.988,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,5.708,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,5.963,RandomForestRegressor
4.253,5.45,RandomForestRegressor
4.138,4.783,RandomForestRegressor
4.682,4.514,RandomForestRegressor
5.508,10.0,RandomForestRegressor
5.947,2.942,RandomForestRegressor
5.429,5.45,RandomForestRegressor
6.028,5.801,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,4.512,RandomForestRegressor
4.798,5.651,RandomForestRegressor
6.301,5.791122807017545,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,4.91358,AdaBoostRegressor
6.191,5.791122807017545,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,4.91358,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.791122807017545,AdaBoostRegressor
4.253,4.91358,AdaBoostRegressor
4.138,4.91358,AdaBoostRegressor
4.682,4.91358,AdaBoostRegressor
5.508,5.791122807017545,AdaBoostRegressor
5.947,4.91358,AdaBoostRegressor
5.429,4.91358,AdaBoostRegressor
6.028,5.791122807017545,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,4.91358,AdaBoostRegressor
4.798,4.91358,AdaBoostRegressor
6.301,6.18723885146272,KNeighborsRegressor
10.0,9.5124186048467,KNeighborsRegressor
10.0,9.011066162025276,KNeighborsRegressor
10.0,9.470589064829277,KNeighborsRegressor
10.0,5.946073465592154,KNeighborsRegressor
4.231,5.847031710907892,KNeighborsRegressor
6.191,5.9710528077219776,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.282,6.834131159776633,KNeighborsRegressor
10.0,9.542866781229169,KNeighborsRegressor
5.926,5.662490979825218,KNeighborsRegressor
4.253,5.143663074124829,KNeighborsRegressor
4.138,4.99865868625714,KNeighborsRegressor
4.682,4.9374278452637395,KNeighborsRegressor
5.508,6.912611708205159,KNeighborsRegressor
5.947,6.223837444265406,KNeighborsRegressor
5.429,5.230721541624328,KNeighborsRegressor
6.028,5.62950946529168,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.929,7.6949964039986885,KNeighborsRegressor
4.798,6.701427675727674,KNeighborsRegressor
6.301,6.324460805511611,MLPRegressor
10.0,9.235748854849568,MLPRegressor
10.0,9.219484894399006,MLPRegressor
10.0,8.683759018094943,MLPRegressor
10.0,11.319365593764962,MLPRegressor
4.231,6.041042862413468,MLPRegressor
6.191,6.440122271329843,MLPRegressor
10.0,8.741742075216875,MLPRegressor
5.282,6.9334119956825155,MLPRegressor
10.0,8.958135584526207,MLPRegressor
5.926,5.509699283350482,MLPRegressor
4.253,5.429544275728096,MLPRegressor
4.138,5.091479517372238,MLPRegressor
4.682,4.590998628833194,MLPRegressor
5.508,6.521538960765378,MLPRegressor
5.947,3.8010248279153145,MLPRegressor
5.429,6.400666050766486,MLPRegressor
6.028,4.994441080206621,MLPRegressor
10.0,11.355405108486117,MLPRegressor
4.929,5.7946733248697715,MLPRegressor
4.798,4.311548406902176,MLPRegressor
6.301,13.484627517232424,ElasticNet
10.0,6.8977007940151,ElasticNet
10.0,5.149994262001423,ElasticNet
10.0,4.591396408472972,ElasticNet
10.0,12.393678565359687,ElasticNet
4.231,13.653180024178095,ElasticNet
6.191,25.479838713788155,ElasticNet
10.0,4.130843204250954,ElasticNet
5.282,5.3304216108772335,ElasticNet
10.0,7.4892935702465895,ElasticNet
5.926,6.705628448211412,ElasticNet
4.253,4.8993527543697075,ElasticNet
4.138,40.42067604873182,ElasticNet
4.682,6.259618405086491,ElasticNet
5.508,6.630878642909224,ElasticNet
5.947,4.253284789209984,ElasticNet
5.429,4.882056470179546,ElasticNet
6.028,6.836147033124741,ElasticNet
10.0,6.372109483823522,ElasticNet
4.929,5.806528286764365,ElasticNet
4.798,5.895644555073351,ElasticNet
6.301,7.09910585814511,SGDRegressor
10.0,10.211714297172483,SGDRegressor
10.0,11.1843193205539,SGDRegressor
10.0,8.490234557109007,SGDRegressor
10.0,11.319051750078094,SGDRegressor
4.231,4.829389572869149,SGDRegressor
6.191,5.483154777772949,SGDRegressor
10.0,9.755913130102108,SGDRegressor
