Actual,Predicted,Model
6.301,6.2068382120360015,Ridge
10.0,9.626837657184105,Ridge
10.0,9.848698300669898,Ridge
10.0,9.3134406347474,Ridge
10.0,10.583612369960482,Ridge
4.231,5.841313319331268,Ridge
6.191,6.196526249043891,Ridge
10.0,9.459480130151736,Ridge
5.282,6.731121122683483,Ridge
10.0,9.234140305808127,Ridge
5.926,5.291810482724676,Ridge
4.253,5.334578193483114,Ridge
4.138,4.993110442627981,Ridge
4.682,4.566979866112444,Ridge
5.508,6.847810806897963,Ridge
5.947,3.937716940306829,Ridge
5.429,5.934350347755799,Ridge
6.028,4.862298996359671,Ridge
10.0,11.826187491277107,Ridge
4.929,5.925539309374606,Ridge
4.798,4.6562693251909275,Ridge
6.301,6.1845,DecisionTreeRegressor
10.0,4.234500000000001,DecisionTreeRegressor
10.0,4.726,DecisionTreeRegressor
10.0,4.888,DecisionTreeRegressor
10.0,5.744,DecisionTreeRegressor
4.231,4.785,DecisionTreeRegressor
6.191,5.4085,DecisionTreeRegressor
10.0,5.763,DecisionTreeRegressor
5.282,5.63,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.926,10.0,DecisionTreeRegressor
4.253,4.529,DecisionTreeRegressor
4.138,4.907,DecisionTreeRegressor
4.682,5.134,DecisionTreeRegressor
5.508,6.0855,DecisionTreeRegressor
5.947,10.0,DecisionTreeRegressor
5.429,787.732,DecisionTreeRegressor
6.028,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.929,5.468,DecisionTreeRegressor
4.798,5.971,DecisionTreeRegressor
6.301,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.231,9.905538452971106,GradientBoostingRegressor
6.191,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.282,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
5.926,9.905538452971106,GradientBoostingRegressor
4.253,9.905538452971106,GradientBoostingRegressor
4.138,9.905538452971106,GradientBoostingRegressor
4.682,9.905538452971106,GradientBoostingRegressor
5.508,9.905538452971106,GradientBoostingRegressor
5.947,9.905538452971106,GradientBoostingRegressor
5.429,9.905538452971106,GradientBoostingRegressor
6.028,9.905538452971106,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
4.929,9.905538452971106,GradientBoostingRegressor
4.798,9.905538452971106,GradientBoostingRegressor
6.301,6.988,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,4.904,RandomForestRegressor
10.0,6.005,RandomForestRegressor
4.231,5.388,RandomForestRegressor
6.191,6.201,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.282,6.183,RandomForestRegressor
10.0,10.0,RandomForestRegressor
5.926,5.134,RandomForestRegressor
4.253,10.0,RandomForestRegressor
4.138,4.905,RandomForestRegressor
4.682,5.954,RandomForestRegressor
5.508,10.0,RandomForestRegressor
5.947,4.497,RandomForestRegressor
5.429,5.687,RandomForestRegressor
6.028,5.134,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.929,6.183,RandomForestRegressor
4.798,5.719,RandomForestRegressor
6.301,5.662742857142855,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.231,4.803444444444442,AdaBoostRegressor
6.191,5.662742857142855,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.282,5.662742857142855,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.926,5.662742857142855,AdaBoostRegressor
4.253,4.803444444444442,AdaBoostRegressor
4.138,4.803444444444442,AdaBoostRegressor
4.682,4.803444444444442,AdaBoostRegressor
5.508,5.662742857142855,AdaBoostRegressor
5.947,4.803444444444442,AdaBoostRegressor
5.429,4.803444444444442,AdaBoostRegressor
6.028,5.662742857142855,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.929,4.803444444444442,AdaBoostRegressor
4.798,5.662742857142855,AdaBoostRegressor
6.301,6.187587180673134,KNeighborsRegressor
10.0,9.051237845179346,KNeighborsRegressor
10.0,9.008923044743394,KNeighborsRegressor
10.0,9.479165967692806,KNeighborsRegressor
10.0,6.115339343083479,KNeighborsRegressor
4.231,6.737882139725425,KNeighborsRegressor
6.191,5.9706791423838235,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
5.282,6.870549882098101,KNeighborsRegressor
10.0,9.54144024819317,KNeighborsRegressor
5.926,5.6605716941746165,KNeighborsRegressor
4.253,5.256198435951671,KNeighborsRegressor
4.138,4.996969016527284,KNeighborsRegressor
4.682,4.947260005965819,KNeighborsRegressor
5.508,6.849194109897792,KNeighborsRegressor
5.947,6.216045209274926,KNeighborsRegressor
5.429,5.242139742630382,KNeighborsRegressor
6.028,5.627295903718192,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.929,7.6824210412441705,KNeighborsRegressor
4.798,6.704115160183675,KNeighborsRegressor
6.301,7.163394144494897,MLPRegressor
10.0,10.014187747438154,MLPRegressor
10.0,12.398118640153516,MLPRegressor
10.0,6.431048734747457,MLPRegressor
10.0,5.828664004820849,MLPRegressor
4.231,1.8698749203833436,MLPRegressor
6.191,4.011686096089907,MLPRegressor
10.0,8.281086731696014,MLPRegressor
5.282,11.463996503859278,MLPRegressor
10.0,9.001703200143657,MLPRegressor
5.926,3.006455026962728,MLPRegressor
4.253,14.5156108913615,MLPRegressor
4.138,0.8446564475113911,MLPRegressor
4.682,9.473085231339429,MLPRegressor
5.508,6.1387337797098045,MLPRegressor
5.947,11.947459173729081,MLPRegressor
5.429,1.1276790887996344,MLPRegressor
6.028,16.591120154200347,MLPRegressor
10.0,18.41673132306507,MLPRegressor
4.929,3.7976999855054805,MLPRegressor
4.798,5.5561344880065295,MLPRegressor
6.301,13.439678675869574,ElasticNet
10.0,6.106110502482143,ElasticNet
10.0,5.127185429956141,ElasticNet
10.0,4.687155160300806,ElasticNet
10.0,12.407564750012629,ElasticNet
4.231,13.920584132996883,ElasticNet
6.191,25.599124672987344,ElasticNet
10.0,4.574798029717009,ElasticNet
5.282,5.688010623330455,ElasticNet
10.0,7.570694723606703,ElasticNet
5.926,6.768030308242523,ElasticNet
4.253,4.897666795282973,ElasticNet
4.138,40.32159900982674,ElasticNet
4.682,6.261522450647103,ElasticNet
5.508,5.899777150525562,ElasticNet
5.947,4.6098051991374165,ElasticNet
5.429,4.827233522050256,ElasticNet
6.028,6.857970340697651,ElasticNet
10.0,6.453220697155406,ElasticNet
4.929,6.1576931549884195,ElasticNet
4.798,6.319360615781519,ElasticNet
6.301,5.854208723555884,SGDRegressor
10.0,9.949607768521938,SGDRegressor
10.0,9.644625936050103,SGDRegressor
10.0,10.32783125370268,SGDRegressor
10.0,10.575429710845624,SGDRegressor
4.231,5.577361944791904,SGDRegressor
6.191,7.282794441138806,SGDRegressor
10.0,8.24649456086683,SGDRegressor
5.282,6.9341542431073355,SGDRegressor
10.0,8.310745367330702,SGDRegressor
5.926,6.270233329220568,SGDRegressor
4.253,5.303454110008426,SGDRegressor
4.138,6.447237721663194,SGDRegressor
4.682,5.866729932360152,SGDRegressor
5.508,7.669013173183147,SGDRegressor
5.947,4.0783027840126005,SGDRegressor
5.429,5.756081992917217,SGDRegressor
6.028,5.77116202582821,SGDRegressor
