Actual,Predicted,Model
10.0,9.159489653203254,Ridge
6.667,6.2610884444210875,Ridge
1.238,3.275774196976124,Ridge
0.833,2.4063766036314376,Ridge
1.667,0.9655305131703544,Ridge
10.0,9.791834750849057,Ridge
6.667,6.704110677981144,Ridge
1.032,3.5585855986023938,Ridge
4.444,5.924153725537468,Ridge
2.083,3.1109385067861903,Ridge
10.0,9.987010931185383,Ridge
5.0,4.85882898365917,Ridge
6.944,6.322914965023579,Ridge
6.667,5.013446616978173,Ridge
3.333,2.3332222605127826,Ridge
3.611,3.0274676220889543,Ridge
6.667,7.185605007367434,Ridge
5.0,3.9466676586743246,Ridge
2.143,1.7063445605810723,Ridge
10.0,19.02088255976281,Ridge
4.167,2.742186792543902,Ridge
10.0,10.0,DecisionTreeRegressor
6.667,5.0,DecisionTreeRegressor
1.238,0.8015,DecisionTreeRegressor
0.833,3.343,DecisionTreeRegressor
1.667,4.167,DecisionTreeRegressor
10.0,4.167,DecisionTreeRegressor
6.667,5.5555,DecisionTreeRegressor
1.032,6.667,DecisionTreeRegressor
4.444,6.667,DecisionTreeRegressor
2.083,1.667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.0,5.0,DecisionTreeRegressor
6.944,7.0835,DecisionTreeRegressor
6.667,3.8295000000000003,DecisionTreeRegressor
3.333,4.167,DecisionTreeRegressor
3.611,5.0,DecisionTreeRegressor
6.667,5.0,DecisionTreeRegressor
5.0,10.0,DecisionTreeRegressor
2.143,10.0,DecisionTreeRegressor
10.0,7.0835,DecisionTreeRegressor
4.167,10.0,DecisionTreeRegressor
10.0,7.58417312967974,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.534819171294582,GradientBoostingRegressor
0.833,3.4865403570590643,GradientBoostingRegressor
1.667,3.5160254147772663,GradientBoostingRegressor
10.0,6.243184670796886,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.4865403570590643,GradientBoostingRegressor
4.444,4.649090965272084,GradientBoostingRegressor
2.083,3.534819171294582,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.873146763577516,GradientBoostingRegressor
6.944,4.828880205249676,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
3.333,4.708481524134215,GradientBoostingRegressor
3.611,3.5160254147772663,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
5.0,4.7822331401802565,GradientBoostingRegressor
2.143,3.534819171294582,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.737966581852416,GradientBoostingRegressor
10.0,6.396314726190477,RandomForestRegressor
6.667,6.734038015873017,RandomForestRegressor
1.238,4.614331099206348,RandomForestRegressor
0.833,3.0227788531746036,RandomForestRegressor
1.667,4.126071202380951,RandomForestRegressor
10.0,6.729751765873015,RandomForestRegressor
