Actual,Predicted,Model
10.0,9.982798532136023,Ridge
6.667,6.709026853892851,Ridge
1.238,3.529537314129779,Ridge
0.833,3.0402223270807,Ridge
1.667,1.4018765974377492,Ridge
10.0,8.395744810044562,Ridge
6.667,8.349849171991732,Ridge
1.032,4.101605941364949,Ridge
4.444,4.847668922459741,Ridge
2.083,2.488821434952455,Ridge
10.0,9.919507006833344,Ridge
5.0,6.256597429041738,Ridge
6.944,5.855630476422085,Ridge
6.667,4.6071376101783175,Ridge
3.333,1.6715915860384025,Ridge
3.611,2.4111203566516433,Ridge
6.667,9.086590806304558,Ridge
5.0,5.28259746619202,Ridge
2.143,2.015898062679249,Ridge
10.0,20.391793556163616,Ridge
4.167,2.857514363883263,Ridge
10.0,4.167,DecisionTreeRegressor
6.667,6.666999999999999,DecisionTreeRegressor
1.238,10.0,DecisionTreeRegressor
0.833,0.893,DecisionTreeRegressor
1.667,3.452,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
6.667,1.667,DecisionTreeRegressor
1.032,6.667,DecisionTreeRegressor
4.444,2.5,DecisionTreeRegressor
2.083,0.833,DecisionTreeRegressor
10.0,4.167,DecisionTreeRegressor
5.0,4.167,DecisionTreeRegressor
6.944,4.167,DecisionTreeRegressor
6.667,5.139,DecisionTreeRegressor
3.333,3.333,DecisionTreeRegressor
3.611,6.667,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
5.0,4.167,DecisionTreeRegressor
2.143,6.667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,4.167,DecisionTreeRegressor
10.0,7.584973422197279,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.534819171294582,GradientBoostingRegressor
0.833,3.4865403570590643,GradientBoostingRegressor
1.667,3.5160254147772663,GradientBoostingRegressor
10.0,6.212547683158907,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.4865403570590643,GradientBoostingRegressor
4.444,4.649090965272083,GradientBoostingRegressor
2.083,3.534819171294582,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.873146763577515,GradientBoostingRegressor
6.944,4.828880205249675,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
3.333,4.708481524134214,GradientBoostingRegressor
3.611,3.5160254147772663,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
5.0,4.782233140180256,GradientBoostingRegressor
2.143,3.534819171294582,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.737966581852415,GradientBoostingRegressor
10.0,5.849329999999996,RandomForestRegressor
6.667,6.539629999999996,RandomForestRegressor
1.238,4.604359999999999,RandomForestRegressor
0.833,2.4626200000000003,RandomForestRegressor
1.667,3.724329999999997,RandomForestRegressor
10.0,6.243569999999997,RandomForestRegressor
6.667,7.839350000000001,RandomForestRegressor
1.032,4.091779999999999,RandomForestRegressor
4.444,4.216399999999998,RandomForestRegressor
2.083,3.7129999999999983,RandomForestRegressor
10.0,8.11994,RandomForestRegressor
5.0,4.5354499999999955,RandomForestRegressor
6.944,6.431429999999998,RandomForestRegressor
6.667,6.944369999999995,RandomForestRegressor
3.333,3.904079999999997,RandomForestRegressor
3.611,4.286359999999999,RandomForestRegressor
6.667,6.4071799999999985,RandomForestRegressor
5.0,5.165629999999994,RandomForestRegressor
2.143,4.416849999999999,RandomForestRegressor
10.0,8.214770000000001,RandomForestRegressor
4.167,5.651899999999999,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.905071428571429,AdaBoostRegressor
1.238,3.113630252100839,AdaBoostRegressor
0.833,2.64943023255814,AdaBoostRegressor
1.667,2.7079253731343296,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.863058823529412,AdaBoostRegressor
1.032,2.7079253731343296,AdaBoostRegressor
4.444,3.671387755102042,AdaBoostRegressor
2.083,2.943156626506023,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.0,4.977920000000001,AdaBoostRegressor
6.944,5.25854761904762,AdaBoostRegressor
6.667,6.852166666666667,AdaBoostRegressor
3.333,3.5436923076923077,AdaBoostRegressor
3.611,2.793065934065935,AdaBoostRegressor
6.667,6.857457142857143,AdaBoostRegressor
5.0,5.2062727272727285,AdaBoostRegressor
2.143,3.135382113821138,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.167,5.187815384615383,AdaBoostRegressor
10.0,6.323384683722814,KNeighborsRegressor
6.667,4.961074500774635,KNeighborsRegressor
1.238,4.787904253582608,KNeighborsRegressor
0.833,3.2097796868375013,KNeighborsRegressor
1.667,5.342408220019061,KNeighborsRegressor
10.0,6.800247459348887,KNeighborsRegressor
6.667,5.991904124632748,KNeighborsRegressor
1.032,4.42754507467771,KNeighborsRegressor
4.444,5.09553490477845,KNeighborsRegressor
2.083,3.1521345999696857,KNeighborsRegressor
10.0,6.017757463851976,KNeighborsRegressor
5.0,5.0694731106975315,KNeighborsRegressor
6.944,5.97594621274867,KNeighborsRegressor
6.667,5.914631994895596,KNeighborsRegressor
3.333,4.91824806150697,KNeighborsRegressor
3.611,5.21163983036291,KNeighborsRegressor
6.667,6.458720739869899,KNeighborsRegressor
5.0,5.032111883174298,KNeighborsRegressor
2.143,3.94545269136533,KNeighborsRegressor
10.0,6.92167376537356,KNeighborsRegressor
4.167,5.457856718229853,KNeighborsRegressor
10.0,10.01184320194685,MLPRegressor
6.667,8.478829216987343,MLPRegressor
1.238,1.937898269070052,MLPRegressor
0.833,0.7900778897985167,MLPRegressor
1.667,2.0041959754831624,MLPRegressor
10.0,9.12384948746248,MLPRegressor
6.667,8.105246040128453,MLPRegressor
1.032,2.9051818440359973,MLPRegressor
4.444,3.6630796989124197,MLPRegressor
2.083,2.0256288634978543,MLPRegressor
10.0,9.959540947517805,MLPRegressor
5.0,5.261661880332797,MLPRegressor
6.944,6.939353520274938,MLPRegressor
6.667,6.5287338170642935,MLPRegressor
3.333,3.2704439201750257,MLPRegressor
3.611,2.9155095800329685,MLPRegressor
6.667,7.149670120941144,MLPRegressor
5.0,5.0855164502451515,MLPRegressor
2.143,2.1199586771271495,MLPRegressor
10.0,9.977211210309408,MLPRegressor
4.167,4.378931132076513,MLPRegressor
10.0,6.1856680512178706,ElasticNet
6.667,6.24601813524793,ElasticNet
1.238,4.058400371050851,ElasticNet
0.833,3.875992720939467,ElasticNet
1.667,3.8611398425120216,ElasticNet
10.0,5.227999018979654,ElasticNet
6.667,6.286964569006637,ElasticNet
1.032,3.9335558172467886,ElasticNet
4.444,4.589056872380236,ElasticNet
2.083,4.181072963755293,ElasticNet
10.0,8.173918801792276,ElasticNet
5.0,4.528643619343782,ElasticNet
6.944,5.446661950427397,ElasticNet
6.667,6.146721715948573,ElasticNet
3.333,4.2056546414852924,ElasticNet
3.611,4.019112811214581,ElasticNet
6.667,6.001689105118793,ElasticNet
5.0,4.482084854151128,ElasticNet
2.143,3.933796440301915,ElasticNet
10.0,10.163727519906052,ElasticNet
4.167,4.672355337079274,ElasticNet
10.0,9.656361039192461,SGDRegressor
6.667,5.243848179307882,SGDRegressor
1.238,-2.6308102358804524,SGDRegressor
0.833,-1.9221430699805104,SGDRegressor
1.667,4.2232938669207,SGDRegressor
10.0,11.07852603291638,SGDRegressor
6.667,10.261220232655532,SGDRegressor
1.032,1.3720072249719601,SGDRegressor
4.444,5.184581061604065,SGDRegressor
2.083,-0.6493561508648993,SGDRegressor
10.0,11.307821611444435,SGDRegressor
5.0,7.048433584787414,SGDRegressor
6.944,5.721440781050781,SGDRegressor
6.667,10.310702040568245,SGDRegressor
3.333,-3.3389231664001437,SGDRegressor
3.611,4.566711742360593,SGDRegressor
6.667,11.364566015502938,SGDRegressor
5.0,6.195854450963071,SGDRegressor
2.143,1.6183129030413057,SGDRegressor
10.0,30.00967774918875,SGDRegressor
4.167,3.448600783132415,SGDRegressor
10.0,8.63984144245671,BayesianRidge
6.667,6.48154450229643,BayesianRidge
1.238,3.335938410868328,BayesianRidge
0.833,2.158538970937264,BayesianRidge
