Actual,Predicted,Model
10.0,10.740174542873891,Ridge
6.667,6.945037175319866,Ridge
1.238,1.9108673702017054,Ridge
0.833,2.6304432473472485,Ridge
1.667,1.4041324505383512,Ridge
10.0,8.164581066225871,Ridge
6.667,8.975331869943913,Ridge
1.032,2.8762637552314474,Ridge
4.444,5.3677711540481985,Ridge
2.083,3.149677665537064,Ridge
10.0,9.20474727899759,Ridge
5.0,4.855300232066043,Ridge
6.944,5.696177688532056,Ridge
6.667,4.644810846420933,Ridge
3.333,1.3454589863982918,Ridge
3.611,1.649148836177973,Ridge
6.667,8.726899619205806,Ridge
5.0,2.9286851846106527,Ridge
2.143,2.3878313744779107,Ridge
10.0,20.386549756738816,Ridge
4.167,1.201008678143122,Ridge
10.0,6.042,DecisionTreeRegressor
6.667,10.0,DecisionTreeRegressor
1.238,2.0835,DecisionTreeRegressor
0.833,6.667,DecisionTreeRegressor
1.667,2.262,DecisionTreeRegressor
10.0,6.666999999999999,DecisionTreeRegressor
6.667,10.0,DecisionTreeRegressor
1.032,8.889000000000001,DecisionTreeRegressor
4.444,4.896,DecisionTreeRegressor
2.083,2.64875,DecisionTreeRegressor
10.0,7.187749999999999,DecisionTreeRegressor
5.0,6.25,DecisionTreeRegressor
6.944,10.0,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
3.333,6.042,DecisionTreeRegressor
3.611,7.778,DecisionTreeRegressor
6.667,10.0,DecisionTreeRegressor
5.0,10.0,DecisionTreeRegressor
2.143,1.7593333333333334,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,5.34725,DecisionTreeRegressor
10.0,7.58417312967974,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.534819171294582,GradientBoostingRegressor
0.833,3.4865403570590643,GradientBoostingRegressor
1.667,3.5160254147772663,GradientBoostingRegressor
10.0,6.205499010892391,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.4865403570590643,GradientBoostingRegressor
4.444,4.649090965272084,GradientBoostingRegressor
2.083,3.534819171294582,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.873146763577516,GradientBoostingRegressor
6.944,4.828880205249676,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
3.333,4.708481524134215,GradientBoostingRegressor
3.611,3.5160254147772663,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
5.0,4.7822331401802565,GradientBoostingRegressor
2.143,3.534819171294582,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.737966581852416,GradientBoostingRegressor
10.0,6.45463,RandomForestRegressor
6.667,6.85507,RandomForestRegressor
1.238,4.17661,RandomForestRegressor
0.833,2.694019999999999,RandomForestRegressor
1.667,3.5305999999999984,RandomForestRegressor
10.0,6.49236,RandomForestRegressor
6.667,7.084819999999999,RandomForestRegressor
1.032,2.85136,RandomForestRegressor
4.444,4.441979999999994,RandomForestRegressor
2.083,3.4527799999999997,RandomForestRegressor
10.0,8.09891,RandomForestRegressor
5.0,4.610259999999996,RandomForestRegressor
6.944,5.9651399999999954,RandomForestRegressor
6.667,6.744209999999996,RandomForestRegressor
3.333,4.0043099999999985,RandomForestRegressor
3.611,4.422769999999996,RandomForestRegressor
6.667,6.82254,RandomForestRegressor
5.0,5.123539999999992,RandomForestRegressor
2.143,3.3858200000000007,RandomForestRegressor
10.0,8.004839999999998,RandomForestRegressor
4.167,5.218669999999992,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
1.238,2.9675454545454567,AdaBoostRegressor
0.833,2.3789866666666666,AdaBoostRegressor
1.667,2.954072072072072,AdaBoostRegressor
10.0,8.576392857142858,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
1.032,2.5227553191489367,AdaBoostRegressor
4.444,5.081513274336284,AdaBoostRegressor
2.083,2.697932038834951,AdaBoostRegressor
10.0,9.615423076923078,AdaBoostRegressor
5.0,5.124576923076924,AdaBoostRegressor
6.944,5.270074468085101,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
3.333,3.2432222222222196,AdaBoostRegressor
3.611,2.583009523809523,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
5.0,5.086814285714285,AdaBoostRegressor
2.143,2.9650900900900887,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.167,5.081513274336284,AdaBoostRegressor
10.0,6.615300353615204,KNeighborsRegressor
6.667,4.515979172699891,KNeighborsRegressor
1.238,6.146488438458354,KNeighborsRegressor
0.833,1.993014617991551,KNeighborsRegressor
1.667,6.462535801198048,KNeighborsRegressor
10.0,6.835119505681959,KNeighborsRegressor
6.667,5.7743838511254255,KNeighborsRegressor
1.032,2.9520892262933947,KNeighborsRegressor
4.444,5.079465768439687,KNeighborsRegressor
2.083,2.5680486184283726,KNeighborsRegressor
10.0,6.36827650087048,KNeighborsRegressor
5.0,5.10340429101413,KNeighborsRegressor
6.944,7.436228045511987,KNeighborsRegressor
6.667,6.046626264072168,KNeighborsRegressor
3.333,3.4010407528705815,KNeighborsRegressor
3.611,5.100704565724126,KNeighborsRegressor
6.667,6.403958187097657,KNeighborsRegressor
5.0,4.199702294213655,KNeighborsRegressor
2.143,3.7788021973499832,KNeighborsRegressor
10.0,8.906433180936423,KNeighborsRegressor
4.167,4.513501057178852,KNeighborsRegressor
10.0,9.998345521228137,MLPRegressor
6.667,5.0982742298558135,MLPRegressor
1.238,1.9429690416844656,MLPRegressor
0.833,1.0940598568214777,MLPRegressor
1.667,1.6090772302434015,MLPRegressor
10.0,8.845468080323029,MLPRegressor
6.667,7.582365027803274,MLPRegressor
1.032,1.992546027870176,MLPRegressor
4.444,4.001210073581991,MLPRegressor
2.083,2.01194104633592,MLPRegressor
10.0,10.11667094371031,MLPRegressor
5.0,4.922197661289378,MLPRegressor
6.944,7.225572717079828,MLPRegressor
6.667,5.990191633567727,MLPRegressor
3.333,2.8983542730951517,MLPRegressor
3.611,3.4608230282411734,MLPRegressor
6.667,7.44019244445734,MLPRegressor
5.0,5.086746168255434,MLPRegressor
2.143,1.819438977376674,MLPRegressor
10.0,10.157545038330428,MLPRegressor
4.167,4.75516830487652,MLPRegressor
10.0,6.61594555287275,ElasticNet
6.667,6.1625651280497244,ElasticNet
1.238,4.0121944539254235,ElasticNet
0.833,3.855678261819734,ElasticNet
1.667,3.8190821282368583,ElasticNet
10.0,5.142715576710712,ElasticNet
6.667,6.254032442505393,ElasticNet
1.032,3.9234048249493894,ElasticNet
4.444,4.542701940053164,ElasticNet
2.083,4.146184277976926,ElasticNet
10.0,8.139618136618475,ElasticNet
5.0,4.5350151084414945,ElasticNet
6.944,5.439715677796248,ElasticNet
6.667,6.11815852452761,ElasticNet
3.333,4.221707317973494,ElasticNet
3.611,4.022809533812647,ElasticNet
