Actual,Predicted,Model
10.0,9.194479065615603,Ridge
6.667,6.71198155011483,Ridge
1.238,2.9069337891296487,Ridge
0.833,2.418994034159622,Ridge
1.667,1.8077386764109855,Ridge
10.0,9.901894166575968,Ridge
6.667,7.867141270071539,Ridge
1.032,2.7084895585101307,Ridge
4.444,5.166237094952948,Ridge
2.083,3.0960322146828787,Ridge
10.0,9.44608924088765,Ridge
5.0,4.800895557567849,Ridge
6.944,5.887265420743284,Ridge
6.667,5.448621822000437,Ridge
3.333,1.9594499617564276,Ridge
3.611,3.3076163983176237,Ridge
6.667,7.979041593301487,Ridge
5.0,3.713333062209154,Ridge
2.143,1.8753461786157248,Ridge
10.0,20.015283364806184,Ridge
4.167,2.033058195222725,Ridge
10.0,10.0,DecisionTreeRegressor
6.667,3.333,DecisionTreeRegressor
1.238,1.448,DecisionTreeRegressor
0.833,0.893,DecisionTreeRegressor
1.667,2.917,DecisionTreeRegressor
10.0,6.25,DecisionTreeRegressor
6.667,10.0,DecisionTreeRegressor
1.032,1.448,DecisionTreeRegressor
4.444,1.806,DecisionTreeRegressor
2.083,1.667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.0,5.0,DecisionTreeRegressor
6.944,5.417,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
3.333,10.0,DecisionTreeRegressor
3.611,6.667,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
5.0,5.198,DecisionTreeRegressor
2.143,2.5,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,6.667,DecisionTreeRegressor
10.0,7.58550234289568,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.5212885984801927,GradientBoostingRegressor
0.833,3.490618830981999,GradientBoostingRegressor
1.667,3.5201136351811346,GradientBoostingRegressor
10.0,6.227272029185311,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.490618830981999,GradientBoostingRegressor
4.444,4.6391583005567725,GradientBoostingRegressor
2.083,3.5212885984801927,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.86371958801902,GradientBoostingRegressor
6.944,4.808751995972645,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
3.333,4.698539112937969,GradientBoostingRegressor
3.611,3.5201136351811346,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
5.0,4.78300150918348,GradientBoostingRegressor
2.143,3.5212885984801927,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.728033917137105,GradientBoostingRegressor
10.0,6.537969999999994,RandomForestRegressor
6.667,6.56644,RandomForestRegressor
1.238,4.387269999999999,RandomForestRegressor
0.833,2.8347900000000004,RandomForestRegressor
1.667,3.866249999999996,RandomForestRegressor
10.0,6.137459999999997,RandomForestRegressor
6.667,7.054269999999998,RandomForestRegressor
1.032,3.276319999999999,RandomForestRegressor
4.444,4.511649999999998,RandomForestRegressor
2.083,3.4225200000000005,RandomForestRegressor
10.0,7.45845,RandomForestRegressor
5.0,4.776879999999994,RandomForestRegressor
6.944,6.455259999999997,RandomForestRegressor
6.667,6.405709999999998,RandomForestRegressor
3.333,3.4408700000000003,RandomForestRegressor
3.611,4.386069999999997,RandomForestRegressor
6.667,6.747059999999999,RandomForestRegressor
5.0,5.477889999999997,RandomForestRegressor
2.143,3.5710399999999987,RandomForestRegressor
10.0,8.098700000000001,RandomForestRegressor
4.167,5.474959999999995,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
1.238,2.599827586206897,AdaBoostRegressor
0.833,2.3494042553191488,AdaBoostRegressor
1.667,2.665715789473685,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
1.032,2.548133333333333,AdaBoostRegressor
4.444,5.022759615384611,AdaBoostRegressor
2.083,2.8862371134020623,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.0,5.42366666666666,AdaBoostRegressor
6.944,5.688999999999997,AdaBoostRegressor
6.667,6.667000000000001,AdaBoostRegressor
3.333,3.3476101694915252,AdaBoostRegressor
3.611,2.8636310679611636,AdaBoostRegressor
6.667,6.679043478260869,AdaBoostRegressor
5.0,5.15568,AdaBoostRegressor
2.143,2.665715789473685,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.167,4.910352112676051,AdaBoostRegressor
10.0,6.669276523744749,KNeighborsRegressor
6.667,4.486662788072008,KNeighborsRegressor
1.238,7.183601212542922,KNeighborsRegressor
0.833,1.9719525942977114,KNeighborsRegressor
1.667,6.449614364368208,KNeighborsRegressor
10.0,6.851809817971669,KNeighborsRegressor
6.667,6.173916546725301,KNeighborsRegressor
1.032,3.2531075519964574,KNeighborsRegressor
4.444,5.064954763353001,KNeighborsRegressor
2.083,2.0215594062262348,KNeighborsRegressor
10.0,6.356204041129086,KNeighborsRegressor
5.0,5.135865869706361,KNeighborsRegressor
6.944,7.444362366909544,KNeighborsRegressor
6.667,6.210341294527956,KNeighborsRegressor
3.333,3.410474686508609,KNeighborsRegressor
3.611,5.625808847014897,KNeighborsRegressor
6.667,6.2084845461361216,KNeighborsRegressor
5.0,4.375863236489487,KNeighborsRegressor
2.143,2.8715118144422593,KNeighborsRegressor
