Actual,Predicted,Model
10.0,8.448734297491223,Ridge
6.667,5.7762055379769635,Ridge
1.238,2.6782930666479974,Ridge
0.833,2.0687508106305432,Ridge
1.667,1.2894198556107792,Ridge
10.0,9.52279556735298,Ridge
6.667,7.1360041472377755,Ridge
1.032,2.89393232248349,Ridge
4.444,5.532571689482362,Ridge
2.083,2.952281572146235,Ridge
10.0,10.385103522538635,Ridge
5.0,5.209983582755432,Ridge
6.944,6.211475556742372,Ridge
6.667,5.2049933634454595,Ridge
3.333,1.7227862430388972,Ridge
3.611,3.3916983854193745,Ridge
6.667,7.783222023451894,Ridge
5.0,3.956025583049981,Ridge
2.143,2.014216868107795,Ridge
10.0,19.218021848565314,Ridge
4.167,2.9944880968667547,Ridge
10.0,10.0,DecisionTreeRegressor
6.667,6.49325,DecisionTreeRegressor
1.238,5.10425,DecisionTreeRegressor
0.833,1.389,DecisionTreeRegressor
1.667,2.486666666666667,DecisionTreeRegressor
10.0,5.416999999999999,DecisionTreeRegressor
6.667,10.0,DecisionTreeRegressor
1.032,2.8575,DecisionTreeRegressor
4.444,2.649,DecisionTreeRegressor
2.083,4.375,DecisionTreeRegressor
10.0,6.667,DecisionTreeRegressor
5.0,3.75025,DecisionTreeRegressor
6.944,5.416999999999999,DecisionTreeRegressor
6.667,6.91475,DecisionTreeRegressor
3.333,0.833,DecisionTreeRegressor
3.611,1.806,DecisionTreeRegressor
6.667,6.91475,DecisionTreeRegressor
5.0,4.028,DecisionTreeRegressor
2.143,6.667,DecisionTreeRegressor
10.0,6.667,DecisionTreeRegressor
4.167,6.666999999999999,DecisionTreeRegressor
10.0,7.554859112446036,GradientBoostingRegressor
6.667,6.171980296119569,GradientBoostingRegressor
1.238,3.556085583690915,GradientBoostingRegressor
0.833,3.4651092491117255,GradientBoostingRegressor
1.667,3.528082169096808,GradientBoostingRegressor
10.0,6.273923397109334,GradientBoostingRegressor
6.667,6.171980296119569,GradientBoostingRegressor
1.032,3.484255026859032,GradientBoostingRegressor
4.444,4.65019238416088,GradientBoostingRegressor
2.083,3.5369398059436086,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.864052637904592,GradientBoostingRegressor
6.944,4.819786079576752,GradientBoostingRegressor
6.667,6.171980296119569,GradientBoostingRegressor
3.333,4.695240858503436,GradientBoostingRegressor
3.611,3.528082169096808,GradientBoostingRegressor
6.667,6.171980296119569,GradientBoostingRegressor
5.0,4.783334559069052,GradientBoostingRegressor
2.143,3.556085583690915,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.739068000741212,GradientBoostingRegressor
10.0,5.20776,RandomForestRegressor
6.667,6.148959999999999,RandomForestRegressor
1.238,4.4519400000000005,RandomForestRegressor
0.833,2.5688799999999996,RandomForestRegressor
1.667,3.68006,RandomForestRegressor
10.0,6.4516399999999985,RandomForestRegressor
6.667,7.019499999999998,RandomForestRegressor
1.032,3.87074,RandomForestRegressor
4.444,5.14742,RandomForestRegressor
2.083,2.9829799999999995,RandomForestRegressor
10.0,7.114459999999995,RandomForestRegressor
5.0,4.99814,RandomForestRegressor
6.944,5.8374,RandomForestRegressor
6.667,6.808079999999999,RandomForestRegressor
3.333,3.70478,RandomForestRegressor
3.611,5.127080000000001,RandomForestRegressor
6.667,6.730639999999997,RandomForestRegressor
5.0,5.653719999999997,RandomForestRegressor
2.143,3.18294,RandomForestRegressor
10.0,6.872339999999997,RandomForestRegressor
4.167,4.86962,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
6.667,6.762228571428572,AdaBoostRegressor
1.238,2.527720000000001,AdaBoostRegressor
0.833,2.446352272727273,AdaBoostRegressor
1.667,2.527157303370787,AdaBoostRegressor
10.0,3.452370370370369,AdaBoostRegressor
6.667,6.762228571428573,AdaBoostRegressor
1.032,2.446352272727273,AdaBoostRegressor
4.444,4.949837209302326,AdaBoostRegressor
2.083,2.500771739130435,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.0,4.937036363636364,AdaBoostRegressor
6.944,4.949837209302326,AdaBoostRegressor
6.667,6.762228571428572,AdaBoostRegressor
3.333,4.963209302325582,AdaBoostRegressor
3.611,2.50955421686747,AdaBoostRegressor
6.667,6.762228571428572,AdaBoostRegressor
5.0,4.949837209302326,AdaBoostRegressor
2.143,2.527720000000001,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.167,4.937036363636364,AdaBoostRegressor
10.0,7.152242827465822,KNeighborsRegressor
6.667,4.50158706000473,KNeighborsRegressor
1.238,6.393009901710005,KNeighborsRegressor
0.833,2.787715319622616,KNeighborsRegressor
1.667,6.4952793057430185,KNeighborsRegressor
10.0,6.710048640407224,KNeighborsRegressor
6.667,6.235336049378433,KNeighborsRegressor
1.032,3.7481210818348774,KNeighborsRegressor
4.444,4.786378680136801,KNeighborsRegressor
2.083,1.955203170791433,KNeighborsRegressor
10.0,6.380088320742889,KNeighborsRegressor
5.0,5.107957307015794,KNeighborsRegressor
6.944,7.419556960386847,KNeighborsRegressor
6.667,5.890236096502042,KNeighborsRegressor
3.333,3.0181905977905723,KNeighborsRegressor
3.611,5.1001098923938635,KNeighborsRegressor
6.667,6.143640616608259,KNeighborsRegressor
5.0,4.252600562916431,KNeighborsRegressor
2.143,3.763374332757039,KNeighborsRegressor
10.0,8.319985340067618,KNeighborsRegressor
4.167,4.408354448478614,KNeighborsRegressor
10.0,9.604913523890222,MLPRegressor
6.667,7.458229116549522,MLPRegressor
1.238,2.697163166751531,MLPRegressor
0.833,1.0180600320744908,MLPRegressor
1.667,1.8221747822533896,MLPRegressor
10.0,7.563051286026237,MLPRegressor
6.667,8.004128593927268,MLPRegressor
1.032,2.203637956009289,MLPRegressor
4.444,4.067836258827156,MLPRegressor
2.083,2.20767730910924,MLPRegressor
10.0,10.082237231000422,MLPRegressor
5.0,4.764572761629749,MLPRegressor
6.944,6.028174436916544,MLPRegressor
6.667,6.521824429545914,MLPRegressor
3.333,2.571407874872125,MLPRegressor
3.611,3.144089780148042,MLPRegressor
6.667,7.2321173665761895,MLPRegressor
5.0,4.306453828303845,MLPRegressor
2.143,2.0296654839522814,MLPRegressor
10.0,10.434095974760549,MLPRegressor
4.167,3.9633871652691806,MLPRegressor
10.0,6.644905803428272,ElasticNet
6.667,6.15139015370301,ElasticNet
1.238,4.008569895667772,ElasticNet
0.833,3.854045978533818,ElasticNet
1.667,3.815980134225895,ElasticNet
10.0,5.1319560168822225,ElasticNet
6.667,6.252414560125306,ElasticNet
1.032,3.9206357315594644,ElasticNet
4.444,4.536779986161286,ElasticNet
2.083,4.140310421740089,ElasticNet
10.0,8.137083496154963,ElasticNet
