Actual,Predicted,Model
10.0,10.503481836949732,Ridge
6.667,5.109487716414161,Ridge
1.238,2.991909498136824,Ridge
0.833,3.0633254790332933,Ridge
1.667,0.9843961392667158,Ridge
10.0,8.094188686550403,Ridge
6.667,8.028584914833823,Ridge
1.032,2.9410345304899854,Ridge
4.444,5.719841167141529,Ridge
2.083,2.995435201285082,Ridge
10.0,10.220446561174402,Ridge
5.0,4.583562478341192,Ridge
6.944,6.170433861765613,Ridge
6.667,3.103773206493256,Ridge
3.333,1.5051476152378416,Ridge
3.611,1.5627415573523842,Ridge
6.667,7.989643749294179,Ridge
5.0,3.626955563897881,Ridge
2.143,1.161750612757825,Ridge
10.0,19.70200101274601,Ridge
4.167,3.0124291144313773,Ridge
10.0,3.9932499999999997,DecisionTreeRegressor
6.667,10.0,DecisionTreeRegressor
1.238,3.8160000000000003,DecisionTreeRegressor
0.833,1.316,DecisionTreeRegressor
1.667,1.8054999999999999,DecisionTreeRegressor
10.0,5.833,DecisionTreeRegressor
6.667,3.9932499999999997,DecisionTreeRegressor
1.032,3.8160000000000003,DecisionTreeRegressor
4.444,4.167,DecisionTreeRegressor
2.083,2.0140000000000002,DecisionTreeRegressor
10.0,6.667,DecisionTreeRegressor
5.0,1.667,DecisionTreeRegressor
6.944,6.4816666666666665,DecisionTreeRegressor
6.667,6.667000000000001,DecisionTreeRegressor
3.333,4.167000000000001,DecisionTreeRegressor
3.611,3.33325,DecisionTreeRegressor
6.667,5.833,DecisionTreeRegressor
5.0,5.4165,DecisionTreeRegressor
2.143,2.0140000000000002,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.167,5.8335,DecisionTreeRegressor
10.0,7.584973422197279,GradientBoostingRegressor
6.667,6.174844900877941,GradientBoostingRegressor
1.238,3.534819171294582,GradientBoostingRegressor
0.833,3.4865403570590643,GradientBoostingRegressor
1.667,3.5160254147772663,GradientBoostingRegressor
10.0,6.204367408633909,GradientBoostingRegressor
6.667,6.174844900877941,GradientBoostingRegressor
1.032,3.4865403570590643,GradientBoostingRegressor
4.444,4.649090965272084,GradientBoostingRegressor
2.083,3.534819171294582,GradientBoostingRegressor
