Actual,Predicted,Model
10.0,10.419120433845709,Ridge
6.667,5.3711117400366,Ridge
1.238,3.2129864056648465,Ridge
0.833,2.8123384089007786,Ridge
1.667,0.8875866807742421,Ridge
10.0,8.362040662051042,Ridge
6.667,7.722710921872315,Ridge
1.032,2.6914734243061513,Ridge
4.444,5.417177010338181,Ridge
2.083,2.767612764038474,Ridge
10.0,10.750505711294476,Ridge
5.0,5.254472977941135,Ridge
6.944,7.14862596897158,Ridge
6.667,3.3671214377575156,Ridge
3.333,1.287993274937377,Ridge
3.611,1.2275705267614043,Ridge
6.667,8.405510688500936,Ridge
5.0,4.552041750164526,Ridge
2.143,1.7341948769033793,Ridge
10.0,18.89715544321195,Ridge
4.167,3.044602356601945,Ridge
10.0,4.167,DecisionTreeRegressor
6.667,10.0,DecisionTreeRegressor
1.238,0.571,DecisionTreeRegressor
0.833,1.342666666666667,DecisionTreeRegressor
1.667,2.5726666666666667,DecisionTreeRegressor
10.0,6.667,DecisionTreeRegressor
6.667,7.778000000000001,DecisionTreeRegressor
1.032,1.342666666666667,DecisionTreeRegressor
4.444,4.167,DecisionTreeRegressor
2.083,2.242,DecisionTreeRegressor
10.0,6.666999999999999,DecisionTreeRegressor
5.0,5.416999999999999,DecisionTreeRegressor
6.944,7.1625,DecisionTreeRegressor
6.667,6.666999999999999,DecisionTreeRegressor
3.333,3.333,DecisionTreeRegressor
3.611,2.292,DecisionTreeRegressor
6.667,6.667000000000001,DecisionTreeRegressor
5.0,3.333,DecisionTreeRegressor
2.143,2.5,DecisionTreeRegressor
10.0,6.667000000000001,DecisionTreeRegressor
4.167,3.4256666666666664,DecisionTreeRegressor
10.0,7.584973422197279,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.534819171294582,GradientBoostingRegressor
0.833,3.4865403570590643,GradientBoostingRegressor
1.667,3.5160254147772663,GradientBoostingRegressor
10.0,6.235683267461211,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.4865403570590643,GradientBoostingRegressor
4.444,4.649090965272084,GradientBoostingRegressor
2.083,3.534819171294582,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.873146763577516,GradientBoostingRegressor
6.944,4.828880205249676,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
3.333,4.708481524134215,GradientBoostingRegressor
3.611,3.5160254147772663,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
5.0,4.7822331401802565,GradientBoostingRegressor
2.143,3.534819171294582,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
4.167,4.737966581852416,GradientBoostingRegressor
10.0,6.27862,RandomForestRegressor
6.667,6.338639999999999,RandomForestRegressor
1.238,4.70228,RandomForestRegressor
0.833,2.3351599999999997,RandomForestRegressor
1.667,3.35082,RandomForestRegressor
10.0,5.91006,RandomForestRegressor
6.667,6.3863,RandomForestRegressor
1.032,2.9220800000000002,RandomForestRegressor
4.444,4.76882,RandomForestRegressor
2.083,3.4641599999999992,RandomForestRegressor
10.0,7.5775599999999965,RandomForestRegressor
5.0,4.59264,RandomForestRegressor
6.944,5.777879999999999,RandomForestRegressor
6.667,6.667259999999996,RandomForestRegressor
3.333,4.4957,RandomForestRegressor
3.611,4.714320000000001,RandomForestRegressor
