Actual,Predicted,Model
10.0,10.08104299095912,Ridge
6.667,5.663697314298511,Ridge
1.238,3.4720941250495683,Ridge
0.833,3.2293083379983014,Ridge
1.667,0.6029482584929262,Ridge
10.0,8.709509033403585,Ridge
6.667,7.992194225247911,Ridge
1.032,3.1422272439446157,Ridge
4.444,4.90467644304488,Ridge
2.083,3.3841862093825394,Ridge
10.0,11.091294099651837,Ridge
5.0,5.2735098295316245,Ridge
6.944,7.021513504120771,Ridge
6.667,4.119033019800467,Ridge
3.333,1.1176438506600812,Ridge
3.611,1.3162494286167377,Ridge
6.667,8.575953766144535,Ridge
5.0,5.62773203936625,Ridge
2.143,1.847192201156607,Ridge
10.0,18.595116619389827,Ridge
4.167,3.267573284809017,Ridge
10.0,10.0,DecisionTreeRegressor
6.667,8.3335,DecisionTreeRegressor
1.238,3.76,DecisionTreeRegressor
0.833,2.778,DecisionTreeRegressor
1.667,0.863,DecisionTreeRegressor
10.0,3.333,DecisionTreeRegressor
6.667,4.167,DecisionTreeRegressor
1.032,6.667,DecisionTreeRegressor
4.444,8.0555,DecisionTreeRegressor
2.083,2.083,DecisionTreeRegressor
10.0,4.167,DecisionTreeRegressor
5.0,5.0,DecisionTreeRegressor
6.944,6.3195,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
3.333,3.333,DecisionTreeRegressor
3.611,2.9365,DecisionTreeRegressor
6.667,6.667,DecisionTreeRegressor
5.0,6.667,DecisionTreeRegressor
2.143,6.25,DecisionTreeRegressor
10.0,5.9025,DecisionTreeRegressor
4.167,5.0,DecisionTreeRegressor
10.0,7.58417312967974,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.238,3.534819171294582,GradientBoostingRegressor
0.833,3.4865403570590643,GradientBoostingRegressor
1.667,3.5160254147772663,GradientBoostingRegressor
10.0,6.196996315413837,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
1.032,3.4865403570590643,GradientBoostingRegressor
4.444,4.649090965272084,GradientBoostingRegressor
2.083,3.534819171294582,GradientBoostingRegressor
10.0,8.216078442735652,GradientBoostingRegressor
5.0,4.873146763577516,GradientBoostingRegressor
6.944,4.828880205249676,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
3.333,4.708481524134215,GradientBoostingRegressor
3.611,3.5160254147772663,GradientBoostingRegressor
6.667,6.222611756449015,GradientBoostingRegressor
5.0,4.7822331401802565,GradientBoostingRegressor
2.143,3.534819171294582,GradientBoostingRegressor
