Actual,Predicted,Model
5.382,4.841464936291182,Ridge
10.0,9.916985167247072,Ridge
10.0,10.481374574958823,Ridge
10.0,10.081377469912782,Ridge
10.0,7.778095371109618,Ridge
5.44,6.524659452892336,Ridge
5.116,5.9256050682673544,Ridge
10.0,9.417426710936482,Ridge
4.394,5.127464690836053,Ridge
10.0,9.65400169624238,Ridge
5.019,4.784364107435934,Ridge
4.861,6.061625455237869,Ridge
5.058,7.241789380761726,Ridge
4.742,4.277328824235853,Ridge
5.517,6.6017410675296215,Ridge
7.049,4.462991531927978,Ridge
5.877,5.4903965967566535,Ridge
4.583,4.193559697178959,Ridge
10.0,12.774600708635766,Ridge
5.064,4.860409059282144,Ridge
5.449,5.1341879190627475,Ridge
5.382,6.17675,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,6.6892499999999995,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,6.5465,DecisionTreeRegressor
5.44,5.975333333333334,DecisionTreeRegressor
5.116,4.0385,DecisionTreeRegressor
10.0,5.333,DecisionTreeRegressor
4.394,4.9795,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,4.8285,DecisionTreeRegressor
4.861,5.56625,DecisionTreeRegressor
5.058,5.761333333333333,DecisionTreeRegressor
4.742,5.5075,DecisionTreeRegressor
5.517,5.835,DecisionTreeRegressor
7.049,7.633333333333333,DecisionTreeRegressor
5.877,4.908666666666666,DecisionTreeRegressor
4.583,3.76925,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,7.633333333333333,DecisionTreeRegressor
5.449,5.835,DecisionTreeRegressor
5.382,6.003147793832374,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,6.626436464011784,GradientBoostingRegressor
5.116,5.870775211631808,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
