Actual,Predicted,Model
5.382,4.6305699865656855,Ridge
10.0,9.343836714064608,Ridge
10.0,10.143492564509552,Ridge
10.0,9.259957369616869,Ridge
10.0,8.726160969013023,Ridge
5.44,7.06712207774742,Ridge
5.116,6.635524587190412,Ridge
10.0,9.271101058037011,Ridge
4.394,5.293098798932755,Ridge
10.0,9.991418238903965,Ridge
5.019,4.817195638974653,Ridge
4.861,7.018016857302713,Ridge
5.058,6.245333488625425,Ridge
4.742,3.5184971515727392,Ridge
5.517,6.3037292761891335,Ridge
7.049,3.218410721342806,Ridge
5.877,5.225645536617671,Ridge
4.583,3.584702822724518,Ridge
10.0,11.104647597310073,Ridge
5.064,5.268627662909206,Ridge
5.449,5.685107761322359,Ridge
5.382,6.279,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,3.8575,DecisionTreeRegressor
5.44,4.864,DecisionTreeRegressor
5.116,4.855,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.394,5.3855,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,4.894,DecisionTreeRegressor
4.861,5.7585,DecisionTreeRegressor
5.058,10.0,DecisionTreeRegressor
4.742,5.016,DecisionTreeRegressor
5.517,5.352,DecisionTreeRegressor
7.049,3.194,DecisionTreeRegressor
5.877,4.815,DecisionTreeRegressor
4.583,6.2145,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,3.194,DecisionTreeRegressor
5.449,4.717,DecisionTreeRegressor
5.382,6.176515050371299,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,6.142899978169771,GradientBoostingRegressor
5.116,6.176515050371299,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,6.0034988959896785,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.019,5.950915318558509,GradientBoostingRegressor
4.861,6.229936695930984,GradientBoostingRegressor
5.058,5.894588386663683,GradientBoostingRegressor
4.742,5.702453560762564,GradientBoostingRegressor
5.517,5.766135283475527,GradientBoostingRegressor
7.049,6.741317137032727,GradientBoostingRegressor
5.877,5.683925732886021,GradientBoostingRegressor
4.583,5.725653189264256,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.064,5.97895867770282,GradientBoostingRegressor
5.449,6.195553712691375,GradientBoostingRegressor
5.382,5.467949999999999,RandomForestRegressor
10.0,9.628089999999997,RandomForestRegressor
10.0,9.79178,RandomForestRegressor
10.0,9.60825,RandomForestRegressor
10.0,8.307920000000003,RandomForestRegressor
5.44,5.830720000000001,RandomForestRegressor
5.116,5.445220000000001,RandomForestRegressor
10.0,9.67351,RandomForestRegressor
4.394,5.379840000000001,RandomForestRegressor
10.0,9.79267,RandomForestRegressor
5.019,5.140529999999999,RandomForestRegressor
4.861,5.8443600000000036,RandomForestRegressor
5.058,5.452050000000003,RandomForestRegressor
4.742,5.042410000000001,RandomForestRegressor
5.517,5.971119999999998,RandomForestRegressor
7.049,6.600269999999996,RandomForestRegressor
5.877,5.2350499999999975,RandomForestRegressor
4.583,5.25238,RandomForestRegressor
10.0,9.844229999999998,RandomForestRegressor
5.064,5.751990000000001,RandomForestRegressor
5.449,5.908919999999999,RandomForestRegressor
5.382,5.767918604651164,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
