Actual,Predicted,Model
5.382,4.554678828178876,Ridge
10.0,8.906443563438422,Ridge
10.0,10.04111721689252,Ridge
10.0,9.32477215520203,Ridge
10.0,8.453362265940045,Ridge
5.44,7.3020152574076524,Ridge
5.116,5.689985293343582,Ridge
10.0,9.567809926213734,Ridge
4.394,5.4368097353331555,Ridge
10.0,9.612873133728762,Ridge
5.019,4.893883798060488,Ridge
4.861,6.462924307758141,Ridge
5.058,6.087357597030921,Ridge
4.742,3.585806268644642,Ridge
5.517,7.138430213574276,Ridge
7.049,3.0459862364987176,Ridge
5.877,4.973831165020796,Ridge
4.583,3.3518323206873637,Ridge
10.0,11.39644995529736,Ridge
5.064,5.425360977082463,Ridge
5.449,5.447756806513059,Ridge
5.382,5.558,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.44,7.0825,DecisionTreeRegressor
5.116,6.1955,DecisionTreeRegressor
10.0,6.709666666666667,DecisionTreeRegressor
4.394,4.561,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,4.907666666666667,DecisionTreeRegressor
4.861,7.284,DecisionTreeRegressor
5.058,8.6,DecisionTreeRegressor
4.742,4.86,DecisionTreeRegressor
5.517,5.558,DecisionTreeRegressor
7.049,5.687333333333332,DecisionTreeRegressor
5.877,4.935,DecisionTreeRegressor
4.583,4.471,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,4.327,DecisionTreeRegressor
5.449,4.717,DecisionTreeRegressor
5.382,6.174993064555556,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,6.183648268632811,GradientBoostingRegressor
5.116,6.171567564649989,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,5.961049277206928,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.019,6.003734064420789,GradientBoostingRegressor
4.861,6.156041195323153,GradientBoostingRegressor
5.058,5.892135970325659,GradientBoostingRegressor
4.742,5.6539070020032085,GradientBoostingRegressor
5.517,6.059329060338223,GradientBoostingRegressor
7.049,6.78293594624452,GradientBoostingRegressor
5.877,5.673520380607849,GradientBoostingRegressor
4.583,5.690084411101788,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.064,6.069971653134907,GradientBoostingRegressor
5.449,6.183648268632811,GradientBoostingRegressor
5.382,5.50582,RandomForestRegressor
10.0,9.236300000000002,RandomForestRegressor
10.0,9.62302,RandomForestRegressor
10.0,9.394359999999999,RandomForestRegressor
10.0,8.636519999999999,RandomForestRegressor
5.44,5.872179999999999,RandomForestRegressor
5.116,5.406040000000002,RandomForestRegressor
10.0,9.943999999999999,RandomForestRegressor
4.394,5.61926,RandomForestRegressor
10.0,9.721440000000001,RandomForestRegressor
5.019,5.189319999999998,RandomForestRegressor
4.861,5.94534,RandomForestRegressor
5.058,5.21058,RandomForestRegressor
4.742,5.35098,RandomForestRegressor
5.517,6.193999999999999,RandomForestRegressor
7.049,6.624659999999997,RandomForestRegressor
5.877,4.879120000000002,RandomForestRegressor
4.583,5.145279999999999,RandomForestRegressor
10.0,9.949539999999999,RandomForestRegressor
