Actual,Predicted,Model
5.382,4.838357235839226,Ridge
10.0,9.125414929823787,Ridge
10.0,10.176645402946079,Ridge
10.0,9.851993008338814,Ridge
10.0,8.463647684885977,Ridge
5.44,6.08818287321255,Ridge
5.116,6.477241730667512,Ridge
10.0,9.621068685603,Ridge
4.394,5.351129601332474,Ridge
10.0,9.936040252402064,Ridge
5.019,4.4718578522367585,Ridge
4.861,6.649396804032879,Ridge
5.058,5.930589131738634,Ridge
4.742,3.7016139100219134,Ridge
5.517,6.157257752357264,Ridge
7.049,3.250899432126549,Ridge
5.877,5.069568827063286,Ridge
4.583,3.5267508587747685,Ridge
10.0,11.731475774528082,Ridge
5.064,5.28248755795175,Ridge
5.449,5.315349313789606,Ridge
5.382,5.3835,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.44,6.041,DecisionTreeRegressor
5.116,5.3835,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.394,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,4.962,DecisionTreeRegressor
4.861,6.4350000000000005,DecisionTreeRegressor
5.058,4.026,DecisionTreeRegressor
4.742,7.012,DecisionTreeRegressor
5.517,5.024,DecisionTreeRegressor
7.049,10.0,DecisionTreeRegressor
5.877,4.492,DecisionTreeRegressor
4.583,4.974,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,5.5205,DecisionTreeRegressor
5.449,5.5205,DecisionTreeRegressor
5.382,5.922101102329869,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,6.624363959474165,GradientBoostingRegressor
5.116,5.936737658117411,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,5.905784648929081,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.019,5.952586722888378,GradientBoostingRegressor
4.861,6.124135516865676,GradientBoostingRegressor
5.058,5.69353575494549,GradientBoostingRegressor
4.742,5.663050134386981,GradientBoostingRegressor
5.517,5.991534066518402,GradientBoostingRegressor
7.049,6.774628513175983,GradientBoostingRegressor
5.877,5.663050134386981,GradientBoostingRegressor
4.583,5.631246154147233,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.064,5.98197993508034,GradientBoostingRegressor
5.449,6.155088526054007,GradientBoostingRegressor
5.382,5.3737200000000005,RandomForestRegressor
10.0,9.72798,RandomForestRegressor
10.0,9.25111,RandomForestRegressor
10.0,9.23256,RandomForestRegressor
10.0,8.32649,RandomForestRegressor
5.44,5.968369999999998,RandomForestRegressor
5.116,5.255579999999998,RandomForestRegressor
10.0,9.70398,RandomForestRegressor
4.394,5.093529999999999,RandomForestRegressor
10.0,9.89034,RandomForestRegressor
5.019,5.041559999999998,RandomForestRegressor
4.861,5.792470000000001,RandomForestRegressor
5.058,5.5969299999999995,RandomForestRegressor
4.742,5.067099999999999,RandomForestRegressor
5.517,6.3023,RandomForestRegressor
7.049,6.891210000000001,RandomForestRegressor
5.877,4.999879999999999,RandomForestRegressor
4.583,5.165209999999998,RandomForestRegressor
10.0,9.71013,RandomForestRegressor
5.064,6.00402,RandomForestRegressor
5.449,6.2407299999999974,RandomForestRegressor
5.382,5.418,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.44,6.0862307692307684,AdaBoostRegressor
5.116,5.476638888888888,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.394,4.97931746031746,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.019,5.274066666666667,AdaBoostRegressor
4.861,5.42405882352941,AdaBoostRegressor
5.058,4.788384615384614,AdaBoostRegressor
4.742,4.649166666666666,AdaBoostRegressor
5.517,5.418,AdaBoostRegressor
7.049,6.458115942028987,AdaBoostRegressor
5.877,4.788384615384614,AdaBoostRegressor
4.583,4.742999999999999,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,5.355769230769231,AdaBoostRegressor
5.449,5.7078571428571445,AdaBoostRegressor
5.382,5.354088211517558,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,9.139129365959702,KNeighborsRegressor
10.0,5.177454640040782,KNeighborsRegressor
5.44,6.047612561465451,KNeighborsRegressor
5.116,5.267586211718915,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.394,6.205330521757466,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
5.019,4.922104299233831,KNeighborsRegressor
4.861,6.766487777070887,KNeighborsRegressor
5.058,4.519118530088179,KNeighborsRegressor
4.742,5.1191262828349995,KNeighborsRegressor
5.517,5.618937779241601,KNeighborsRegressor
7.049,6.801228148110506,KNeighborsRegressor
5.877,4.8050539450674306,KNeighborsRegressor
4.583,5.169621265670013,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
5.064,6.670883917314807,KNeighborsRegressor
5.449,5.509957046321826,KNeighborsRegressor
5.382,4.962849146822652,MLPRegressor
10.0,9.928464665327041,MLPRegressor
10.0,9.960226656958662,MLPRegressor
10.0,9.927871525104845,MLPRegressor
10.0,9.503409413290363,MLPRegressor
5.44,5.435163074972414,MLPRegressor
5.116,6.209836930296769,MLPRegressor
10.0,9.992033148724758,MLPRegressor
4.394,5.4433705404357475,MLPRegressor
10.0,10.019009862923092,MLPRegressor
5.019,4.658113548450025,MLPRegressor
4.861,6.878483885398975,MLPRegressor
5.058,4.893620105072296,MLPRegressor
4.742,4.566698843704095,MLPRegressor
5.517,7.323215045423963,MLPRegressor
7.049,4.272997952366907,MLPRegressor
5.877,4.994531804264476,MLPRegressor
4.583,4.207073354722978,MLPRegressor
10.0,10.047827483584953,MLPRegressor
5.064,6.909275246585293,MLPRegressor
5.449,6.532733581486697,MLPRegressor
5.382,5.646314271820994,ElasticNet
10.0,8.646560786369342,ElasticNet
10.0,9.406718549117032,ElasticNet
10.0,8.777467681982532,ElasticNet
10.0,7.960437540965879,ElasticNet
5.44,6.583734561108071,ElasticNet
5.116,5.707160619900831,ElasticNet
10.0,9.141732718309997,ElasticNet
4.394,5.977844035764189,ElasticNet
10.0,8.901771721712619,ElasticNet
5.019,5.21755496943284,ElasticNet
4.861,6.334102255054568,ElasticNet
5.058,5.746758780630986,ElasticNet
4.742,5.587409461216189,ElasticNet
5.517,6.573980080391198,ElasticNet
7.049,6.3901833898995495,ElasticNet
5.877,5.905644969850501,ElasticNet
4.583,5.341307714930304,ElasticNet
10.0,9.435485110103183,ElasticNet
5.064,6.4046050721976275,ElasticNet
5.449,6.28642357703475,ElasticNet
5.382,4.8123689334310455,SGDRegressor
10.0,5.263334936897646,SGDRegressor
10.0,6.742519727900517,SGDRegressor
10.0,6.077512895251147,SGDRegressor
10.0,5.476956857927296,SGDRegressor
5.44,4.933444065369266,SGDRegressor
5.116,4.186079555362091,SGDRegressor
10.0,6.539872475416346,SGDRegressor
4.394,4.215510944588754,SGDRegressor
10.0,5.6514258691444414,SGDRegressor
5.019,4.364219145047188,SGDRegressor
4.861,5.223684186352591,SGDRegressor
5.058,4.287159894743721,SGDRegressor
4.742,4.129139728723768,SGDRegressor
5.517,5.358247701893391,SGDRegressor
7.049,5.385992604350269,SGDRegressor
5.877,4.3766563226848305,SGDRegressor
4.583,4.299913164554949,SGDRegressor
10.0,6.636510877728999,SGDRegressor
5.064,4.105101184676024,SGDRegressor
5.449,5.361994060805554,SGDRegressor
5.382,4.9588464048342615,BayesianRidge
10.0,9.228283686700031,BayesianRidge
10.0,10.08178209564338,BayesianRidge
10.0,9.275914444917587,BayesianRidge
10.0,7.779188876230516,BayesianRidge
5.44,6.2696084042467914,BayesianRidge
5.116,5.785042517433455,BayesianRidge
10.0,9.930562711277837,BayesianRidge
4.394,5.916249946144584,BayesianRidge
10.0,9.750315554781452,BayesianRidge
5.019,4.081644886979741,BayesianRidge
4.861,6.361996586098533,BayesianRidge
5.058,5.030822154953217,BayesianRidge
4.742,4.671364249083857,BayesianRidge
5.517,6.463369147774421,BayesianRidge
7.049,5.155389426066742,BayesianRidge
5.877,5.068775931896895,BayesianRidge
4.583,3.4982730010417993,BayesianRidge
10.0,10.711861349441538,BayesianRidge
5.064,6.294336228140208,BayesianRidge
5.449,6.085579535189673,BayesianRidge
5.382,5.378819664779204,KernelRidge
10.0,9.306371000770664,KernelRidge
10.0,10.194223893791671,KernelRidge
10.0,8.319587018953058,KernelRidge
10.0,8.019171696701928,KernelRidge
5.44,6.512274689933049,KernelRidge
5.116,4.2181286103688045,KernelRidge
10.0,9.691741700307457,KernelRidge
4.394,6.634711720132358,KernelRidge
10.0,8.66222278569431,KernelRidge
5.019,4.5782214399871615,KernelRidge
4.861,6.732504986104299,KernelRidge
5.058,4.943302873310175,KernelRidge
4.742,5.516754664021077,KernelRidge
5.517,7.456738463550914,KernelRidge
7.049,7.509645781629183,KernelRidge
5.877,3.7708062872539103,KernelRidge
4.583,4.497048127755132,KernelRidge
10.0,9.695556945113672,KernelRidge
5.064,5.963671753015396,KernelRidge
5.449,6.767895676339069,KernelRidge
5.382,5.755614275002029,LinearRegression
10.0,8.660285455012392,LinearRegression
10.0,10.016248207625763,LinearRegression
10.0,8.941258767508147,LinearRegression
10.0,9.148804209632253,LinearRegression
5.44,4.5211005311727845,LinearRegression
5.116,6.31396771871732,LinearRegression
10.0,8.893241629227598,LinearRegression
4.394,5.771984107459277,LinearRegression
10.0,9.320644760942757,LinearRegression
5.019,3.3058573818107533,LinearRegression
4.861,5.460300989219019,LinearRegression
5.058,5.099482729897126,LinearRegression
4.742,5.396857625526165,LinearRegression
5.517,4.970386545448811,LinearRegression
7.049,6.311337238396192,LinearRegression
5.877,5.160078316738206,LinearRegression
4.583,3.5094419387392017,LinearRegression
10.0,11.383429461155885,LinearRegression
5.064,5.6468073961196925,LinearRegression
5.449,5.328353443074552,LinearRegression
5.382,4.3447809782462095,RANSACRegressor
10.0,6.1232897480142485,RANSACRegressor
10.0,7.004339270347147,RANSACRegressor
10.0,7.564677618022964,RANSACRegressor
10.0,7.761741248002555,RANSACRegressor
5.44,6.191584923429999,RANSACRegressor
5.116,4.353308373481889,RANSACRegressor
10.0,6.7473823565690685,RANSACRegressor
4.394,4.197648177920037,RANSACRegressor
10.0,7.340806223332137,RANSACRegressor
5.019,5.829889518160057,RANSACRegressor
4.861,4.464154089576571,RANSACRegressor
5.058,4.882407585609464,RANSACRegressor
4.742,4.039538238718503,RANSACRegressor
5.517,5.777505560047771,RANSACRegressor
7.049,5.920361666135029,RANSACRegressor
5.877,5.218659916071054,RANSACRegressor
4.583,5.785598470165545,RANSACRegressor
10.0,7.266530133034963,RANSACRegressor
5.064,3.7953078073374806,RANSACRegressor
5.449,5.16174909063046,RANSACRegressor
5.382,4.760483459764861,TheilSenRegressor
10.0,8.923848402148609,TheilSenRegressor
10.0,9.873986099187253,TheilSenRegressor
10.0,10.156933980154339,TheilSenRegressor
10.0,8.397904986782711,TheilSenRegressor
5.44,6.2330519653823675,TheilSenRegressor
5.116,6.300514593738654,TheilSenRegressor
10.0,10.08371740720565,TheilSenRegressor
4.394,5.275873304839855,TheilSenRegressor
10.0,9.921147114288217,TheilSenRegressor
5.019,4.5272302423954365,TheilSenRegressor
4.861,6.656406613426979,TheilSenRegressor
5.058,5.7686707803761275,TheilSenRegressor
4.742,3.4534020795784404,TheilSenRegressor
5.517,5.424853312939537,TheilSenRegressor
7.049,2.8602525849880687,TheilSenRegressor
5.877,4.953124228686544,TheilSenRegressor
4.583,2.437292971594676,TheilSenRegressor
10.0,11.08772072306233,TheilSenRegressor
5.064,5.777280455569347,TheilSenRegressor
5.449,5.871467482120259,TheilSenRegressor
5.382,6.423752307891846,TensorFlow
10.0,7.666545867919922,TensorFlow
10.0,9.2776460647583,TensorFlow
10.0,8.855260848999023,TensorFlow
10.0,5.228280544281006,TensorFlow
5.44,4.78147554397583,TensorFlow
5.116,5.559292793273926,TensorFlow
10.0,10.001337051391602,TensorFlow
