Actual,Predicted,Model
5.382,4.753263185817172,Ridge
10.0,9.039682986416958,Ridge
10.0,9.518157189722709,Ridge
10.0,9.184385795573455,Ridge
10.0,8.1908437629289,Ridge
5.44,6.89109923955439,Ridge
5.116,5.99062060590542,Ridge
10.0,9.102059668394137,Ridge
4.394,5.429785121177694,Ridge
10.0,9.65053666242583,Ridge
5.019,4.837068702764691,Ridge
4.861,6.289591629292967,Ridge
5.058,5.869417621715828,Ridge
4.742,3.9931634502857563,Ridge
5.517,6.412281321113159,Ridge
7.049,2.6701648311114576,Ridge
5.877,5.559899299296665,Ridge
4.583,3.173085459957367,Ridge
10.0,11.853094125728486,Ridge
5.064,5.39568439619857,Ridge
5.449,5.082320274003316,Ridge
5.382,5.245333333333334,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.44,6.2375,DecisionTreeRegressor
5.116,4.014,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.394,4.645,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,4.7905,DecisionTreeRegressor
4.861,5.022666666666666,DecisionTreeRegressor
5.058,5.029,DecisionTreeRegressor
4.742,5.228000000000001,DecisionTreeRegressor
5.517,5.7555,DecisionTreeRegressor
7.049,8.739,DecisionTreeRegressor
5.877,4.0155,DecisionTreeRegressor
4.583,5.4750000000000005,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,8.7795,DecisionTreeRegressor
5.449,5.029,DecisionTreeRegressor
5.382,6.172458189597901,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,6.185569206584471,GradientBoostingRegressor
5.116,6.14736283287498,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,5.96524471827528,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.019,5.999193837056704,GradientBoostingRegressor
4.861,6.093475698157204,GradientBoostingRegressor
5.058,5.903252132917493,GradientBoostingRegressor
4.742,5.6373323332073175,GradientBoostingRegressor
5.517,6.086860617535032,GradientBoostingRegressor
7.049,6.83802823281005,GradientBoostingRegressor
5.877,5.672719895483536,GradientBoostingRegressor
4.583,5.684840500000986,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.064,6.073475124148908,GradientBoostingRegressor
5.449,6.185569206584471,GradientBoostingRegressor
5.382,5.464089999999998,RandomForestRegressor
10.0,9.606169999999999,RandomForestRegressor
10.0,9.651159999999997,RandomForestRegressor
10.0,9.31955,RandomForestRegressor
10.0,8.210810000000002,RandomForestRegressor
5.44,5.946445,RandomForestRegressor
5.116,5.30613,RandomForestRegressor
10.0,9.65852,RandomForestRegressor
4.394,5.2759500000000035,RandomForestRegressor
10.0,9.8629,RandomForestRegressor
5.019,5.0262699999999985,RandomForestRegressor
4.861,6.0040700000000005,RandomForestRegressor
5.058,5.587820000000005,RandomForestRegressor
4.742,5.291120000000002,RandomForestRegressor
5.517,6.026359999999999,RandomForestRegressor
7.049,6.667869999999997,RandomForestRegressor
5.877,5.070759999999999,RandomForestRegressor
4.583,5.3362099999999995,RandomForestRegressor
10.0,9.9494,RandomForestRegressor
5.064,5.662390000000003,RandomForestRegressor
5.449,6.000080000000001,RandomForestRegressor
5.382,5.6768938053097315,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.44,6.2689999999999975,AdaBoostRegressor
5.116,5.671019417475732,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.394,4.979795918367344,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.019,5.397541666666665,AdaBoostRegressor
4.861,5.396000000000001,AdaBoostRegressor
5.058,4.592238095238095,AdaBoostRegressor
4.742,4.753657534246576,AdaBoostRegressor
5.517,5.646326086956521,AdaBoostRegressor
7.049,6.495397959183674,AdaBoostRegressor
5.877,5.2277021276595725,AdaBoostRegressor
4.583,4.787413793103446,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,5.653624999999999,AdaBoostRegressor
5.449,5.875569767441861,AdaBoostRegressor
5.382,5.336684708640676,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,9.188256993695733,KNeighborsRegressor
