Actual,Predicted,Model
5.382,4.720292742350494,Ridge
10.0,9.828715116041714,Ridge
10.0,10.157752478220353,Ridge
10.0,9.996990486486524,Ridge
10.0,7.670448192248052,Ridge
5.44,6.480368875910914,Ridge
5.116,6.171262826844597,Ridge
10.0,9.77556374179535,Ridge
4.394,5.0932759069715035,Ridge
10.0,9.974167948128125,Ridge
5.019,4.990694262451523,Ridge
4.861,6.613982769818371,Ridge
5.058,6.8578966710538225,Ridge
4.742,4.5591515938485285,Ridge
5.517,6.44201016308827,Ridge
7.049,3.1707660547785435,Ridge
5.877,5.3326288062746805,Ridge
4.583,4.365652822109876,Ridge
10.0,12.562805527960197,Ridge
5.064,4.4556723835164735,Ridge
5.449,5.8456372717241205,Ridge
5.382,4.962,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,4.974666666666667,DecisionTreeRegressor
5.44,6.316666666666666,DecisionTreeRegressor
5.116,4.1815,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.394,4.554333333333333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.019,4.962,DecisionTreeRegressor
4.861,4.554333333333333,DecisionTreeRegressor
5.058,4.554333333333333,DecisionTreeRegressor
4.742,5.1129999999999995,DecisionTreeRegressor
5.517,7.5015,DecisionTreeRegressor
7.049,7.012,DecisionTreeRegressor
5.877,4.812,DecisionTreeRegressor
4.583,5.8915,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,5.193,DecisionTreeRegressor
5.449,5.516333333333333,DecisionTreeRegressor
5.382,6.153537237802647,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.44,6.1461243480110594,GradientBoostingRegressor
5.116,5.998698971664731,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
4.394,5.933829550974488,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.019,5.973005643694556,GradientBoostingRegressor
4.861,6.172794569243205,GradientBoostingRegressor
5.058,5.997366196142105,GradientBoostingRegressor
4.742,5.794479382095364,GradientBoostingRegressor
5.517,5.874707470289561,GradientBoostingRegressor
7.049,6.684582783016099,GradientBoostingRegressor
5.877,5.763944542148552,GradientBoostingRegressor
4.583,5.788936017820199,GradientBoostingRegressor
10.0,8.945369800876271,GradientBoostingRegressor
5.064,5.9171519812528235,GradientBoostingRegressor
5.449,6.176659187957871,GradientBoostingRegressor
5.382,5.31121,RandomForestRegressor
10.0,9.477995,RandomForestRegressor
10.0,9.83411,RandomForestRegressor
10.0,9.56629,RandomForestRegressor
10.0,8.49164,RandomForestRegressor
5.44,5.860815,RandomForestRegressor
5.116,5.167715000000002,RandomForestRegressor
10.0,9.83306,RandomForestRegressor
4.394,5.240365000000002,RandomForestRegressor
10.0,9.89477,RandomForestRegressor
5.019,5.089179999999999,RandomForestRegressor
4.861,5.838064999999999,RandomForestRegressor
5.058,5.688030000000002,RandomForestRegressor
4.742,5.184965,RandomForestRegressor
5.517,5.952164999999997,RandomForestRegressor
7.049,6.54056,RandomForestRegressor
5.877,5.190300000000001,RandomForestRegressor
4.583,5.373249999999998,RandomForestRegressor
10.0,9.891124999999999,RandomForestRegressor
5.064,5.652210000000001,RandomForestRegressor
5.449,5.943270000000002,RandomForestRegressor
5.382,5.630522058823525,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.44,5.8366410256410255,AdaBoostRegressor
5.116,5.466072916666668,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.394,5.100555555555555,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.019,5.467254716981132,AdaBoostRegressor
4.861,5.466072916666668,AdaBoostRegressor
5.058,5.097266666666665,AdaBoostRegressor
4.742,5.02220253164557,AdaBoostRegressor
5.517,5.546160714285712,AdaBoostRegressor
7.049,6.363487179487178,AdaBoostRegressor
5.877,5.023974358974359,AdaBoostRegressor
4.583,4.856166666666667,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,5.393899999999995,AdaBoostRegressor
5.449,5.755441176470585,AdaBoostRegressor
5.382,5.3136,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,9.1592,KNeighborsRegressor
10.0,5.173800000000001,KNeighborsRegressor
5.44,5.7304,KNeighborsRegressor
5.116,5.3008,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.394,6.3104,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
5.019,4.5298,KNeighborsRegressor
4.861,6.8953999999999995,KNeighborsRegressor
5.058,4.518400000000001,KNeighborsRegressor
4.742,5.243599999999999,KNeighborsRegressor
5.517,5.6004000000000005,KNeighborsRegressor
7.049,7.0712,KNeighborsRegressor
