Actual,Predicted,Model
10.0,12.272749019854139,Ridge
1.255,0.8844518390890839,Ridge
0.3,2.390757377113959,Ridge
0.911,1.815179772405083,Ridge
1.056,1.1779897035775453,Ridge
5.0,5.48741834028106,Ridge
7.236,5.605893601739748,Ridge
0.969,-0.5707413428359942,Ridge
6.236,7.058962740636162,Ridge
1.186,0.49791887520912237,Ridge
6.317,7.05501169618384,Ridge
6.595,5.269065225179704,Ridge
7.488,8.137334967288174,Ridge
2.075,2.2923811135750967,Ridge
6.067,4.811502507234455,Ridge
2.143,2.895905034548875,Ridge
3.099,4.218922717209548,Ridge
6.2,6.472043282542812,Ridge
1.292,2.427780122964858,Ridge
10.0,17.097700538871273,Ridge
6.039,5.184254336461075,Ridge
10.0,6.318,DecisionTreeRegressor
1.255,1.269,DecisionTreeRegressor
0.3,1.0205,DecisionTreeRegressor
0.911,0.419,DecisionTreeRegressor
1.056,1.5615,DecisionTreeRegressor
5.0,10.0,DecisionTreeRegressor
7.236,6.147,DecisionTreeRegressor
0.969,0.9,DecisionTreeRegressor
6.236,6.0545,DecisionTreeRegressor
1.186,0.611,DecisionTreeRegressor
6.317,6.4719999999999995,DecisionTreeRegressor
6.595,6.073,DecisionTreeRegressor
7.488,7.7435,DecisionTreeRegressor
2.075,2.5705,DecisionTreeRegressor
6.067,6.112500000000001,DecisionTreeRegressor
2.143,2.5705,DecisionTreeRegressor
3.099,10.0,DecisionTreeRegressor
6.2,0.0,DecisionTreeRegressor
1.292,2.5705,DecisionTreeRegressor
10.0,6.318,DecisionTreeRegressor
6.039,6.396,DecisionTreeRegressor
10.0,7.4632114542549175,GradientBoostingRegressor
1.255,2.3009574394951824,GradientBoostingRegressor
0.3,2.3009574394951824,GradientBoostingRegressor
0.911,2.3009574394951824,GradientBoostingRegressor
1.056,2.3009574394951824,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,4.607497263326703,GradientBoostingRegressor
0.969,2.3009574394951824,GradientBoostingRegressor
6.236,5.568438262338772,GradientBoostingRegressor
1.186,2.3009574394951824,GradientBoostingRegressor
6.317,5.622197743064693,GradientBoostingRegressor
6.595,5.761521403400267,GradientBoostingRegressor
7.488,5.761521403400267,GradientBoostingRegressor
2.075,2.3009574394951824,GradientBoostingRegressor
6.067,5.96099027470407,GradientBoostingRegressor
2.143,2.3009574394951824,GradientBoostingRegressor
3.099,2.3009574394951824,GradientBoostingRegressor
6.2,4.385691865381209,GradientBoostingRegressor
1.292,2.3009574394951824,GradientBoostingRegressor
10.0,5.865170255257566,GradientBoostingRegressor
6.039,5.568438262338772,GradientBoostingRegressor
10.0,7.00525,RandomForestRegressor
1.255,2.1350700000000007,RandomForestRegressor
0.3,2.3477600000000005,RandomForestRegressor
0.911,2.1937100000000007,RandomForestRegressor
1.056,3.396480000000001,RandomForestRegressor
5.0,4.8431799999999985,RandomForestRegressor
7.236,6.212839999999999,RandomForestRegressor
0.969,1.9538500000000005,RandomForestRegressor
6.236,4.967820000000001,RandomForestRegressor
1.186,2.0887200000000004,RandomForestRegressor
6.317,6.418159999999999,RandomForestRegressor
6.595,4.68072,RandomForestRegressor
7.488,5.398739999999999,RandomForestRegressor
2.075,4.50453,RandomForestRegressor
6.067,4.33869,RandomForestRegressor
2.143,2.9691300000000003,RandomForestRegressor
3.099,4.72824,RandomForestRegressor
6.2,5.5599,RandomForestRegressor
1.292,1.69507,RandomForestRegressor
10.0,6.130880000000001,RandomForestRegressor
6.039,5.222019999999999,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
1.255,1.3945913043478257,AdaBoostRegressor
0.3,1.3945913043478257,AdaBoostRegressor
0.911,1.3945913043478257,AdaBoostRegressor
1.056,1.3953457943925234,AdaBoostRegressor
5.0,10.0,AdaBoostRegressor
7.236,6.67240983606557,AdaBoostRegressor
0.969,1.3945913043478257,AdaBoostRegressor
6.236,6.66770769230769,AdaBoostRegressor
