Actual,Predicted,Model
10.0,13.356195742126076,Ridge
1.255,0.13163169501514904,Ridge
0.3,2.0518728449467,Ridge
0.911,1.544863335736527,Ridge
1.056,1.6697075179616871,Ridge
5.0,4.158708063264782,Ridge
7.236,7.8711111467064505,Ridge
0.969,-1.0262748790017984,Ridge
6.236,5.9054993938665294,Ridge
1.186,0.1662306987933908,Ridge
6.317,7.5490718560718495,Ridge
6.595,4.920893391965555,Ridge
7.488,7.555713193470307,Ridge
2.075,3.108995249320955,Ridge
6.067,4.512276805677199,Ridge
2.143,2.5160974292726213,Ridge
3.099,4.436767796708461,Ridge
6.2,7.39484460792763,Ridge
1.292,2.887827517769068,Ridge
10.0,17.052601186522878,Ridge
6.039,5.235475502765512,Ridge
10.0,6.034750000000001,DecisionTreeRegressor
1.255,0.996,DecisionTreeRegressor
0.3,1.4585,DecisionTreeRegressor
0.911,0.596,DecisionTreeRegressor
1.056,6.5235,DecisionTreeRegressor
5.0,6.366,DecisionTreeRegressor
7.236,6.034750000000001,DecisionTreeRegressor
0.969,2.47825,DecisionTreeRegressor
6.236,1.67,DecisionTreeRegressor
1.186,1.1524999999999999,DecisionTreeRegressor
6.317,6.93125,DecisionTreeRegressor
6.595,1.67,DecisionTreeRegressor
7.488,6.565,DecisionTreeRegressor
2.075,7.907500000000001,DecisionTreeRegressor
6.067,6.034750000000001,DecisionTreeRegressor
2.143,1.3725,DecisionTreeRegressor
3.099,6.711,DecisionTreeRegressor
6.2,6.93125,DecisionTreeRegressor
1.292,0.9086666666666666,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
6.039,1.7876666666666665,DecisionTreeRegressor
10.0,7.4632114542549175,GradientBoostingRegressor
1.255,2.300957439495182,GradientBoostingRegressor
0.3,2.300957439495182,GradientBoostingRegressor
0.911,2.300957439495182,GradientBoostingRegressor
1.056,2.300957439495182,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,4.842092520993809,GradientBoostingRegressor
0.969,2.300957439495182,GradientBoostingRegressor
6.236,5.568438262338771,GradientBoostingRegressor
1.186,2.300957439495182,GradientBoostingRegressor
6.317,5.622197743064692,GradientBoostingRegressor
6.595,5.761521403400266,GradientBoostingRegressor
7.488,5.761521403400266,GradientBoostingRegressor
2.075,2.300957439495182,GradientBoostingRegressor
6.067,5.723714392492051,GradientBoostingRegressor
2.143,2.300957439495182,GradientBoostingRegressor
3.099,2.300957439495182,GradientBoostingRegressor
6.2,4.450439929790789,GradientBoostingRegressor
1.292,2.300957439495182,GradientBoostingRegressor
10.0,5.85841279242337,GradientBoostingRegressor
6.039,5.568438262338771,GradientBoostingRegressor
10.0,7.3738300000000025,RandomForestRegressor
1.255,2.6636599999999993,RandomForestRegressor
0.3,3.3635149999999987,RandomForestRegressor
0.911,1.5614850000000005,RandomForestRegressor
1.056,3.1008299999999984,RandomForestRegressor
5.0,4.538229999999998,RandomForestRegressor
7.236,6.004000000000003,RandomForestRegressor
0.969,2.0149799999999995,RandomForestRegressor
6.236,5.1525599999999985,RandomForestRegressor
1.186,1.7629500000000007,RandomForestRegressor
6.317,6.575039999999999,RandomForestRegressor
6.595,5.049089999999998,RandomForestRegressor
7.488,5.5031,RandomForestRegressor
2.075,3.5995,RandomForestRegressor
6.067,4.816359999999999,RandomForestRegressor
2.143,2.8163299999999993,RandomForestRegressor
3.099,4.460590000000002,RandomForestRegressor
6.2,5.799050000000001,RandomForestRegressor
1.292,2.4355700000000002,RandomForestRegressor
10.0,5.799259999999996,RandomForestRegressor
6.039,5.270849999999995,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
1.255,1.3619464285714284,AdaBoostRegressor
0.3,1.3608846153846155,AdaBoostRegressor
0.911,1.3619464285714284,AdaBoostRegressor
1.056,1.3731717171717182,AdaBoostRegressor
5.0,10.0,AdaBoostRegressor
7.236,6.669646153846153,AdaBoostRegressor
0.969,1.3619464285714284,AdaBoostRegressor
6.236,6.659147058823528,AdaBoostRegressor
1.186,1.3608846153846155,AdaBoostRegressor
6.317,6.696653846153845,AdaBoostRegressor
6.595,6.7032753623188395,AdaBoostRegressor
7.488,6.7032753623188395,AdaBoostRegressor
2.075,1.3764271844660194,AdaBoostRegressor
6.067,6.668523076923076,AdaBoostRegressor
2.143,1.3764271844660194,AdaBoostRegressor
3.099,1.3731717171717182,AdaBoostRegressor
6.2,6.608581081081079,AdaBoostRegressor
1.292,1.3731717171717182,AdaBoostRegressor
10.0,6.708892307692307,AdaBoostRegressor
6.039,6.682647058823525,AdaBoostRegressor
10.0,7.796503954166727,KNeighborsRegressor
1.255,1.3270768826505788,KNeighborsRegressor
0.3,4.897912013096627,KNeighborsRegressor
0.911,2.338546114657714,KNeighborsRegressor
1.056,6.12941991177681,KNeighborsRegressor
5.0,3.3421675482021547,KNeighborsRegressor
7.236,6.693913604721214,KNeighborsRegressor
0.969,1.6600674172363297,KNeighborsRegressor
6.236,3.359774002137043,KNeighborsRegressor
1.186,0.8018452757982,KNeighborsRegressor
6.317,5.7110961568896474,KNeighborsRegressor
6.595,3.3348141692178452,KNeighborsRegressor
7.488,7.377641420485008,KNeighborsRegressor
2.075,4.649245495611724,KNeighborsRegressor
6.067,4.111454597705281,KNeighborsRegressor
2.143,2.1223756483777514,KNeighborsRegressor
3.099,6.347388308511169,KNeighborsRegressor
6.2,5.28563481754653,KNeighborsRegressor
1.292,3.223306699780324,KNeighborsRegressor
10.0,7.984136641461044,KNeighborsRegressor
6.039,4.155423200173863,KNeighborsRegressor
10.0,9.998005500384087,MLPRegressor
1.255,1.0393704287643288,MLPRegressor
0.3,0.9205406432341604,MLPRegressor
0.911,0.6136535241517753,MLPRegressor
1.056,1.575739757611966,MLPRegressor
5.0,8.238893278021616,MLPRegressor
7.236,7.781238883158952,MLPRegressor
0.969,0.7706514872669987,MLPRegressor
6.236,4.400631840082948,MLPRegressor
1.186,0.7310809614431274,MLPRegressor
6.317,8.04601364458105,MLPRegressor
6.595,3.7220272586788847,MLPRegressor
7.488,5.612757697138379,MLPRegressor
2.075,1.7952191867093028,MLPRegressor
6.067,3.7138335967134912,MLPRegressor
2.143,2.8466481193952213,MLPRegressor
3.099,6.549012569824498,MLPRegressor
6.2,7.844842393174508,MLPRegressor
1.292,1.2903770848998968,MLPRegressor
10.0,9.99202593433101,MLPRegressor
6.039,5.897082566516396,MLPRegressor
10.0,8.52711637048263,ElasticNet
1.255,2.669426599135691,ElasticNet
0.3,2.1365687123399137,ElasticNet
0.911,1.8855137858371873,ElasticNet
1.056,3.038937657387351,ElasticNet
5.0,5.362392026171102,ElasticNet
7.236,5.867813452441992,ElasticNet
0.969,1.7697594534197751,ElasticNet
6.236,4.747035445014161,ElasticNet
1.186,2.2598373273992403,ElasticNet
6.317,5.575978461635258,ElasticNet
6.595,4.538250202292128,ElasticNet
7.488,5.326292406340315,ElasticNet
2.075,3.4956405644778012,ElasticNet
6.067,4.718807648141881,ElasticNet
2.143,2.521926333503493,ElasticNet
3.099,4.29913420591523,ElasticNet
6.2,5.53981500122381,ElasticNet
1.292,2.3164373086672727,ElasticNet
10.0,9.430138512054286,ElasticNet
6.039,4.740133297267139,ElasticNet
10.0,11.460763474675003,SGDRegressor
1.255,0.40275180681320144,SGDRegressor
0.3,0.8630869104449941,SGDRegressor
0.911,0.6910461207374756,SGDRegressor
