Actual,Predicted,Model
10.0,12.634152366641622,Ridge
1.255,0.5704409860935007,Ridge
0.3,2.4209763068229817,Ridge
0.911,1.7690793586193396,Ridge
1.056,1.4269612721943057,Ridge
5.0,5.158149241057789,Ridge
7.236,7.594172253997952,Ridge
0.969,-0.6456883879508113,Ridge
6.236,6.479242730451954,Ridge
1.186,0.23166916048929265,Ridge
6.317,7.533073203694853,Ridge
6.595,5.187960667006357,Ridge
7.488,7.6179443165163,Ridge
2.075,2.770160902166238,Ridge
6.067,4.406883124038164,Ridge
2.143,2.669439518267261,Ridge
3.099,4.398399213775256,Ridge
6.2,7.151933482469879,Ridge
1.292,2.636585620573338,Ridge
10.0,17.272761904074066,Ridge
6.039,5.65338033341372,Ridge
10.0,6.0015,DecisionTreeRegressor
1.255,1.274,DecisionTreeRegressor
0.3,10.0,DecisionTreeRegressor
0.911,1.3735,DecisionTreeRegressor
1.056,1.878,DecisionTreeRegressor
5.0,10.0,DecisionTreeRegressor
7.236,3.052,DecisionTreeRegressor
0.969,1.3735,DecisionTreeRegressor
6.236,6.8885000000000005,DecisionTreeRegressor
1.186,1.274,DecisionTreeRegressor
6.317,2.022,DecisionTreeRegressor
6.595,5.633,DecisionTreeRegressor
7.488,5.633,DecisionTreeRegressor
2.075,10.0,DecisionTreeRegressor
6.067,1.126,DecisionTreeRegressor
2.143,1.564,DecisionTreeRegressor
3.099,1.1855,DecisionTreeRegressor
6.2,6.031,DecisionTreeRegressor
1.292,10.0,DecisionTreeRegressor
10.0,1.3145,DecisionTreeRegressor
6.039,6.121,DecisionTreeRegressor
10.0,7.4632114542549175,GradientBoostingRegressor
1.255,2.300957439495182,GradientBoostingRegressor
0.3,2.300957439495182,GradientBoostingRegressor
0.911,2.300957439495182,GradientBoostingRegressor
1.056,2.300957439495182,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,4.555831668764342,GradientBoostingRegressor
0.969,2.300957439495182,GradientBoostingRegressor
6.236,5.568438262338771,GradientBoostingRegressor
1.186,2.300957439495182,GradientBoostingRegressor
6.317,5.622197743064692,GradientBoostingRegressor
6.595,5.761521403400266,GradientBoostingRegressor
7.488,5.761521403400266,GradientBoostingRegressor
2.075,2.300957439495182,GradientBoostingRegressor
6.067,5.700488270874209,GradientBoostingRegressor
2.143,2.300957439495182,GradientBoostingRegressor
3.099,2.300957439495182,GradientBoostingRegressor
6.2,4.642243873146418,GradientBoostingRegressor
1.292,2.300957439495182,GradientBoostingRegressor
10.0,5.8279345258641415,GradientBoostingRegressor
6.039,5.568438262338771,GradientBoostingRegressor
10.0,7.233500000000001,RandomForestRegressor
1.255,2.389625,RandomForestRegressor
0.3,2.9876799999999997,RandomForestRegressor
0.911,1.4365800000000002,RandomForestRegressor
1.056,3.5789499999999994,RandomForestRegressor
5.0,4.3009999999999975,RandomForestRegressor
7.236,6.193190000000002,RandomForestRegressor
0.969,1.7703900000000008,RandomForestRegressor
6.236,5.103159999999998,RandomForestRegressor
1.186,1.8285950000000006,RandomForestRegressor
6.317,6.145854999999998,RandomForestRegressor
6.595,4.617644999999999,RandomForestRegressor
7.488,5.42229,RandomForestRegressor
2.075,3.8406900000000004,RandomForestRegressor
6.067,4.885159999999996,RandomForestRegressor
2.143,2.894049999999999,RandomForestRegressor
3.099,4.77616,RandomForestRegressor
6.2,5.692440000000001,RandomForestRegressor
1.292,2.3377800000000004,RandomForestRegressor
