Actual,Predicted,Model
10.0,13.072216203421561,Ridge
1.255,0.36973886804982925,Ridge
0.3,2.281801592003213,Ridge
0.911,1.5481725373323423,Ridge
1.056,1.299501786513733,Ridge
5.0,4.8155287324403915,Ridge
7.236,6.629264341262749,Ridge
0.969,-0.008764473454410115,Ridge
6.236,6.659793407827013,Ridge
1.186,0.28997207449970386,Ridge
6.317,7.4978577245915075,Ridge
6.595,5.055449737468616,Ridge
7.488,8.41592429105834,Ridge
2.075,2.621508806030001,Ridge
6.067,4.663437177894045,Ridge
2.143,1.8997444835333681,Ridge
3.099,3.7792198600458375,Ridge
6.2,6.549206095635292,Ridge
1.292,3.27720441395602,Ridge
10.0,16.824474349955725,Ridge
6.039,5.12478534367939,Ridge
10.0,10.0,DecisionTreeRegressor
1.255,0.6785000000000001,DecisionTreeRegressor
0.3,1.6724999999999999,DecisionTreeRegressor
0.911,0.9153333333333333,DecisionTreeRegressor
1.056,8.599499999999999,DecisionTreeRegressor
5.0,9.452,DecisionTreeRegressor
7.236,7.4383333333333335,DecisionTreeRegressor
0.969,1.9139999999999997,DecisionTreeRegressor
6.236,6.859500000000001,DecisionTreeRegressor
1.186,0.6785000000000001,DecisionTreeRegressor
6.317,7.695,DecisionTreeRegressor
6.595,6.859500000000001,DecisionTreeRegressor
7.488,6.7106666666666674,DecisionTreeRegressor
2.075,6.7106666666666674,DecisionTreeRegressor
6.067,5.929666666666667,DecisionTreeRegressor
2.143,0.5045,DecisionTreeRegressor
3.099,7.926500000000001,DecisionTreeRegressor
6.2,6.074,DecisionTreeRegressor
1.292,1.3912499999999999,DecisionTreeRegressor
10.0,0.9505,DecisionTreeRegressor
6.039,9.452,DecisionTreeRegressor
10.0,7.4632114542549175,GradientBoostingRegressor
1.255,2.300957439495182,GradientBoostingRegressor
0.3,2.300957439495182,GradientBoostingRegressor
0.911,2.300957439495182,GradientBoostingRegressor
1.056,2.300957439495182,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
