Actual,Predicted,Model
10.0,12.826597914716295,Ridge
1.255,0.41840086242578245,Ridge
0.3,2.164819505556382,Ridge
0.911,1.6110025216729533,Ridge
1.056,1.169694254000857,Ridge
5.0,5.487356185935537,Ridge
7.236,5.910895442826243,Ridge
0.969,-0.2713834289921149,Ridge
6.236,7.0526981978419006,Ridge
1.186,-0.16729534161038107,Ridge
6.317,7.053214830917194,Ridge
6.595,4.628834093939917,Ridge
7.488,7.4805869461145225,Ridge
2.075,2.6681364614104384,Ridge
6.067,5.144498564094131,Ridge
2.143,2.8552898762981505,Ridge
3.099,3.9958871599614634,Ridge
6.2,6.807221418497587,Ridge
1.292,3.523844642678664,Ridge
10.0,17.687012537546437,Ridge
6.039,5.060237195409593,Ridge
10.0,8.08875,DecisionTreeRegressor
1.255,1.495,DecisionTreeRegressor
0.3,0.923,DecisionTreeRegressor
0.911,0.9725,DecisionTreeRegressor
1.056,1.14925,DecisionTreeRegressor
5.0,1.6423333333333332,DecisionTreeRegressor
7.236,7.75,DecisionTreeRegressor
0.969,0.619,DecisionTreeRegressor
6.236,1.14925,DecisionTreeRegressor
1.186,0.9353333333333333,DecisionTreeRegressor
6.317,6.69375,DecisionTreeRegressor
6.595,6.69375,DecisionTreeRegressor
7.488,7.104333333333334,DecisionTreeRegressor
2.075,1.176,DecisionTreeRegressor
6.067,2.562666666666667,DecisionTreeRegressor
2.143,0.9353333333333333,DecisionTreeRegressor
3.099,1.176,DecisionTreeRegressor
6.2,6.69375,DecisionTreeRegressor
1.292,0.444,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
6.039,2.66825,DecisionTreeRegressor
10.0,7.4632114542549175,GradientBoostingRegressor
1.255,2.3009574394951824,GradientBoostingRegressor
0.3,2.3009574394951824,GradientBoostingRegressor
0.911,2.3009574394951824,GradientBoostingRegressor
1.056,2.3009574394951824,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,4.556106559408743,GradientBoostingRegressor
0.969,2.3009574394951824,GradientBoostingRegressor
6.236,5.568438262338771,GradientBoostingRegressor
1.186,2.3009574394951824,GradientBoostingRegressor
6.317,5.622197743064692,GradientBoostingRegressor
6.595,5.761521403400266,GradientBoostingRegressor
7.488,5.761521403400266,GradientBoostingRegressor
2.075,2.3009574394951824,GradientBoostingRegressor
6.067,5.705599382560853,GradientBoostingRegressor
2.143,2.3009574394951824,GradientBoostingRegressor
3.099,2.3009574394951824,GradientBoostingRegressor
6.2,4.576475009811294,GradientBoostingRegressor
1.292,2.3009574394951824,GradientBoostingRegressor
10.0,5.854682675223003,GradientBoostingRegressor
6.039,5.568438262338771,GradientBoostingRegressor
10.0,6.97662,RandomForestRegressor
1.255,2.92582,RandomForestRegressor
0.3,2.916939999999998,RandomForestRegressor
0.911,1.0605700000000002,RandomForestRegressor
1.056,3.431724999999999,RandomForestRegressor
5.0,4.473779999999999,RandomForestRegressor
7.236,6.23563,RandomForestRegressor
0.969,1.45859,RandomForestRegressor
6.236,5.257159999999998,RandomForestRegressor
1.186,1.5299499999999995,RandomForestRegressor
6.317,6.5879199999999996,RandomForestRegressor
6.595,4.80388,RandomForestRegressor
7.488,5.4599,RandomForestRegressor
2.075,3.8644299999999987,RandomForestRegressor
6.067,5.054759999999998,RandomForestRegressor
2.143,2.6941899999999994,RandomForestRegressor
3.099,4.206340000000001,RandomForestRegressor
6.2,5.861019999999997,RandomForestRegressor
1.292,2.9105399999999997,RandomForestRegressor
10.0,6.2905700000000015,RandomForestRegressor
6.039,5.864210000000002,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
1.255,1.7041492537313427,AdaBoostRegressor
0.3,0.8447441860465116,AdaBoostRegressor
0.911,1.7041492537313427,AdaBoostRegressor
1.056,1.7041492537313427,AdaBoostRegressor
5.0,1.7041492537313427,AdaBoostRegressor
7.236,6.679421875,AdaBoostRegressor
0.969,1.7041492537313427,AdaBoostRegressor
6.236,6.679421875,AdaBoostRegressor
1.186,1.7041492537313427,AdaBoostRegressor
6.317,6.679421875,AdaBoostRegressor
6.595,6.679421875,AdaBoostRegressor
7.488,6.679421875,AdaBoostRegressor
2.075,1.7041492537313427,AdaBoostRegressor
6.067,6.679421875,AdaBoostRegressor
2.143,1.7041492537313427,AdaBoostRegressor
3.099,1.7041492537313427,AdaBoostRegressor
6.2,6.679421875,AdaBoostRegressor
1.292,0.8447441860465116,AdaBoostRegressor
10.0,6.679421875,AdaBoostRegressor
6.039,6.679421875,AdaBoostRegressor
10.0,7.349754541811458,KNeighborsRegressor
1.255,1.1185729570141307,KNeighborsRegressor
0.3,4.153074802076331,KNeighborsRegressor
0.911,1.7102536134511064,KNeighborsRegressor
1.056,6.703049937187389,KNeighborsRegressor
5.0,4.993404777357281,KNeighborsRegressor
7.236,6.711805348960619,KNeighborsRegressor
0.969,1.4650363917828917,KNeighborsRegressor
6.236,4.58947438106278,KNeighborsRegressor
1.186,0.9773898125576692,KNeighborsRegressor
6.317,6.384222981622713,KNeighborsRegressor
6.595,4.050624613032909,KNeighborsRegressor
7.488,6.290356094499148,KNeighborsRegressor
2.075,5.518387903134301,KNeighborsRegressor
6.067,3.5458216471193396,KNeighborsRegressor
2.143,2.6112479260976413,KNeighborsRegressor
3.099,5.884855087023683,KNeighborsRegressor
6.2,5.848056143165817,KNeighborsRegressor
1.292,2.636298394696088,KNeighborsRegressor
10.0,6.825717330257094,KNeighborsRegressor
6.039,3.193539004564993,KNeighborsRegressor
10.0,9.964489991311709,MLPRegressor
1.255,0.7406697839203772,MLPRegressor
0.3,0.7890514102722441,MLPRegressor
0.911,0.477972141815173,MLPRegressor
1.056,1.2430701502954438,MLPRegressor
5.0,9.33885174256432,MLPRegressor
7.236,7.2891403398913015,MLPRegressor
0.969,0.9023808159640568,MLPRegressor
6.236,6.000687652097442,MLPRegressor
1.186,0.6203603453622628,MLPRegressor
6.317,7.474693261182122,MLPRegressor
6.595,4.494134416718025,MLPRegressor
7.488,6.479177686415876,MLPRegressor
2.075,2.1616625585593847,MLPRegressor
6.067,4.45761190258417,MLPRegressor
2.143,2.763477085763231,MLPRegressor
3.099,5.736398210341588,MLPRegressor
6.2,6.968679619056872,MLPRegressor
1.292,1.7614677919431088,MLPRegressor
10.0,9.881534014843263,MLPRegressor
6.039,5.622002832043402,MLPRegressor
10.0,8.581573003968476,ElasticNet
1.255,2.6412815594842263,ElasticNet
0.3,2.429729859954839,ElasticNet
0.911,1.8249998603717206,ElasticNet
1.056,3.0835298456111353,ElasticNet
5.0,5.324123592424771,ElasticNet
7.236,5.972414523460142,ElasticNet
0.969,1.8412105792332873,ElasticNet
6.236,4.797981874966332,ElasticNet
1.186,2.16336240212378,ElasticNet
6.317,5.65076963769932,ElasticNet
6.595,4.56179617874344,ElasticNet
7.488,5.285018309443963,ElasticNet
2.075,3.467682399861874,ElasticNet
6.067,4.8568374542014965,ElasticNet
2.143,2.7149975128953203,ElasticNet
3.099,4.237826173699016,ElasticNet
6.2,5.580258967104527,ElasticNet
1.292,2.3434883045452812,ElasticNet
10.0,9.538784667014465,ElasticNet
6.039,4.746765462440581,ElasticNet
10.0,13.838807044174143,SGDRegressor
1.255,0.2749855897390918,SGDRegressor
0.3,1.1241190282788085,SGDRegressor
0.911,0.8630187411787582,SGDRegressor
1.056,1.0228021003399652,SGDRegressor
5.0,5.87965097705559,SGDRegressor
7.236,6.272094449441701,SGDRegressor
0.969,0.36598862734420745,SGDRegressor
6.236,7.020259920465642,SGDRegressor
1.186,0.23905347435044977,SGDRegressor
6.317,6.9580836062142755,SGDRegressor
6.595,5.29101014476133,SGDRegressor
7.488,7.046876606428562,SGDRegressor
2.075,2.2251306309123793,SGDRegressor
6.067,5.492425208265012,SGDRegressor
2.143,2.45306379048196,SGDRegressor
3.099,3.62772883570366,SGDRegressor
6.2,6.7405190425608295,SGDRegressor
1.292,2.4598382683348907,SGDRegressor
10.0,16.833576507241318,SGDRegressor
6.039,5.573280108219155,SGDRegressor
10.0,11.906959966643804,BayesianRidge
1.255,0.7935934221853813,BayesianRidge
0.3,1.768788810899411,BayesianRidge
0.911,1.0200699895723822,BayesianRidge
1.056,1.8285447746954278,BayesianRidge
5.0,5.3351162473629055,BayesianRidge
7.236,6.435346929259549,BayesianRidge
0.969,-0.2147216325101331,BayesianRidge
6.236,6.344241492795042,BayesianRidge
1.186,0.2626912715250316,BayesianRidge
6.317,6.797309056551988,BayesianRidge
6.595,5.129597069130433,BayesianRidge
7.488,6.472804048637099,BayesianRidge
2.075,2.596929190692931,BayesianRidge
6.067,5.085089928173094,BayesianRidge
2.143,2.9578566337282397,BayesianRidge
