Actual,Predicted,Model
10.0,12.937874732926414,Ridge
1.255,0.5655712694626347,Ridge
0.3,2.264357667461775,Ridge
0.911,1.4906161266253513,Ridge
1.056,1.0358222340580383,Ridge
5.0,5.491531595989485,Ridge
7.236,5.835454530266462,Ridge
0.969,-0.5711522377481772,Ridge
6.236,6.923396804889009,Ridge
1.186,-0.38840945711589114,Ridge
6.317,7.408593357570961,Ridge
6.595,4.846701444885588,Ridge
7.488,7.9570674907072165,Ridge
2.075,2.5631389507568323,Ridge
6.067,4.935594631763228,Ridge
2.143,2.8694332903246282,Ridge
3.099,4.306937184629372,Ridge
6.2,7.091067395033924,Ridge
1.292,3.9359449685430956,Ridge
10.0,17.299552909533226,Ridge
6.039,5.022465072342756,Ridge
10.0,10.0,DecisionTreeRegressor
1.255,1.914,DecisionTreeRegressor
0.3,1.186,DecisionTreeRegressor
0.911,0.883,DecisionTreeRegressor
1.056,6.208,DecisionTreeRegressor
5.0,6.45,DecisionTreeRegressor
7.236,1.467,DecisionTreeRegressor
0.969,1.172,DecisionTreeRegressor
6.236,6.078,DecisionTreeRegressor
1.186,1.555,DecisionTreeRegressor
6.317,7.506,DecisionTreeRegressor
6.595,5.972,DecisionTreeRegressor
7.488,6.69,DecisionTreeRegressor
2.075,6.331,DecisionTreeRegressor
6.067,6.056,DecisionTreeRegressor
2.143,1.564,DecisionTreeRegressor
3.099,8.002,DecisionTreeRegressor
6.2,1.381,DecisionTreeRegressor
1.292,1.642,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
6.039,6.056,DecisionTreeRegressor
10.0,7.4632114542549175,GradientBoostingRegressor
1.255,2.3009574394951824,GradientBoostingRegressor
0.3,2.3009574394951824,GradientBoostingRegressor
0.911,2.3009574394951824,GradientBoostingRegressor
1.056,2.3009574394951824,GradientBoostingRegressor
5.0,7.769118093818057,GradientBoostingRegressor
7.236,4.634061044615243,GradientBoostingRegressor
0.969,2.3009574394951824,GradientBoostingRegressor
6.236,5.568438262338771,GradientBoostingRegressor
1.186,2.3009574394951824,GradientBoostingRegressor
6.317,5.622197743064692,GradientBoostingRegressor
6.595,5.761521403400266,GradientBoostingRegressor
7.488,5.761521403400266,GradientBoostingRegressor
2.075,2.3009574394951824,GradientBoostingRegressor
6.067,5.594279824199163,GradientBoostingRegressor
2.143,2.3009574394951824,GradientBoostingRegressor
3.099,2.3009574394951824,GradientBoostingRegressor
6.2,4.555508317352401,GradientBoostingRegressor
1.292,2.3009574394951824,GradientBoostingRegressor
10.0,5.9129615407521205,GradientBoostingRegressor
6.039,5.568438262338771,GradientBoostingRegressor
10.0,7.307579999999998,RandomForestRegressor
1.255,2.2470000000000003,RandomForestRegressor
0.3,3.42786,RandomForestRegressor
0.911,1.4517400000000007,RandomForestRegressor
1.056,3.834479999999998,RandomForestRegressor
5.0,5.008679999999999,RandomForestRegressor
7.236,6.581559999999999,RandomForestRegressor
0.969,1.9846600000000008,RandomForestRegressor
6.236,5.732859999999999,RandomForestRegressor
1.186,1.3357199999999998,RandomForestRegressor
6.317,6.5197999999999965,RandomForestRegressor
6.595,4.808340000000001,RandomForestRegressor
7.488,5.51396,RandomForestRegressor
2.075,4.205719999999999,RandomForestRegressor
6.067,5.1666599999999985,RandomForestRegressor
2.143,2.7516000000000003,RandomForestRegressor
3.099,4.670999999999999,RandomForestRegressor
6.2,5.96042,RandomForestRegressor
1.292,2.6889000000000003,RandomForestRegressor
10.0,6.008100000000001,RandomForestRegressor
6.039,5.661579999999999,RandomForestRegressor
