Actual,Predicted,Model
6.979,5.918022309592073,Ridge
0.625,0.989777013317894,Ridge
0.0,-0.546747545137535,Ridge
0.757,0.6314568340526034,Ridge
0.0,-1.1767442452006698,Ridge
4.713,5.050129314328055,Ridge
4.238,4.635383543570969,Ridge
0.778,0.8472821044981682,Ridge
2.934,4.216173755874105,Ridge
0.819,0.8819822345563719,Ridge
5.722,6.672730411185178,Ridge
5.722,5.591644681320315,Ridge
5.139,4.724899002889755,Ridge
4.639,5.371821052386853,Ridge
6.208,5.509632331657841,Ridge
3.49,5.121337726846638,Ridge
6.102,5.899411229566673,Ridge
4.885,5.928208674909071,Ridge
0.0,-0.33819956645960136,Ridge
5.556,5.603242479636509,Ridge
6.176,5.367072413568392,Ridge
6.979,5.538,DecisionTreeRegressor
0.625,0.347,DecisionTreeRegressor
0.0,5.699,DecisionTreeRegressor
0.757,0.7353333333333333,DecisionTreeRegressor
0.0,1.285,DecisionTreeRegressor
4.713,3.834,DecisionTreeRegressor
4.238,3.8630000000000004,DecisionTreeRegressor
0.778,0.8205,DecisionTreeRegressor
2.934,3.0729999999999995,DecisionTreeRegressor
0.819,0.0,DecisionTreeRegressor
5.722,3.4265,DecisionTreeRegressor
5.722,5.534000000000001,DecisionTreeRegressor
5.139,3.0116666666666667,DecisionTreeRegressor
4.639,5.639,DecisionTreeRegressor
6.208,5.699,DecisionTreeRegressor
3.49,0.6606666666666666,DecisionTreeRegressor
6.102,5.639,DecisionTreeRegressor
4.885,7.028,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.556,4.61025,DecisionTreeRegressor
6.176,2.2685,DecisionTreeRegressor
6.979,5.103434734874668,GradientBoostingRegressor
0.625,1.4325398961659213,GradientBoostingRegressor
0.0,1.4325398961659213,GradientBoostingRegressor
0.757,1.4325398961659213,GradientBoostingRegressor
0.0,1.4789489361508332,GradientBoostingRegressor
4.713,4.808071838384902,GradientBoostingRegressor
4.238,3.855893600045513,GradientBoostingRegressor
0.778,1.4325398961659213,GradientBoostingRegressor
2.934,3.714466625818464,GradientBoostingRegressor
0.819,1.4325398961659213,GradientBoostingRegressor
5.722,5.103434734874668,GradientBoostingRegressor
5.722,4.808071838384902,GradientBoostingRegressor
5.139,4.808071838384902,GradientBoostingRegressor
4.639,4.591743391780233,GradientBoostingRegressor
6.208,5.103434734874668,GradientBoostingRegressor
3.49,3.7846274128347406,GradientBoostingRegressor
6.102,5.036569107856364,GradientBoostingRegressor
4.885,4.776095150711494,GradientBoostingRegressor
0.0,1.4325398961659213,GradientBoostingRegressor
5.556,5.066182439354325,GradientBoostingRegressor
6.176,5.103434734874668,GradientBoostingRegressor
6.979,5.599379999999999,RandomForestRegressor
0.625,0.7275999999999998,RandomForestRegressor
0.0,0.7071000000000001,RandomForestRegressor
0.757,1.0696300000000003,RandomForestRegressor
0.0,2.17212,RandomForestRegressor
4.713,4.964929999999999,RandomForestRegressor
4.238,4.792020000000003,RandomForestRegressor
0.778,0.6913099999999999,RandomForestRegressor
2.934,3.8016499999999978,RandomForestRegressor
0.819,0.4473799999999998,RandomForestRegressor
5.722,5.770650000000002,RandomForestRegressor
5.722,5.0319199999999995,RandomForestRegressor
5.139,5.013140000000002,RandomForestRegressor
4.639,4.843110000000001,RandomForestRegressor
6.208,4.678959999999999,RandomForestRegressor
3.49,3.999719999999999,RandomForestRegressor
6.102,5.17228,RandomForestRegressor
4.885,5.05626,RandomForestRegressor
0.0,0.35505,RandomForestRegressor
5.556,4.92198,RandomForestRegressor
6.176,5.13656,RandomForestRegressor
6.979,6.3987714285714326,AdaBoostRegressor
0.625,0.7295,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.757,0.7217777777777777,AdaBoostRegressor
0.0,0.089875,AdaBoostRegressor
4.713,5.805632653061223,AdaBoostRegressor
4.238,3.6032857142857138,AdaBoostRegressor
0.778,0.7231052631578946,AdaBoostRegressor
2.934,3.777672131147541,AdaBoostRegressor
0.819,0.7252857142857143,AdaBoostRegressor
5.722,6.6176,AdaBoostRegressor
5.722,5.540906976744186,AdaBoostRegressor
5.139,4.639565217391304,AdaBoostRegressor
4.639,4.727600000000001,AdaBoostRegressor
6.208,6.326770833333332,AdaBoostRegressor
3.49,3.583242424242424,AdaBoostRegressor
6.102,5.658729729729728,AdaBoostRegressor
4.885,5.900000000000003,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
