Actual,Predicted,Model
6.979,5.6131310365337335,Ridge
0.625,0.9993604024543501,Ridge
0.0,-0.1419070467048229,Ridge
0.757,0.5142055707354709,Ridge
0.0,-1.5730460242831255,Ridge
4.713,6.034364137100461,Ridge
4.238,4.500524806319146,Ridge
0.778,0.3260774057740554,Ridge
2.934,3.847387052527749,Ridge
0.819,0.8729314445772638,Ridge
5.722,6.598470846430354,Ridge
5.722,5.532749784806278,Ridge
5.139,5.432071788504373,Ridge
4.639,4.828139920225826,Ridge
6.208,5.437731766174181,Ridge
3.49,5.342754408701307,Ridge
6.102,6.178267572184607,Ridge
4.885,6.092477331400168,Ridge
0.0,-0.34078416716348814,Ridge
5.556,5.7713289490389155,Ridge
6.176,5.511268285041973,Ridge
6.979,5.63275,DecisionTreeRegressor
0.625,0.7173333333333334,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.757,0.694,DecisionTreeRegressor
0.0,0.694,DecisionTreeRegressor
4.713,6.556,DecisionTreeRegressor
4.238,2.8175,DecisionTreeRegressor
0.778,0.0,DecisionTreeRegressor
2.934,3.75525,DecisionTreeRegressor
0.819,0.25466666666666665,DecisionTreeRegressor
5.722,6.617999999999999,DecisionTreeRegressor
5.722,4.111,DecisionTreeRegressor
5.139,4.611,DecisionTreeRegressor
4.639,6.194,DecisionTreeRegressor
6.208,6.101,DecisionTreeRegressor
3.49,0.4235,DecisionTreeRegressor
6.102,5.683,DecisionTreeRegressor
4.885,4.111,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.556,4.111,DecisionTreeRegressor
6.176,5.137499999999999,DecisionTreeRegressor
6.979,5.00472756609245,GradientBoostingRegressor
0.625,1.690699683181925,GradientBoostingRegressor
0.0,1.2251799666874552,GradientBoostingRegressor
0.757,1.690699683181925,GradientBoostingRegressor
0.0,1.2251799666874552,GradientBoostingRegressor
4.713,5.00472756609245,GradientBoostingRegressor
4.238,3.31833823016616,GradientBoostingRegressor
0.778,1.690699683181925,GradientBoostingRegressor
2.934,3.5087426739073972,GradientBoostingRegressor
0.819,1.690699683181925,GradientBoostingRegressor
5.722,5.00472756609245,GradientBoostingRegressor
5.722,5.00472756609245,GradientBoostingRegressor
5.139,4.666027938200629,GradientBoostingRegressor
4.639,4.676801924128815,GradientBoostingRegressor
6.208,5.00472756609245,GradientBoostingRegressor
3.49,3.4156062607997337,GradientBoostingRegressor
6.102,4.676801924128815,GradientBoostingRegressor
4.885,4.676801924128815,GradientBoostingRegressor
0.0,1.2251799666874552,GradientBoostingRegressor
5.556,4.545693706117739,GradientBoostingRegressor
6.176,5.00472756609245,GradientBoostingRegressor
6.979,5.73689076984127,RandomForestRegressor
0.625,0.9082118333333333,RandomForestRegressor
0.0,0.7981134047619048,RandomForestRegressor
0.757,0.90108776007326,RandomForestRegressor
0.0,1.551084547619048,RandomForestRegressor
4.713,4.613818698412699,RandomForestRegressor
4.238,4.378073833333334,RandomForestRegressor
0.778,1.0624121904761903,RandomForestRegressor
2.934,3.6297270158730175,RandomForestRegressor
0.819,0.6821537857142858,RandomForestRegressor
5.722,5.688405777777778,RandomForestRegressor
5.722,5.053955306637807,RandomForestRegressor
5.139,5.019943555555554,RandomForestRegressor
4.639,4.980861746031747,RandomForestRegressor
6.208,5.0423813174603165,RandomForestRegressor
3.49,3.6781553174603174,RandomForestRegressor
6.102,5.168385987734488,RandomForestRegressor
4.885,4.960066841269841,RandomForestRegressor
0.0,0.4469355793650794,RandomForestRegressor
5.556,4.527423285714287,RandomForestRegressor
6.176,5.2131624285714295,RandomForestRegressor
6.979,6.144241379310345,AdaBoostRegressor
0.625,0.7280769230769232,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.757,0.7271666666666664,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.713,5.883971428571429,AdaBoostRegressor
4.238,3.5236052631578954,AdaBoostRegressor
0.778,0.7280769230769232,AdaBoostRegressor
2.934,3.6353437499999997,AdaBoostRegressor
0.819,0.7338636363636365,AdaBoostRegressor
5.722,6.147313432835824,AdaBoostRegressor
5.722,5.9209000000000005,AdaBoostRegressor
5.139,5.04090909090909,AdaBoostRegressor
4.639,4.930142857142857,AdaBoostRegressor
6.208,6.177306451612908,AdaBoostRegressor
3.49,3.5306470588235292,AdaBoostRegressor
6.102,5.238631578947371,AdaBoostRegressor
4.885,5.246860000000001,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.556,6.119147540983609,AdaBoostRegressor
6.176,5.967788461538461,AdaBoostRegressor
6.979,5.245437945112488,KNeighborsRegressor
0.625,0.17341596909784993,KNeighborsRegressor
0.0,0.2834867209773994,KNeighborsRegressor
0.757,1.31590624797045,KNeighborsRegressor
0.0,5.551000345081315,KNeighborsRegressor
4.713,5.290859989468226,KNeighborsRegressor
4.238,5.170645987491913,KNeighborsRegressor
0.778,0.29560533497703084,KNeighborsRegressor
2.934,4.245253631102463,KNeighborsRegressor
0.819,0.3314839873354696,KNeighborsRegressor
5.722,5.732283061869973,KNeighborsRegressor
5.722,4.363040802351099,KNeighborsRegressor
5.139,5.254975540885036,KNeighborsRegressor
4.639,4.429397365223373,KNeighborsRegressor
6.208,5.960415134977769,KNeighborsRegressor
3.49,3.471342650982034,KNeighborsRegressor
6.102,5.484010969324366,KNeighborsRegressor
4.885,5.179103320388601,KNeighborsRegressor
0.0,0.27038525486048265,KNeighborsRegressor
5.556,4.153316639723733,KNeighborsRegressor
6.176,4.203475869735875,KNeighborsRegressor
6.979,6.444680315132751,MLPRegressor
0.625,0.0659181712629923,MLPRegressor
0.0,0.16590373841335898,MLPRegressor
0.757,0.31686283611356586,MLPRegressor
0.0,0.11515190071715457,MLPRegressor
4.713,5.1767906381729665,MLPRegressor
4.238,4.545469983697807,MLPRegressor
0.778,0.17264236861197285,MLPRegressor
2.934,2.920262350393329,MLPRegressor
0.819,0.42874439724166574,MLPRegressor
5.722,6.623293284204386,MLPRegressor
5.722,5.219524194821026,MLPRegressor
5.139,6.044157704774105,MLPRegressor
4.639,3.727528665368352,MLPRegressor
6.208,4.2766752313095,MLPRegressor
3.49,6.065779237024869,MLPRegressor
6.102,5.772094856303155,MLPRegressor
4.885,6.036921146369505,MLPRegressor
0.0,0.04020529039468584,MLPRegressor
5.556,4.72994245106798,MLPRegressor
6.176,6.415212100278122,MLPRegressor
6.979,5.088755509116898,ElasticNet
0.625,1.2787952149153292,ElasticNet
0.0,1.271213850373989,ElasticNet
0.757,1.6435295848969063,ElasticNet
0.0,1.7627936414873446,ElasticNet
4.713,4.170337641417056,ElasticNet
4.238,4.900012802528281,ElasticNet
0.778,1.257346291034771,ElasticNet
2.934,3.820315360305524,ElasticNet
0.819,1.366629595986765,ElasticNet
5.722,5.178094774458927,ElasticNet
5.722,4.48221334359434,ElasticNet
5.139,5.069439043914217,ElasticNet
4.639,4.73986043960109,ElasticNet
6.208,4.283833610616413,ElasticNet
3.49,4.216906693107023,ElasticNet
6.102,4.726187107024094,ElasticNet
4.885,5.086576883300302,ElasticNet
0.0,0.9341649338772804,ElasticNet
5.556,4.2858678464250755,ElasticNet
6.176,4.408274572028219,ElasticNet
6.979,10.829355222141032,SGDRegressor
0.625,1.500236915084518,SGDRegressor
0.0,0.35619014014985817,SGDRegressor
0.757,-0.48988064605325876,SGDRegressor
0.0,2.136437928212014,SGDRegressor
4.713,7.2929618415933195,SGDRegressor
4.238,2.827946014693054,SGDRegressor
0.778,2.586731451668196,SGDRegressor
2.934,3.953868412213022,SGDRegressor
0.819,1.4075213584841526,SGDRegressor
5.722,5.193809649372755,SGDRegressor
5.722,4.044383232105006,SGDRegressor
5.139,2.8902518024835357,SGDRegressor
4.639,6.1962624644915065,SGDRegressor
6.208,4.875777535693302,SGDRegressor
3.49,6.435909983460874,SGDRegressor
6.102,6.296615351219254,SGDRegressor
4.885,5.626483965318288,SGDRegressor
0.0,0.903858793512351,SGDRegressor
5.556,1.7978493169552925,SGDRegressor
6.176,5.426521828563874,SGDRegressor
6.979,6.115587523292166,BayesianRidge
0.625,0.3699534314729136,BayesianRidge
0.0,0.5876165549469694,BayesianRidge
0.757,0.9038124676813739,BayesianRidge
0.0,-0.3153671342882025,BayesianRidge
4.713,4.402355475949232,BayesianRidge
4.238,4.9356046150859525,BayesianRidge
0.778,0.19478542869288784,BayesianRidge
2.934,3.395246381152665,BayesianRidge
0.819,0.6453162317933261,BayesianRidge
5.722,6.5363052707593425,BayesianRidge
5.722,4.870682835865126,BayesianRidge
5.139,5.43672250193303,BayesianRidge
4.639,4.48835659655754,BayesianRidge
6.208,4.419426271580553,BayesianRidge
3.49,5.002861898789895,BayesianRidge
6.102,5.35628004071032,BayesianRidge
4.885,6.049728058213015,BayesianRidge
0.0,-0.04786602392227435,BayesianRidge
5.556,5.1583460043885045,BayesianRidge
6.176,5.162196850834047,BayesianRidge
6.979,5.652661581495492,KernelRidge
0.625,-0.09230679711984291,KernelRidge
0.0,0.6926848878794258,KernelRidge
0.757,1.7154724883220624,KernelRidge
0.0,0.052933585048173804,KernelRidge
4.713,3.9777203029077484,KernelRidge
4.238,6.348502118664224,KernelRidge
0.778,0.19688366725442652,KernelRidge
2.934,2.726139907579583,KernelRidge
0.819,1.132405389625886,KernelRidge
5.722,6.618971267589819,KernelRidge
5.722,4.192595058077541,KernelRidge
5.139,5.737090638617705,KernelRidge
4.639,4.1417545478542905,KernelRidge
6.208,3.4230494587211595,KernelRidge
3.49,3.3361169460249305,KernelRidge
6.102,5.616489510549185,KernelRidge
4.885,6.047851266952096,KernelRidge
0.0,0.8038250645258795,KernelRidge
5.556,5.37130705467336,KernelRidge
6.176,4.2470188582359665,KernelRidge
6.979,2.2407411577917045,LinearRegression
0.625,-2.3150249646128755,LinearRegression
0.0,-3.5085151043706744,LinearRegression
0.757,-2.8426434169892087,LinearRegression
0.0,-4.932270531486846,LinearRegression
4.713,2.7502937964430747,LinearRegression
4.238,1.143245245990932,LinearRegression
0.778,-3.0256251567210053,LinearRegression
