Actual,Predicted,Model
3.694,3.4363906889303326,Ridge
0.0,2.927126660864266,Ridge
0.0,-1.459272085910829,Ridge
0.0,0.4676150945655113,Ridge
0.0,0.8248698259898255,Ridge
5.04,4.788277075486734,Ridge
3.331,3.7413643243673267,Ridge
0.0,1.2080465043764441,Ridge
2.597,1.86330960387693,Ridge
0.0,0.7980052489621716,Ridge
2.295,2.455771362688653,Ridge
5.133,5.618298407335166,Ridge
4.841,5.091852601979921,Ridge
6.434,4.941895314627347,Ridge
1.038,1.9186992747726332,Ridge
3.389,0.7336386234210064,Ridge
4.392,6.566281554280499,Ridge
3.529,1.5454408409160454,Ridge
0.0,-0.763863159205858,Ridge
5.493,4.453984060484315,Ridge
4.562,4.2501147275779285,Ridge
3.694,5.179,DecisionTreeRegressor
0.0,0.336,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,2.008,DecisionTreeRegressor
0.0,1.659,DecisionTreeRegressor
5.04,4.409,DecisionTreeRegressor
3.331,5.221,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.597,3.2995,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.295,1.5945,DecisionTreeRegressor
5.133,5.042,DecisionTreeRegressor
4.841,4.135,DecisionTreeRegressor
6.434,4.746,DecisionTreeRegressor
1.038,3.5700000000000003,DecisionTreeRegressor
3.389,2.2439999999999998,DecisionTreeRegressor
4.392,5.33,DecisionTreeRegressor
3.529,2.841,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.493,5.193,DecisionTreeRegressor
4.562,2.841,DecisionTreeRegressor
3.694,2.4768562982162745,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
5.04,2.4768562982162745,GradientBoostingRegressor
3.331,2.422857097953417,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
2.597,2.397021391504954,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
2.295,2.4768562982162745,GradientBoostingRegressor
5.133,2.4768562982162745,GradientBoostingRegressor
4.841,2.4768562982162745,GradientBoostingRegressor
6.434,2.4768562982162745,GradientBoostingRegressor
1.038,2.419777928579744,GradientBoostingRegressor
3.389,2.3992721392559537,GradientBoostingRegressor
4.392,2.4768562982162745,GradientBoostingRegressor
3.529,2.4768562982162745,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
5.493,2.4768562982162745,GradientBoostingRegressor
4.562,2.4768562982162745,GradientBoostingRegressor
3.694,4.864,RandomForestRegressor
0.0,3.375,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,4.103,RandomForestRegressor
0.0,1.363,RandomForestRegressor
5.04,0.0,RandomForestRegressor
3.331,6.317,RandomForestRegressor
0.0,3.591,RandomForestRegressor
2.597,5.492,RandomForestRegressor
0.0,6.771,RandomForestRegressor
2.295,0.0,RandomForestRegressor
5.133,3.624,RandomForestRegressor
4.841,0.0,RandomForestRegressor
6.434,0.0,RandomForestRegressor
1.038,3.702,RandomForestRegressor
3.389,4.409,RandomForestRegressor
4.392,6.363,RandomForestRegressor
3.529,4.409,RandomForestRegressor
0.0,0.0,RandomForestRegressor
5.493,0.0,RandomForestRegressor
4.562,0.0,RandomForestRegressor
3.694,5.503399999999999,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.04,3.706806451612904,AdaBoostRegressor
3.331,2.2249677419354836,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
2.597,2.2249677419354836,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
2.295,3.706806451612904,AdaBoostRegressor
5.133,3.706806451612904,AdaBoostRegressor
4.841,3.706806451612904,AdaBoostRegressor
6.434,5.503399999999999,AdaBoostRegressor
1.038,3.706806451612904,AdaBoostRegressor
3.389,2.2249677419354836,AdaBoostRegressor
4.392,3.706806451612904,AdaBoostRegressor
3.529,5.503399999999999,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.493,5.503399999999999,AdaBoostRegressor
4.562,5.503399999999999,AdaBoostRegressor
3.694,3.9485342674712918,KNeighborsRegressor
0.0,0.7032781587310697,KNeighborsRegressor
0.0,0.3718931542006656,KNeighborsRegressor
0.0,0.10087360106791322,KNeighborsRegressor
0.0,3.197922782541362,KNeighborsRegressor
5.04,4.238702924512854,KNeighborsRegressor
3.331,3.813442699350363,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
2.597,2.074854067803095,KNeighborsRegressor
0.0,0.27984891084225133,KNeighborsRegressor
2.295,3.5034151908964186,KNeighborsRegressor
5.133,2.9829863406747275,KNeighborsRegressor
4.841,5.0374682988048125,KNeighborsRegressor
6.434,5.1746939646189505,KNeighborsRegressor
1.038,3.2161830196458987,KNeighborsRegressor
3.389,1.894465753090071,KNeighborsRegressor
4.392,4.654585817694287,KNeighborsRegressor
3.529,2.6064892781161126,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
5.493,1.5928439125137013,KNeighborsRegressor
4.562,1.8148293455490816,KNeighborsRegressor
3.694,-3.1611761318027645,MLPRegressor
0.0,6.493297314153613,MLPRegressor
0.0,0.04686553831063178,MLPRegressor
0.0,6.631400052703603,MLPRegressor
0.0,3.432196948710212,MLPRegressor
5.04,10.06586975136798,MLPRegressor
3.331,17.13866908676671,MLPRegressor
0.0,3.610884914211744,MLPRegressor
2.597,-3.2645496135982333,MLPRegressor
0.0,8.12998867404248,MLPRegressor
2.295,9.23550214365778,MLPRegressor
5.133,6.432394781934536,MLPRegressor
4.841,19.203926169453833,MLPRegressor
6.434,4.630524126021522,MLPRegressor
1.038,8.383166092038731,MLPRegressor
3.389,-0.8389359715978708,MLPRegressor
4.392,13.947106496754845,MLPRegressor
3.529,-4.191675467112027,MLPRegressor
0.0,-10.98950899076225,MLPRegressor
5.493,8.457236265276872,MLPRegressor
4.562,5.704657927340549,MLPRegressor
3.694,-41.86143725751779,ElasticNet
0.0,20.564590665272704,ElasticNet
0.0,-34.110416808009326,ElasticNet
0.0,13.207633404197031,ElasticNet
0.0,35.902246685714225,ElasticNet
5.04,-68.37672523713128,ElasticNet
3.331,-107.59776274264348,ElasticNet
0.0,36.355518493092816,ElasticNet
2.597,9.522952916772306,ElasticNet
0.0,37.70843266231566,ElasticNet
2.295,2.6391604898054077,ElasticNet
5.133,15.504385762059806,ElasticNet
4.841,-181.49279268773293,ElasticNet
6.434,-3.7935638846223196,ElasticNet
1.038,35.4314973899661,ElasticNet
3.389,-41.814102362300495,ElasticNet
4.392,-47.822648548232166,ElasticNet
3.529,-69.34614284395828,ElasticNet
0.0,-36.633791897442286,ElasticNet
5.493,42.44365847363458,ElasticNet
4.562,39.905784247981885,ElasticNet
3.694,1.931096853621673,SGDRegressor
0.0,6.803395670380761,SGDRegressor
0.0,-0.2771346906077192,SGDRegressor
0.0,1.9741542343304976,SGDRegressor
0.0,0.2167033471212405,SGDRegressor
5.04,4.634924565691081,SGDRegressor
3.331,4.760845009830458,SGDRegressor
0.0,0.12947637974914228,SGDRegressor
2.597,3.301592693031055,SGDRegressor
0.0,3.9936170092860666,SGDRegressor
2.295,0.8639161052712199,SGDRegressor
5.133,6.299754738535798,SGDRegressor
4.841,11.108341922042758,SGDRegressor
6.434,-0.6779273072435288,SGDRegressor
1.038,4.400117451796906,SGDRegressor
3.389,-0.4916264592572075,SGDRegressor
4.392,6.90252303913363,SGDRegressor
3.529,1.4969790091145416,SGDRegressor
0.0,-0.7250270145482585,SGDRegressor
5.493,4.156515925071169,SGDRegressor
4.562,0.3392186438013023,SGDRegressor
3.694,4.227479479023293,BayesianRidge
0.0,2.5106038682931366,BayesianRidge
0.0,-1.3539242196889223,BayesianRidge
0.0,0.021508464372919534,BayesianRidge
0.0,0.23592043203988666,BayesianRidge
5.04,4.829271322239974,BayesianRidge
3.331,3.607644858238748,BayesianRidge
0.0,0.8057259839550142,BayesianRidge
2.597,2.2255845570210173,BayesianRidge
0.0,0.21067217675761718,BayesianRidge
2.295,2.0935583381617544,BayesianRidge
5.133,5.611836923023068,BayesianRidge
4.841,4.976260210370812,BayesianRidge
6.434,5.013255545238634,BayesianRidge
1.038,1.4124957408107797,BayesianRidge
3.389,1.200656818209323,BayesianRidge
4.392,6.177975640799014,BayesianRidge
3.529,2.313574599017663,BayesianRidge
0.0,0.28127894325414005,BayesianRidge
5.493,3.930382576601291,BayesianRidge
4.562,3.8786315299446787,BayesianRidge
3.694,4.227646856423235,KernelRidge
0.0,2.5105157246871386,KernelRidge
0.0,-1.3539020965981763,KernelRidge
0.0,0.021414755785372108,KernelRidge
0.0,0.23579766190960072,KernelRidge
5.04,4.829279875062639,KernelRidge
3.331,3.607614194304915,KernelRidge
0.0,0.8056421282235533,KernelRidge
2.597,2.2256622256245464,KernelRidge
0.0,0.2105480899917893,KernelRidge
2.295,2.093482351716375,KernelRidge
5.133,5.611835647752741,KernelRidge
4.841,4.976234480011044,KernelRidge
6.434,5.0132706887234235,KernelRidge
1.038,1.4123864617431536,KernelRidge
3.389,1.2007558693294413,KernelRidge
4.392,6.177892481064191,KernelRidge
3.529,2.313735645293491,KernelRidge
0.0,0.28150104472297244,KernelRidge
5.493,3.930273461068282,KernelRidge
4.562,3.878552296955604,KernelRidge
3.694,4.23715334567712,LinearRegression
0.0,2.505444908905412,LinearRegression
0.0,-1.3526823792370273,LinearRegression
0.0,0.01602697482648452,LinearRegression
0.0,0.22875277533508154,LinearRegression
5.04,4.829725484066403,LinearRegression
3.331,3.605820918507442,LinearRegression
0.0,0.8008168646776976,LinearRegression
2.597,2.2300516110316853,LinearRegression
0.0,0.2034268813627076,LinearRegression
2.295,2.089105572500591,LinearRegression
5.133,5.611720686010889,LinearRegression
4.841,4.974723447909673,LinearRegression
6.434,5.014092370206621,LinearRegression
1.038,1.4061083207517182,LinearRegression
3.389,1.2063645938782983,LinearRegression
4.392,6.1731053262567865,LinearRegression
3.529,2.322879884506161,LinearRegression
0.0,0.2941301814975006,LinearRegression
5.493,3.9240074339240696,LinearRegression
4.562,3.8739893566616335,LinearRegression
3.694,2.8112459693159,RANSACRegressor
0.0,1.6821045345162047,RANSACRegressor
0.0,0.8946195159436823,RANSACRegressor
0.0,-0.46200805135102296,RANSACRegressor
0.0,1.0186505108372326,RANSACRegressor
5.04,5.9179347465514995,RANSACRegressor
3.331,3.806204210486812,RANSACRegressor
0.0,0.7242017645828732,RANSACRegressor
2.597,2.5711306074584694,RANSACRegressor
0.0,1.084761749829478,RANSACRegressor
2.295,3.3808724677930098,RANSACRegressor
5.133,4.031338015263943,RANSACRegressor
4.841,5.3633776570099165,RANSACRegressor
6.434,4.924136124800416,RANSACRegressor
1.038,0.42796252957621067,RANSACRegressor
