Actual,Predicted,Model
3.694,3.7206052578192494,Ridge
0.0,2.8321425874026698,Ridge
0.0,-0.372816111516995,Ridge
0.0,1.7383813882376629,Ridge
0.0,0.9500445104980848,Ridge
5.04,4.488725640681826,Ridge
3.331,4.495957351769318,Ridge
0.0,1.8824884952264629,Ridge
2.597,0.2805780046273849,Ridge
0.0,0.6647760171708477,Ridge
2.295,2.8398241856953508,Ridge
5.133,4.818116185196343,Ridge
4.841,4.725265165176088,Ridge
6.434,6.287767719654594,Ridge
1.038,2.167620692307306,Ridge
3.389,3.0236615037325283,Ridge
4.392,5.529415477768657,Ridge
3.529,1.6079776497465321,Ridge
0.0,-0.282165427888895,Ridge
5.493,4.415144569998217,Ridge
4.562,5.3822764868281485,Ridge
3.694,3.032,DecisionTreeRegressor
0.0,1.7790000000000001,DecisionTreeRegressor
0.0,3.5195,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,5.6065000000000005,DecisionTreeRegressor
5.04,3.4755,DecisionTreeRegressor
3.331,3.93,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.597,2.757,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.295,5.143,DecisionTreeRegressor
5.133,5.776,DecisionTreeRegressor
4.841,3.8034999999999997,DecisionTreeRegressor
6.434,6.063000000000001,DecisionTreeRegressor
1.038,3.573,DecisionTreeRegressor
3.389,0.0,DecisionTreeRegressor
4.392,5.143,DecisionTreeRegressor
3.529,3.714,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.493,4.7445,DecisionTreeRegressor
4.562,4.459,DecisionTreeRegressor
3.694,2.4768562982162745,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
5.04,2.4768562982162745,GradientBoostingRegressor
3.331,2.422857097953417,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
2.597,2.397124491760535,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
2.295,2.4768562982162745,GradientBoostingRegressor
5.133,2.4768562982162745,GradientBoostingRegressor
4.841,2.4768562982162745,GradientBoostingRegressor
6.434,2.4768562982162745,GradientBoostingRegressor
1.038,2.4185985958359457,GradientBoostingRegressor
3.389,2.399375239511535,GradientBoostingRegressor
4.392,2.4768562982162745,GradientBoostingRegressor
3.529,2.4768562982162745,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
5.493,2.4768562982162745,GradientBoostingRegressor
4.562,2.4768562982162745,GradientBoostingRegressor
3.694,0.0,RandomForestRegressor
0.0,1.4922499999999999,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,2.889333333333333,RandomForestRegressor
5.04,5.480142857142858,RandomForestRegressor
3.331,5.496499999999999,RandomForestRegressor
0.0,0.825375,RandomForestRegressor
2.597,1.7619999999999998,RandomForestRegressor
0.0,0.825375,RandomForestRegressor
2.295,3.207666666666667,RandomForestRegressor
5.133,3.2055,RandomForestRegressor
4.841,0.336,RandomForestRegressor
6.434,1.4922499999999999,RandomForestRegressor
1.038,0.0,RandomForestRegressor
3.389,0.825375,RandomForestRegressor
4.392,5.496499999999999,RandomForestRegressor
3.529,1.5515999999999999,RandomForestRegressor
0.0,0.0,RandomForestRegressor
5.493,3.2649999999999997,RandomForestRegressor
4.562,0.825375,RandomForestRegressor
3.694,4.899565217391302,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.04,4.027142857142858,AdaBoostRegressor
3.331,2.5455121951219506,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
2.597,2.242000000000001,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
2.295,3.624285714285714,AdaBoostRegressor
5.133,4.027142857142858,AdaBoostRegressor
4.841,4.9021621621621625,AdaBoostRegressor
6.434,5.448393442622949,AdaBoostRegressor
1.038,3.36390909090909,AdaBoostRegressor
3.389,2.4185249999999994,AdaBoostRegressor
4.392,4.027142857142858,AdaBoostRegressor
3.529,4.613784090909091,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.493,5.277478260869563,AdaBoostRegressor
4.562,5.277478260869563,AdaBoostRegressor
3.694,3.3757774981847763,KNeighborsRegressor
0.0,0.37834402616556234,KNeighborsRegressor
0.0,0.5764980170317993,KNeighborsRegressor
0.0,0.10345882711963118,KNeighborsRegressor
0.0,3.3503618498032273,KNeighborsRegressor
5.04,4.227631015655823,KNeighborsRegressor
3.331,3.1861514321923368,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
2.597,2.2295011471199646,KNeighborsRegressor
0.0,0.28617846155618804,KNeighborsRegressor
2.295,3.0047438704634715,KNeighborsRegressor
5.133,3.5364796072072577,KNeighborsRegressor
4.841,5.061363745336588,KNeighborsRegressor
6.434,5.694612556632039,KNeighborsRegressor
1.038,2.163074051644055,KNeighborsRegressor
3.389,2.686470468453731,KNeighborsRegressor
4.392,5.117936223652938,KNeighborsRegressor
3.529,3.2493208547730035,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
5.493,1.676902289745979,KNeighborsRegressor
4.562,1.8496815764233212,KNeighborsRegressor
3.694,-4.330127540390989,MLPRegressor
0.0,8.551566546515716,MLPRegressor
0.0,5.6988486581362015,MLPRegressor
0.0,5.060140206284256,MLPRegressor
0.0,1.5314553336955499,MLPRegressor
5.04,11.070560358066087,MLPRegressor
3.331,8.311685985151989,MLPRegressor
0.0,0.4370538237950554,MLPRegressor
2.597,-0.9922803669735976,MLPRegressor
0.0,5.169938766997216,MLPRegressor
2.295,9.501089844467735,MLPRegressor
5.133,2.050357696171648,MLPRegressor
4.841,13.95387433108078,MLPRegressor
6.434,13.122152918654239,MLPRegressor
1.038,3.6924154933433595,MLPRegressor
3.389,10.34731576861116,MLPRegressor
4.392,10.115032307125414,MLPRegressor
3.529,2.0029256531198145,MLPRegressor
0.0,-2.989290565080659,MLPRegressor
5.493,2.859854023199172,MLPRegressor
4.562,17.07738260000773,MLPRegressor
3.694,-44.14219435535991,ElasticNet
0.0,10.490852044818773,ElasticNet
0.0,-36.859308065476256,ElasticNet
0.0,23.528322232172744,ElasticNet
0.0,22.475982067203155,ElasticNet
5.04,-69.97195823394706,ElasticNet
3.331,-96.84844936419749,ElasticNet
0.0,32.41346248801609,ElasticNet
2.597,5.687830368116709,ElasticNet
0.0,27.925981769674245,ElasticNet
2.295,-0.8043572411143369,ElasticNet
5.133,26.754086621899198,ElasticNet
4.841,-168.5775480397891,ElasticNet
6.434,-5.863653844307608,ElasticNet
