Actual,Predicted,Model
3.694,3.713408166640553,Ridge
0.0,2.8178199704580624,Ridge
0.0,-1.0425063178341247,Ridge
0.0,1.9062912855144258,Ridge
0.0,0.4968774101612503,Ridge
5.04,3.7181031757697642,Ridge
3.331,3.8073855453024965,Ridge
0.0,1.2061292679895548,Ridge
2.597,1.158615814911748,Ridge
0.0,0.6380963426921955,Ridge
2.295,2.9986287517366907,Ridge
5.133,4.316520512834442,Ridge
4.841,5.988200268450052,Ridge
6.434,6.663585028425496,Ridge
1.038,2.212350287829617,Ridge
3.389,2.3522923555330735,Ridge
4.392,4.883977507220452,Ridge
3.529,1.4527356035837808,Ridge
0.0,0.7223714330188393,Ridge
5.493,3.5656307568935315,Ridge
4.562,5.715815402318997,Ridge
3.694,2.8834999999999997,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,4.3895,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,5.179,DecisionTreeRegressor
5.04,2.4045,DecisionTreeRegressor
3.331,2.479,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.597,2.996,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.295,3.364,DecisionTreeRegressor
5.133,4.2225,DecisionTreeRegressor
4.841,3.585,DecisionTreeRegressor
6.434,6.637,DecisionTreeRegressor
1.038,3.5700000000000003,DecisionTreeRegressor
3.389,5.289,DecisionTreeRegressor
4.392,0.0,DecisionTreeRegressor
3.529,2.8834999999999997,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.493,0.0,DecisionTreeRegressor
4.562,5.179,DecisionTreeRegressor
3.694,2.4768562982162745,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
5.04,2.4768562982162745,GradientBoostingRegressor
3.331,2.422857097953417,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
2.597,2.39672771852355,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
2.295,2.4768562982162745,GradientBoostingRegressor
5.133,2.4768562982162745,GradientBoostingRegressor
4.841,2.4768562982162745,GradientBoostingRegressor
6.434,2.4768562982162745,GradientBoostingRegressor
1.038,2.4209904266243902,GradientBoostingRegressor
3.389,2.3982289675235497,GradientBoostingRegressor
4.392,2.4768562982162745,GradientBoostingRegressor
3.529,2.4768562982162745,GradientBoostingRegressor
0.0,2.3514427850714803,GradientBoostingRegressor
5.493,2.4768562982162745,GradientBoostingRegressor
4.562,2.4768562982162745,GradientBoostingRegressor
3.694,2.421,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,6.031,RandomForestRegressor
5.04,2.612,RandomForestRegressor
3.331,6.561,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.597,0.874,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.295,2.062,RandomForestRegressor
5.133,3.375,RandomForestRegressor
4.841,5.221,RandomForestRegressor
6.434,5.308,RandomForestRegressor
1.038,0.0,RandomForestRegressor
3.389,3.235,RandomForestRegressor
4.392,6.771,RandomForestRegressor
3.529,1.363,RandomForestRegressor
0.0,0.0,RandomForestRegressor
5.493,3.363,RandomForestRegressor
4.562,2.421,RandomForestRegressor
3.694,5.429723076923074,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.04,3.2932857142857137,AdaBoostRegressor
3.331,2.2850624999999996,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
2.597,2.2850624999999996,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
2.295,3.2932857142857137,AdaBoostRegressor
5.133,3.2932857142857137,AdaBoostRegressor
4.841,5.429723076923074,AdaBoostRegressor
6.434,5.429723076923074,AdaBoostRegressor
1.038,3.2932857142857137,AdaBoostRegressor
3.389,2.2850624999999996,AdaBoostRegressor
4.392,3.2932857142857137,AdaBoostRegressor
3.529,5.429723076923074,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
5.493,5.429723076923074,AdaBoostRegressor
4.562,5.429723076923074,AdaBoostRegressor
