Actual,Predicted,Model
5.773,5.69805605088322,Ridge
7.407,7.522145853970861,Ridge
8.889,7.833448939242722,Ridge
10.0,7.384319146182615,Ridge
10.0,9.888485257987588,Ridge
3.296,3.223282835757191,Ridge
5.265,4.931493201403544,Ridge
10.0,7.644738434371575,Ridge
3.788,5.0310898840470735,Ridge
10.0,9.191785624132159,Ridge
4.602,3.552085273784186,Ridge
2.329,5.330641322687836,Ridge
2.515,1.4841559171929912,Ridge
4.248,3.1078189259893216,Ridge
6.328,8.795999390040741,Ridge
3.925,1.131791878329337,Ridge
3.907,5.610372329100764,Ridge
5.269,4.24334035527226,Ridge
10.0,7.13364240644274,Ridge
3.627,6.900535685112944,Ridge
3.275,2.005997191283224,Ridge
5.773,5.4065,DecisionTreeRegressor
7.407,7.2225,DecisionTreeRegressor
8.889,5.741,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,4.599,DecisionTreeRegressor
3.296,4.8215,DecisionTreeRegressor
5.265,5.4065,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.788,5.7575,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.7295,DecisionTreeRegressor
2.329,3.194,DecisionTreeRegressor
2.515,4.8215,DecisionTreeRegressor
4.248,4.8215,DecisionTreeRegressor
6.328,5.494,DecisionTreeRegressor
3.925,2.348,DecisionTreeRegressor
3.907,3.4175,DecisionTreeRegressor
5.269,5.21,DecisionTreeRegressor
10.0,3.504,DecisionTreeRegressor
3.627,4.528,DecisionTreeRegressor
3.275,3.194,DecisionTreeRegressor
5.773,5.650527705482381,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.296,4.622028498899789,GradientBoostingRegressor
5.265,5.632647042939756,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.788,4.894052703936985,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
4.602,4.959460145285116,GradientBoostingRegressor
2.329,4.449628997786734,GradientBoostingRegressor
2.515,4.49065707724205,GradientBoostingRegressor
4.248,4.734443001292858,GradientBoostingRegressor
