Actual,Predicted,Model
5.773,5.082152325001519,Ridge
7.407,8.348841660010121,Ridge
8.889,7.5858165308219085,Ridge
10.0,8.821109931652252,Ridge
10.0,9.637634511849768,Ridge
3.296,5.6204853097376155,Ridge
5.265,4.350704862346717,Ridge
10.0,8.718069926694108,Ridge
3.788,6.139385548162365,Ridge
10.0,9.930585103130914,Ridge
4.602,3.0559260938232415,Ridge
2.329,5.272461144629493,Ridge
2.515,1.9043208078211147,Ridge
4.248,5.093541782513884,Ridge
6.328,9.159023587095428,Ridge
3.925,1.2945597377247076,Ridge
3.907,5.370685860849371,Ridge
5.269,4.188367598267538,Ridge
10.0,8.207435776612993,Ridge
3.627,6.8473756039875635,Ridge
3.275,3.33766899326383,Ridge
5.773,5.033333333333333,DecisionTreeRegressor
7.407,10.0,DecisionTreeRegressor
8.889,8.426,DecisionTreeRegressor
10.0,8.333333333333334,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,4.704,DecisionTreeRegressor
5.265,5.144,DecisionTreeRegressor
10.0,6.223,DecisionTreeRegressor
3.788,4.311,DecisionTreeRegressor
10.0,6.073,DecisionTreeRegressor
4.602,5.093999999999999,DecisionTreeRegressor
2.329,2.517,DecisionTreeRegressor
2.515,4.704,DecisionTreeRegressor
4.248,2.517,DecisionTreeRegressor
6.328,10.0,DecisionTreeRegressor
3.925,5.642666666666667,DecisionTreeRegressor
3.907,5.144,DecisionTreeRegressor
5.269,5.26,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.627,2.9175,DecisionTreeRegressor
3.275,3.326333333333333,DecisionTreeRegressor
5.773,5.534730195418414,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.296,4.662539149174629,GradientBoostingRegressor
5.265,5.516369986443927,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.788,4.731818540071114,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
4.602,4.952646893566834,GradientBoostingRegressor
2.329,4.385555002882751,GradientBoostingRegressor
2.515,4.497778293540527,GradientBoostingRegressor
4.248,4.842604285389255,GradientBoostingRegressor
6.328,5.621375622450186,GradientBoostingRegressor
3.925,4.455433568209682,GradientBoostingRegressor
3.907,4.8098207094436285,GradientBoostingRegressor
5.269,5.614807259564755,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.627,4.783467340222508,GradientBoostingRegressor
3.275,4.649083368526982,GradientBoostingRegressor
5.773,5.469539999999999,RandomForestRegressor
7.407,7.150780000000001,RandomForestRegressor
8.889,6.48682,RandomForestRegressor
10.0,9.64166,RandomForestRegressor
10.0,7.83228,RandomForestRegressor
3.296,4.407940000000002,RandomForestRegressor
5.265,5.113239999999999,RandomForestRegressor
10.0,8.589579999999998,RandomForestRegressor
3.788,4.6711800000000006,RandomForestRegressor
10.0,9.44344,RandomForestRegressor
4.602,4.49018,RandomForestRegressor
2.329,3.998400000000001,RandomForestRegressor
2.515,4.02486,RandomForestRegressor
4.248,4.32314,RandomForestRegressor
6.328,6.045039999999999,RandomForestRegressor
3.925,4.069620000000001,RandomForestRegressor
3.907,4.3898600000000005,RandomForestRegressor
5.269,5.4615599999999995,RandomForestRegressor
10.0,8.204,RandomForestRegressor
3.627,5.005780000000001,RandomForestRegressor
3.275,4.569960000000001,RandomForestRegressor
5.773,5.043,AdaBoostRegressor
7.407,7.430562500000001,AdaBoostRegressor
8.889,7.430562500000001,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,3.9624864864864864,AdaBoostRegressor
5.265,4.959422535211268,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,4.070666666666667,AdaBoostRegressor
