Actual,Predicted,Model
5.773,5.851057997005005,Ridge
7.407,8.072049315865048,Ridge
8.889,8.246997269105425,Ridge
10.0,8.903147487693333,Ridge
10.0,9.19261867998209,Ridge
3.296,3.906411155217742,Ridge
5.265,4.968125058675811,Ridge
10.0,8.559795957561368,Ridge
3.788,5.5753511098080635,Ridge
10.0,9.454821849950578,Ridge
4.602,2.8282352876296515,Ridge
2.329,4.422297921542944,Ridge
2.515,1.7536831079597173,Ridge
4.248,5.203800426971129,Ridge
6.328,9.11086032234848,Ridge
3.925,1.6840290631310992,Ridge
3.907,4.656990915127528,Ridge
5.269,4.297580024092433,Ridge
10.0,9.17156287630529,Ridge
3.627,5.989888049536637,Ridge
3.275,2.9011636033611174,Ridge
5.773,5.534,DecisionTreeRegressor
7.407,6.667,DecisionTreeRegressor
8.889,5.9635,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,4.157,DecisionTreeRegressor
3.296,3.911,DecisionTreeRegressor
5.265,5.112,DecisionTreeRegressor
10.0,3.911,DecisionTreeRegressor
3.788,3.481,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.485,DecisionTreeRegressor
2.329,3.9154999999999998,DecisionTreeRegressor
2.515,4.491,DecisionTreeRegressor
4.248,5.1825,DecisionTreeRegressor
6.328,5.9635,DecisionTreeRegressor
3.925,3.0495,DecisionTreeRegressor
3.907,5.1825,DecisionTreeRegressor
5.269,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.627,3.1755,DecisionTreeRegressor
3.275,3.911,DecisionTreeRegressor
5.773,5.563028405783264,GradientBoostingRegressor
7.407,6.8629115857104415,GradientBoostingRegressor
8.889,6.8629115857104415,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.296,4.675597579626914,GradientBoostingRegressor
5.265,5.563028405783264,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.788,4.780173292150713,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
4.602,4.960538662411937,GradientBoostingRegressor
2.329,4.422415293889817,GradientBoostingRegressor
2.515,4.493849898386362,GradientBoostingRegressor
4.248,4.75284768363963,GradientBoostingRegressor
6.328,5.620832617739205,GradientBoostingRegressor
3.925,4.540405889506156,GradientBoostingRegressor
3.907,4.809044784093637,GradientBoostingRegressor
5.269,5.610442167074561,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.627,4.84422258000705,GradientBoostingRegressor
3.275,4.654605052575816,GradientBoostingRegressor
5.773,5.369415000000001,RandomForestRegressor
7.407,6.4495249999999995,RandomForestRegressor
8.889,6.519305000000002,RandomForestRegressor
10.0,9.216755000000001,RandomForestRegressor
10.0,7.794874999999998,RandomForestRegressor
3.296,4.363430000000002,RandomForestRegressor
5.265,5.390619999999999,RandomForestRegressor
10.0,8.743879999999999,RandomForestRegressor
3.788,4.721584999999999,RandomForestRegressor
10.0,9.363515,RandomForestRegressor
4.602,4.6664449999999995,RandomForestRegressor
2.329,3.771805000000002,RandomForestRegressor
2.515,4.239024999999999,RandomForestRegressor
4.248,4.436755,RandomForestRegressor
6.328,6.031735,RandomForestRegressor
3.925,4.174174999999999,RandomForestRegressor
3.907,4.28496,RandomForestRegressor
5.269,5.43142,RandomForestRegressor
10.0,8.6972,RandomForestRegressor
3.627,4.900149999999997,RandomForestRegressor
3.275,4.373364999999997,RandomForestRegressor
5.773,5.057097222222222,AdaBoostRegressor
7.407,7.41525,AdaBoostRegressor
8.889,7.460357142857141,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,4.024160493827158,AdaBoostRegressor
5.265,5.057097222222222,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,4.3555714285714275,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.602,4.7291807228915665,AdaBoostRegressor
2.329,3.533120689655173,AdaBoostRegressor
2.515,3.6850333333333336,AdaBoostRegressor
4.248,4.551057142857145,AdaBoostRegressor
6.328,5.1558850574712585,AdaBoostRegressor
3.925,3.465311827956987,AdaBoostRegressor
3.907,4.205463414634146,AdaBoostRegressor
5.269,4.946232142857142,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.627,3.7021941747572833,AdaBoostRegressor
3.275,4.630566666666667,AdaBoostRegressor
5.773,5.509758975994874,KNeighborsRegressor
7.407,8.07547073486142,KNeighborsRegressor
8.889,7.006710765378859,KNeighborsRegressor
10.0,8.811081136717897,KNeighborsRegressor
10.0,5.3013900781940135,KNeighborsRegressor
3.296,3.4339810798978654,KNeighborsRegressor
5.265,5.362787167705481,KNeighborsRegressor
10.0,9.054137156509075,KNeighborsRegressor
3.788,5.153763791611453,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.602,4.360265555050487,KNeighborsRegressor
2.329,4.5977291217011675,KNeighborsRegressor
2.515,4.137490104903853,KNeighborsRegressor
4.248,4.073500783375452,KNeighborsRegressor
6.328,5.695734774061664,KNeighborsRegressor
3.925,3.3402981088254076,KNeighborsRegressor
3.907,3.818008394048414,KNeighborsRegressor
5.269,5.000825472478242,KNeighborsRegressor
10.0,6.670185741380485,KNeighborsRegressor
3.627,6.826115172683667,KNeighborsRegressor
3.275,4.271827991687246,KNeighborsRegressor
5.773,5.631797272188163,MLPRegressor
7.407,7.855204817835191,MLPRegressor
8.889,8.521989522603311,MLPRegressor
10.0,9.863005449912473,MLPRegressor
10.0,8.928217482049943,MLPRegressor
3.296,3.404193471620491,MLPRegressor
5.265,5.056736423928484,MLPRegressor
10.0,9.887948614683529,MLPRegressor
3.788,5.25926049470729,MLPRegressor
10.0,9.955806006564089,MLPRegressor
4.602,3.8296301101822254,MLPRegressor
2.329,3.4215470394055103,MLPRegressor
2.515,3.5694594333559446,MLPRegressor
4.248,5.288242339606933,MLPRegressor
6.328,8.961373889157946,MLPRegressor
3.925,3.1624588834218916,MLPRegressor
3.907,3.5737452649834034,MLPRegressor
5.269,5.067572554668084,MLPRegressor
10.0,9.672856011125354,MLPRegressor
3.627,7.004085902357671,MLPRegressor
3.275,3.3878841479204946,MLPRegressor
5.773,5.361255762482952,ElasticNet
7.407,7.222506163816117,ElasticNet
8.889,7.4101385440899605,ElasticNet
10.0,7.471073382579966,ElasticNet
10.0,7.606725840025161,ElasticNet
3.296,5.3640621494112875,ElasticNet
5.265,5.538244018599743,ElasticNet
10.0,7.471073382579966,ElasticNet
3.788,5.178341404855597,ElasticNet
10.0,7.471073382579966,ElasticNet
4.602,4.441571789944771,ElasticNet
2.329,4.9493926784138065,ElasticNet
2.515,4.531657492621625,ElasticNet
4.248,4.456565115721242,ElasticNet
6.328,5.757161981028116,ElasticNet
3.925,4.976939759702091,ElasticNet
3.907,4.849965790908268,ElasticNet
5.269,4.49128523369754,ElasticNet
10.0,7.4228653907905535,ElasticNet
3.627,4.849965790908268,ElasticNet
3.275,5.3303055711825,ElasticNet
5.773,5.831939456971237,SGDRegressor
7.407,7.623320505316143,SGDRegressor
8.889,8.117565006367128,SGDRegressor
10.0,8.844940635218826,SGDRegressor
10.0,9.420905252822287,SGDRegressor
3.296,2.94720710641368,SGDRegressor
5.265,4.8579419139814615,SGDRegressor
10.0,8.093597416934413,SGDRegressor
3.788,4.885380991633539,SGDRegressor
10.0,8.682246414967796,SGDRegressor
4.602,2.7862117059353784,SGDRegressor
2.329,3.7293503672642037,SGDRegressor
2.515,1.2935415127386731,SGDRegressor
4.248,5.566094272861592,SGDRegressor
6.328,8.697289323791608,SGDRegressor
3.925,2.321477155057894,SGDRegressor
3.907,3.786163992514041,SGDRegressor
5.269,4.370072460743422,SGDRegressor
10.0,9.438263792164385,SGDRegressor
3.627,5.466236466513201,SGDRegressor
3.275,2.5117921009984614,SGDRegressor
5.773,5.332447498071534,BayesianRidge
7.407,7.745074595199506,BayesianRidge
8.889,7.884237277553232,BayesianRidge
10.0,8.458968283516578,BayesianRidge
10.0,8.66881978818993,BayesianRidge
3.296,3.601212958002909,BayesianRidge
5.265,4.640105729130786,BayesianRidge
10.0,8.41967831938894,BayesianRidge
3.788,5.8880668276106185,BayesianRidge
10.0,9.249633227849722,BayesianRidge
4.602,2.8936044558249177,BayesianRidge
2.329,4.262544506016621,BayesianRidge
2.515,2.174753905713526,BayesianRidge
4.248,5.065300825915269,BayesianRidge
6.328,7.9414197635528545,BayesianRidge
3.925,3.1583560956180876,BayesianRidge
3.907,3.1997465278042574,BayesianRidge
5.269,3.853491480822819,BayesianRidge
10.0,8.047739096144287,BayesianRidge
3.627,5.47719769623746,BayesianRidge
3.275,4.026438017151213,BayesianRidge
5.773,5.531525438772746,KernelRidge
7.407,7.83343900940768,KernelRidge
8.889,8.133724045785051,KernelRidge
10.0,8.604829901352375,KernelRidge
10.0,8.994683188083528,KernelRidge
3.296,3.622180646859885,KernelRidge
5.265,4.765701153124375,KernelRidge
10.0,8.51765612976238,KernelRidge
3.788,5.723973754913274,KernelRidge
10.0,9.333568889456345,KernelRidge
4.602,2.729563225822133,KernelRidge
2.329,4.280128625062186,KernelRidge
2.515,1.8360211733989473,KernelRidge
4.248,5.141930272936634,KernelRidge
6.328,8.42455843740209,KernelRidge
3.925,2.5431685696306765,KernelRidge
3.907,3.65877936829542,KernelRidge
5.269,3.858085134720305,KernelRidge
10.0,8.559646216003447,KernelRidge
3.627,5.711272708237239,KernelRidge
3.275,3.558185940038701,KernelRidge
5.773,6.7235658695662694,LinearRegression
7.407,7.113310708783302,LinearRegression
8.889,9.532406548577418,LinearRegression
10.0,10.543856596809317,LinearRegression
10.0,10.626357307309688,LinearRegression
3.296,3.0486147923755027,LinearRegression
5.265,4.988994211518927,LinearRegression
10.0,10.186678780392118,LinearRegression
3.788,4.254521787696136,LinearRegression
10.0,9.786855237759735,LinearRegression
4.602,4.329939736416128,LinearRegression
2.329,2.137942338141015,LinearRegression
2.515,2.585832297545631,LinearRegression
4.248,4.253244649598861,LinearRegression
6.328,6.386679175117659,LinearRegression
3.925,3.0466434426362925,LinearRegression
3.907,4.47250912381871,LinearRegression
5.269,4.820653721358828,LinearRegression
10.0,10.51574136387676,LinearRegression
3.627,6.345365677756003,LinearRegression
3.275,3.207758694293472,LinearRegression
5.773,3.357331452084487,RANSACRegressor
7.407,2.972264676553211,RANSACRegressor
8.889,3.5976061168783646,RANSACRegressor
10.0,3.3647883292636394,RANSACRegressor
10.0,4.017056662881822,RANSACRegressor
3.296,2.6634776036044414,RANSACRegressor
5.265,3.354203065606287,RANSACRegressor
10.0,3.5108601675107933,RANSACRegressor
3.788,2.615385264726079,RANSACRegressor
10.0,3.3486593007737775,RANSACRegressor
4.602,3.4226758879217205,RANSACRegressor
2.329,3.554448791848769,RANSACRegressor
2.515,2.5146013540956136,RANSACRegressor
4.248,3.161768965719691,RANSACRegressor
6.328,4.261392048576741,RANSACRegressor
3.925,2.8284020292817007,RANSACRegressor
3.907,4.1525384614480325,RANSACRegressor
5.269,3.363212662345654,RANSACRegressor
10.0,3.3676569815725554,RANSACRegressor
3.627,2.458185598836832,RANSACRegressor
3.275,3.57963753599222,RANSACRegressor
5.773,6.723275766578902,TheilSenRegressor
7.407,7.657597354991894,TheilSenRegressor
8.889,9.16146035560443,TheilSenRegressor
10.0,10.867720862647477,TheilSenRegressor
10.0,10.84692626072548,TheilSenRegressor
3.296,2.5391626147774247,TheilSenRegressor
5.265,4.798689358533332,TheilSenRegressor
10.0,10.4606388044447,TheilSenRegressor
3.788,4.009081986208188,TheilSenRegressor
10.0,10.246631032920389,TheilSenRegressor
4.602,4.725269911446843,TheilSenRegressor
2.329,2.480489871481742,TheilSenRegressor
2.515,2.5549920059122337,TheilSenRegressor
4.248,4.357850843758386,TheilSenRegressor
6.328,6.900122603678295,TheilSenRegressor
3.925,3.4404185836122942,TheilSenRegressor
3.907,5.041750807239515,TheilSenRegressor
5.269,5.964110783780918,TheilSenRegressor
10.0,10.332281775473199,TheilSenRegressor
3.627,6.386894185746365,TheilSenRegressor
3.275,2.8232003588707992,TheilSenRegressor
5.773,4.0761237144470215,TensorFlow
7.407,7.5948052406311035,TensorFlow
8.889,7.082049369812012,TensorFlow
10.0,7.64504337310791,TensorFlow
10.0,7.2047600746154785,TensorFlow
3.296,3.608696460723877,TensorFlow
5.265,6.055838584899902,TensorFlow
