Actual,Predicted,Model
5.773,4.902217294712516,Ridge
7.407,8.599465590031482,Ridge
8.889,8.168227274932077,Ridge
10.0,8.82030144785473,Ridge
10.0,9.600816467018605,Ridge
3.296,5.215866138080104,Ridge
5.265,5.379277057971436,Ridge
10.0,7.5203212102399295,Ridge
3.788,5.47675126553639,Ridge
10.0,9.663221822277468,Ridge
4.602,3.6238919807274463,Ridge
2.329,5.454914826106343,Ridge
2.515,1.4492842599068698,Ridge
4.248,4.65998778645239,Ridge
6.328,8.982044819422352,Ridge
3.925,1.4460475108215567,Ridge
3.907,6.04501081989118,Ridge
5.269,5.609909028269214,Ridge
10.0,8.620953053118976,Ridge
3.627,6.880759817709952,Ridge
3.275,3.0915178983927825,Ridge
5.773,5.292000000000001,DecisionTreeRegressor
7.407,7.284,DecisionTreeRegressor
8.889,5.741,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,3.7610000000000006,DecisionTreeRegressor
5.265,5.292000000000001,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.788,3.2475,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.657,DecisionTreeRegressor
2.329,4.287,DecisionTreeRegressor
2.515,3.499,DecisionTreeRegressor
4.248,5.28,DecisionTreeRegressor
6.328,5.548333333333333,DecisionTreeRegressor
3.925,2.81825,DecisionTreeRegressor
3.907,2.6574999999999998,DecisionTreeRegressor
5.269,6.008249999999999,DecisionTreeRegressor
10.0,4.444,DecisionTreeRegressor
3.627,7.8485,DecisionTreeRegressor
3.275,5.128,DecisionTreeRegressor
5.773,5.5446054688678785,GradientBoostingRegressor
7.407,6.851515826620528,GradientBoostingRegressor
8.889,6.851515826620528,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.296,4.613727810005092,GradientBoostingRegressor
5.265,5.5262452598933915,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.788,4.726790416566284,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
4.602,4.962143315762576,GradientBoostingRegressor
2.329,4.405793352649698,GradientBoostingRegressor
2.515,4.469367186846691,GradientBoostingRegressor
4.248,4.847024324347973,GradientBoostingRegressor
6.328,5.615683528799828,GradientBoostingRegressor
3.925,4.4531573217349925,GradientBoostingRegressor
3.907,4.790364250763277,GradientBoostingRegressor
5.269,5.605112163315277,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.627,4.799580320388652,GradientBoostingRegressor
3.275,4.6395695338797305,GradientBoostingRegressor
5.773,5.328500000000003,RandomForestRegressor
7.407,6.657599999999999,RandomForestRegressor
8.889,6.777099999999997,RandomForestRegressor
10.0,9.360429999999997,RandomForestRegressor
10.0,7.876569999999998,RandomForestRegressor
3.296,4.20741,RandomForestRegressor
5.265,5.16861,RandomForestRegressor
10.0,8.365969999999999,RandomForestRegressor
3.788,4.782409999999998,RandomForestRegressor
10.0,9.311449999999999,RandomForestRegressor
4.602,4.485549999999998,RandomForestRegressor
2.329,3.61744,RandomForestRegressor
2.515,3.7934599999999996,RandomForestRegressor
4.248,4.1735599999999975,RandomForestRegressor
6.328,6.231139999999999,RandomForestRegressor
3.925,4.757339999999998,RandomForestRegressor
3.907,4.005719999999999,RandomForestRegressor
5.269,5.226430000000002,RandomForestRegressor
10.0,8.4367,RandomForestRegressor
3.627,4.5208499999999985,RandomForestRegressor
3.275,4.31818,RandomForestRegressor
5.773,5.054133333333334,AdaBoostRegressor
7.407,7.465562500000001,AdaBoostRegressor
8.889,7.438285714285715,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,3.8781348314606716,AdaBoostRegressor
5.265,4.979800000000001,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,3.9392749999999994,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.602,4.629142857142857,AdaBoostRegressor
2.329,3.7031182795698934,AdaBoostRegressor
2.515,3.78917391304348,AdaBoostRegressor
4.248,4.3516896551724145,AdaBoostRegressor
6.328,5.325303571428572,AdaBoostRegressor
3.925,3.6351267605633817,AdaBoostRegressor
3.907,3.9373061224489794,AdaBoostRegressor
5.269,5.073321428571428,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.627,3.9392749999999994,AdaBoostRegressor
3.275,4.009298850574714,AdaBoostRegressor
5.773,5.597452511092469,KNeighborsRegressor
7.407,8.085034343450411,KNeighborsRegressor
8.889,7.008536515210703,KNeighborsRegressor
10.0,8.87892961593659,KNeighborsRegressor
10.0,5.4578578405527995,KNeighborsRegressor
3.296,3.415900839944897,KNeighborsRegressor
5.265,5.364657080014752,KNeighborsRegressor
10.0,9.556391125515256,KNeighborsRegressor
3.788,5.182463575988029,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.602,4.355180313270195,KNeighborsRegressor
2.329,4.54326406874975,KNeighborsRegressor
2.515,3.8254112034915453,KNeighborsRegressor
4.248,3.692233658699355,KNeighborsRegressor
6.328,5.688533446442441,KNeighborsRegressor
3.925,4.834577123942736,KNeighborsRegressor
3.907,3.753940994165738,KNeighborsRegressor
5.269,5.01996132866143,KNeighborsRegressor
10.0,8.252288301365645,KNeighborsRegressor
3.627,5.599170609256361,KNeighborsRegressor
3.275,5.527317626115048,KNeighborsRegressor
5.773,5.37303458066677,MLPRegressor
7.407,7.237083708936644,MLPRegressor
8.889,8.318181392850427,MLPRegressor
10.0,9.892385828632476,MLPRegressor
10.0,7.810071846600174,MLPRegressor
3.296,3.0788339065707153,MLPRegressor
5.265,4.930051265941879,MLPRegressor
10.0,9.890262283802747,MLPRegressor
3.788,4.335063182171103,MLPRegressor
10.0,9.973909762188576,MLPRegressor
4.602,3.883656966040306,MLPRegressor
2.329,2.9956946988205035,MLPRegressor
2.515,3.200550379999165,MLPRegressor
4.248,5.0384931079617665,MLPRegressor
6.328,8.761074892896108,MLPRegressor
3.925,3.436561447512181,MLPRegressor
3.907,3.423075546201588,MLPRegressor
5.269,5.575149253046011,MLPRegressor
10.0,9.73724750134896,MLPRegressor
3.627,3.41322580459743,MLPRegressor
3.275,3.9295607700218564,MLPRegressor
5.773,5.3618969236513445,ElasticNet
7.407,7.222657071092648,ElasticNet
8.889,7.410817587250542,ElasticNet
10.0,7.4709563011804345,ElasticNet
10.0,7.60677667648635,ElasticNet
3.296,5.365008906839778,ElasticNet
5.265,5.538520445234382,ElasticNet
10.0,7.4709563011804345,ElasticNet
3.788,5.177419331097476,ElasticNet
10.0,7.4709563011804345,ElasticNet
4.602,4.442430760535401,ElasticNet
2.329,4.949756377150913,ElasticNet
2.515,4.531409834744707,ElasticNet
4.248,4.456957436088193,ElasticNet
6.328,5.75802687651361,ElasticNet
3.925,4.976939081327505,ElasticNet
3.907,4.850436685115799,ElasticNet
5.269,4.492090606552958,ElasticNet
10.0,7.422663967968912,ElasticNet
3.627,4.850436685115799,ElasticNet
3.275,5.331359654460386,ElasticNet
5.773,5.144603433337257,SGDRegressor
7.407,6.227696043068407,SGDRegressor
8.889,8.473497466020568,SGDRegressor
10.0,8.717361442497669,SGDRegressor
10.0,9.63700861687353,SGDRegressor
3.296,3.435895400917234,SGDRegressor
5.265,3.8201097939078505,SGDRegressor
10.0,6.2976056299338765,SGDRegressor
3.788,3.78510147883476,SGDRegressor
10.0,7.4461597350945095,SGDRegressor
4.602,3.7827459187873993,SGDRegressor
2.329,4.595838458029214,SGDRegressor
2.515,-0.34431976782736307,SGDRegressor
4.248,4.529428025274032,SGDRegressor
6.328,9.626863486874116,SGDRegressor
3.925,0.6990553863717972,SGDRegressor
3.907,5.137093015645775,SGDRegressor
5.269,5.738060948547658,SGDRegressor
10.0,8.777026592461162,SGDRegressor
3.627,6.781442635854108,SGDRegressor
3.275,3.3508021325512143,SGDRegressor
5.773,5.085775312174479,BayesianRidge
7.407,7.493031487596953,BayesianRidge
8.889,7.686350849012363,BayesianRidge
10.0,8.173708079834523,BayesianRidge
10.0,8.64806562783514,BayesianRidge
3.296,3.9555621737687856,BayesianRidge
5.265,4.957589184825084,BayesianRidge
10.0,8.145986236767168,BayesianRidge
3.788,5.8079416974086255,BayesianRidge
10.0,9.131874233280254,BayesianRidge
4.602,3.1079123213241244,BayesianRidge
2.329,4.221088473182021,BayesianRidge
2.515,1.8561439952342154,BayesianRidge
4.248,5.182777529370899,BayesianRidge
6.328,7.377654557352566,BayesianRidge
3.925,3.0266109740790683,BayesianRidge
3.907,3.2898457123691327,BayesianRidge
5.269,4.133752089641815,BayesianRidge
10.0,8.079523113969278,BayesianRidge
3.627,5.71307394710704,BayesianRidge
3.275,4.3013888208412725,BayesianRidge
5.773,5.232396169546135,KernelRidge
7.407,7.059883745536621,KernelRidge
8.889,5.926121732011609,KernelRidge
10.0,8.85952793614512,KernelRidge
10.0,5.460421644352715,KernelRidge
3.296,4.0128130150546655,KernelRidge
5.265,4.111841478566867,KernelRidge
10.0,8.409920743236835,KernelRidge
3.788,5.970366196580798,KernelRidge
10.0,9.050680858348246,KernelRidge
4.602,3.365319924305673,KernelRidge
2.329,3.923288415857817,KernelRidge
2.515,2.0043463600970703,KernelRidge
4.248,3.5934364790414763,KernelRidge
6.328,5.926821855909299,KernelRidge
3.925,3.0880610321397217,KernelRidge
3.907,3.2324603933696325,KernelRidge
5.269,2.9469074920683505,KernelRidge
10.0,7.512551575670956,KernelRidge
3.627,3.4893000612746756,KernelRidge
3.275,4.784526882646876,KernelRidge
5.773,-1.1822482463158672,LinearRegression
7.407,3.0960458722742445,LinearRegression
8.889,2.1818507402405456,LinearRegression
10.0,3.0563112060745987,LinearRegression
10.0,3.8029950656489144,LinearRegression
3.296,-0.15531341178199545,LinearRegression
5.265,-0.3900916147340196,LinearRegression
10.0,1.4835197937493119,LinearRegression
3.788,-0.43898333125578143,LinearRegression
10.0,3.961392094239352,LinearRegression
4.602,-2.0937880285419816,LinearRegression
2.329,0.013851508334967469,LinearRegression
2.515,-4.237197209630114,LinearRegression
4.248,-1.2902117474329777,LinearRegression
6.328,3.4549276584898325,LinearRegression
3.925,-4.572183499455045,LinearRegression
3.907,0.7891423010754574,LinearRegression
5.269,-0.003914156774671926,LinearRegression
10.0,2.6336136758933284,LinearRegression
3.627,1.1804382456763372,LinearRegression
3.275,-2.908111351085633,LinearRegression
5.773,4.4068761981644355,RANSACRegressor
7.407,4.664499509973599,RANSACRegressor
8.889,4.634964600100061,RANSACRegressor
10.0,5.269488900289204,RANSACRegressor
10.0,5.514515633996604,RANSACRegressor
3.296,3.9068758239904673,RANSACRegressor
5.265,4.17090855683214,RANSACRegressor
10.0,4.006341057901288,RANSACRegressor
3.788,4.2856931164208865,RANSACRegressor
10.0,3.881637519814555,RANSACRegressor
4.602,5.344568012947644,RANSACRegressor
2.329,2.5751484278411825,RANSACRegressor
2.515,2.618097150712997,RANSACRegressor
4.248,6.178260513900467,RANSACRegressor
6.328,4.989706387141504,RANSACRegressor
3.925,5.222761375362278,RANSACRegressor
3.907,3.6430871158622766,RANSACRegressor
5.269,5.495257498722438,RANSACRegressor
10.0,5.327820217335077,RANSACRegressor
3.627,7.273283188862172,RANSACRegressor
3.275,3.383266232859111,RANSACRegressor
5.773,4.870694770064165,TheilSenRegressor
7.407,5.872405999611982,TheilSenRegressor
8.889,10.58295143869002,TheilSenRegressor
10.0,9.543480505803505,TheilSenRegressor
10.0,10.72931370366021,TheilSenRegressor
3.296,8.40694351615733,TheilSenRegressor
5.265,6.600345475395335,TheilSenRegressor
10.0,8.83236098403366,TheilSenRegressor
3.788,3.275832060163288,TheilSenRegressor
10.0,11.880453486997894,TheilSenRegressor
4.602,4.37020196932557,TheilSenRegressor
2.329,5.310618175250342,TheilSenRegressor
2.515,-0.8077758365897667,TheilSenRegressor
4.248,6.243798124244692,TheilSenRegressor
6.328,9.208971792908088,TheilSenRegressor
3.925,3.3161106149940864,TheilSenRegressor
3.907,9.006955540955227,TheilSenRegressor
5.269,9.052093319050773,TheilSenRegressor
10.0,7.6036087675935615,TheilSenRegressor
3.627,7.998605069602391,TheilSenRegressor
3.275,3.6082368080385487,TheilSenRegressor
5.773,5.726073741912842,TensorFlow
7.407,6.497411727905273,TensorFlow
8.889,6.335515022277832,TensorFlow
10.0,7.872143745422363,TensorFlow
10.0,7.120903491973877,TensorFlow
3.296,3.6901321411132812,TensorFlow
5.265,5.063361644744873,TensorFlow
10.0,7.610655784606934,TensorFlow
3.788,6.036499500274658,TensorFlow
10.0,10.288958549499512,TensorFlow
4.602,3.4988903999328613,TensorFlow
2.329,5.294029235839844,TensorFlow
2.515,7.428821563720703,TensorFlow
4.248,4.918195724487305,TensorFlow
6.328,6.965498924255371,TensorFlow
3.925,4.5660624504089355,TensorFlow
3.907,3.5983617305755615,TensorFlow
5.269,6.459675312042236,TensorFlow
10.0,6.159573554992676,TensorFlow
3.627,5.063116073608398,TensorFlow
3.275,3.2684500217437744,TensorFlow
