Actual,Predicted,Model
5.773,5.792801322752996,Ridge
7.407,8.555056930229519,Ridge
8.889,8.415094924465446,Ridge
10.0,8.914605507964916,Ridge
10.0,9.690060140390397,Ridge
3.296,3.718088107001838,Ridge
5.265,5.551007375621509,Ridge
10.0,8.309380894786848,Ridge
3.788,5.440185712854244,Ridge
10.0,9.73840427205064,Ridge
4.602,3.104685326686036,Ridge
2.329,5.45065754257263,Ridge
2.515,2.0270926926061916,Ridge
4.248,4.847832639812491,Ridge
6.328,8.622570446724675,Ridge
3.925,1.3714389811918846,Ridge
3.907,5.628558583074154,Ridge
5.269,5.290372556893916,Ridge
10.0,8.456336715059333,Ridge
3.627,6.267915830707436,Ridge
3.275,3.1041266264675444,Ridge
5.773,5.786,DecisionTreeRegressor
7.407,7.778,DecisionTreeRegressor
8.889,6.667,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.296,3.482,DecisionTreeRegressor
5.265,5.494,DecisionTreeRegressor
10.0,7.778,DecisionTreeRegressor
3.788,4.763,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.528,DecisionTreeRegressor
2.329,3.919,DecisionTreeRegressor
2.515,2.874,DecisionTreeRegressor
4.248,2.817,DecisionTreeRegressor
6.328,6.223,DecisionTreeRegressor
3.925,4.5634999999999994,DecisionTreeRegressor
3.907,4.147,DecisionTreeRegressor
5.269,5.408,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.627,3.222,DecisionTreeRegressor
3.275,2.9619999999999997,DecisionTreeRegressor
5.773,5.574159011746931,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.296,4.631865995336976,GradientBoostingRegressor
5.265,5.5799189207268,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.788,4.793919886861542,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
4.602,4.961603778014865,GradientBoostingRegressor
2.329,4.393129761497354,GradientBoostingRegressor
2.515,4.476405585290152,GradientBoostingRegressor
4.248,4.805819773692977,GradientBoostingRegressor
6.328,5.617205295561678,GradientBoostingRegressor
3.925,4.527237119643575,GradientBoostingRegressor
3.907,4.777698968272995,GradientBoostingRegressor
5.269,5.607029339905127,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.627,4.883089996377823,GradientBoostingRegressor
3.275,4.637128453976922,GradientBoostingRegressor
5.773,5.345519999999999,RandomForestRegressor
7.407,6.97612,RandomForestRegressor
8.889,6.840889999999999,RandomForestRegressor
10.0,9.122229999999998,RandomForestRegressor
10.0,7.945290000000003,RandomForestRegressor
3.296,3.9634899999999993,RandomForestRegressor
5.265,5.111730000000001,RandomForestRegressor
10.0,8.60327,RandomForestRegressor
3.788,4.940279999999996,RandomForestRegressor
10.0,9.579320000000001,RandomForestRegressor
4.602,4.45666,RandomForestRegressor
2.329,3.923969999999999,RandomForestRegressor
2.515,4.252309999999998,RandomForestRegressor
4.248,4.404759999999997,RandomForestRegressor
6.328,6.15306,RandomForestRegressor
3.925,4.88359,RandomForestRegressor
3.907,3.9867399999999997,RandomForestRegressor
5.269,5.080560000000001,RandomForestRegressor
10.0,8.42756,RandomForestRegressor
