Actual,Predicted,Model
5.773,5.76643367650248,Ridge
7.407,8.150130220088165,Ridge
8.889,7.562204232914334,Ridge
10.0,7.8681801879721505,Ridge
10.0,9.69790749876201,Ridge
3.296,3.2197972304532394,Ridge
5.265,4.782993589699136,Ridge
10.0,8.463287585104027,Ridge
3.788,6.208530243363309,Ridge
10.0,9.204246061606383,Ridge
4.602,2.5413011380777157,Ridge
2.329,5.132445823010272,Ridge
2.515,2.030316572395596,Ridge
4.248,3.7335775888450558,Ridge
6.328,8.907290914831464,Ridge
3.925,0.9567160561029375,Ridge
3.907,4.825919956248605,Ridge
5.269,3.645316474736188,Ridge
10.0,7.563031787311259,Ridge
3.627,6.56503784988457,Ridge
3.275,3.3829645130943784,Ridge
5.773,5.786,DecisionTreeRegressor
7.407,10.0,DecisionTreeRegressor
8.889,7.7775,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,4.167,DecisionTreeRegressor
3.296,4.7455,DecisionTreeRegressor
5.265,3.5854999999999997,DecisionTreeRegressor
10.0,6.667,DecisionTreeRegressor
3.788,2.9225000000000003,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.602,4.609500000000001,DecisionTreeRegressor
2.329,3.3015,DecisionTreeRegressor
2.515,4.343,DecisionTreeRegressor
4.248,3.9475,DecisionTreeRegressor
6.328,6.07,DecisionTreeRegressor
3.925,3.3015,DecisionTreeRegressor
3.907,3.9475,DecisionTreeRegressor
5.269,4.2684999999999995,DecisionTreeRegressor
10.0,7.917,DecisionTreeRegressor
3.627,2.348,DecisionTreeRegressor
3.275,3.375,DecisionTreeRegressor
5.773,5.651842411905617,GradientBoostingRegressor
7.407,6.859196410648784,GradientBoostingRegressor
8.889,6.859196410648784,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.296,4.6256528061319475,GradientBoostingRegressor
5.265,5.62857013968936,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.788,4.904801200083706,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
4.602,4.958952646090031,GradientBoostingRegressor
2.329,4.447826647631879,GradientBoostingRegressor
2.515,4.494303986416764,GradientBoostingRegressor
4.248,4.736365072817935,GradientBoostingRegressor
6.328,5.651842411905617,GradientBoostingRegressor
3.925,4.469374516605432,GradientBoostingRegressor
3.907,4.756045780964326,GradientBoostingRegressor
5.269,5.60842745920271,GradientBoostingRegressor
10.0,8.496486329657703,GradientBoostingRegressor
3.627,5.00698809015127,GradientBoostingRegressor
3.275,4.605625447766273,GradientBoostingRegressor
5.773,5.28528,RandomForestRegressor
7.407,6.794464999999999,RandomForestRegressor
8.889,7.079039999999997,RandomForestRegressor
10.0,9.287889999999999,RandomForestRegressor
10.0,8.091780000000002,RandomForestRegressor
3.296,4.072209999999998,RandomForestRegressor
5.265,5.2435149999999995,RandomForestRegressor
10.0,8.49117,RandomForestRegressor
3.788,4.538069999999999,RandomForestRegressor
10.0,9.20701,RandomForestRegressor
4.602,4.597964999999999,RandomForestRegressor
2.329,3.79245,RandomForestRegressor
2.515,4.19065,RandomForestRegressor
4.248,4.196249999999997,RandomForestRegressor
6.328,6.079169999999997,RandomForestRegressor
3.925,4.042040000000001,RandomForestRegressor
3.907,4.085360000000001,RandomForestRegressor
5.269,5.004130000000001,RandomForestRegressor
10.0,8.406429999999999,RandomForestRegressor
3.627,4.636369999999999,RandomForestRegressor
3.275,4.279,RandomForestRegressor
5.773,5.019233333333333,AdaBoostRegressor
7.407,7.453750000000002,AdaBoostRegressor
8.889,7.453750000000002,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.296,4.11,AdaBoostRegressor
5.265,4.943299999999999,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.788,4.55945283018868,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.602,5.09461904761905,AdaBoostRegressor
2.329,3.548857142857142,AdaBoostRegressor
2.515,3.498,AdaBoostRegressor
4.248,4.464553571428573,AdaBoostRegressor
6.328,5.327357142857144,AdaBoostRegressor
3.925,3.3781666666666683,AdaBoostRegressor
3.907,4.298823529411766,AdaBoostRegressor
5.269,5.26025,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.627,4.11,AdaBoostRegressor
3.275,4.464553571428573,AdaBoostRegressor
5.773,5.5166,KNeighborsRegressor
7.407,8.1112,KNeighborsRegressor
8.889,7.0,KNeighborsRegressor
10.0,8.8388,KNeighborsRegressor
10.0,5.2985999999999995,KNeighborsRegressor
3.296,3.9019999999999997,KNeighborsRegressor
5.265,5.3420000000000005,KNeighborsRegressor
10.0,8.5556,KNeighborsRegressor
3.788,5.2738,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.602,4.518599999999999,KNeighborsRegressor
2.329,4.6546,KNeighborsRegressor
2.515,4.118,KNeighborsRegressor
4.248,3.6590000000000003,KNeighborsRegressor
6.328,5.683,KNeighborsRegressor
3.925,4.8884,KNeighborsRegressor
3.907,3.7131999999999996,KNeighborsRegressor
5.269,4.752000000000001,KNeighborsRegressor
10.0,6.5,KNeighborsRegressor
