Actual,Predicted,Model
10.0,11.812509818832133,Ridge
0.662,0.4015003689989092,Ridge
0.2,1.5779116420535164,Ridge
0.521,1.273805273357575,Ridge
0.603,1.2057744525323497,Ridge
5.0,4.41102798023464,Ridge
4.291,5.113327415557157,Ridge
0.554,-0.8926624373338228,Ridge
3.985,3.3950355794687823,Ridge
0.678,0.251554172800057,Ridge
4.086,5.073216048148137,Ridge
4.245,3.6081892235818227,Ridge
4.785,5.201409882603871,Ridge
1.384,2.014390030319139,Ridge
3.625,2.7783531150809333,Ridge
1.181,1.7051275263209549,Ridge
1.807,2.5419239764140995,Ridge
4.019,4.905864194352803,Ridge
0.897,1.5000905709943888,Ridge
10.0,15.015259522870103,Ridge
3.927,3.6331718077385773,Ridge
10.0,4.01,DecisionTreeRegressor
0.662,3.949,DecisionTreeRegressor
0.2,0.938,DecisionTreeRegressor
0.521,0.719,DecisionTreeRegressor
0.603,1.404,DecisionTreeRegressor
5.0,1.152,DecisionTreeRegressor
4.291,-1017.54,DecisionTreeRegressor
0.554,0.574,DecisionTreeRegressor
3.985,10.0,DecisionTreeRegressor
0.678,0.597,DecisionTreeRegressor
4.086,4.448,DecisionTreeRegressor
4.245,4.113,DecisionTreeRegressor
4.785,0.706,DecisionTreeRegressor
1.384,4.094,DecisionTreeRegressor
3.625,10.0,DecisionTreeRegressor
1.181,0.727,DecisionTreeRegressor
1.807,1.388,DecisionTreeRegressor
4.019,10.0,DecisionTreeRegressor
0.897,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.927,4.0,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,-6.871703210243316,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
4.086,1.1853235048077833,GradientBoostingRegressor
4.245,1.1983158269420071,GradientBoostingRegressor
4.785,1.1983158269420071,GradientBoostingRegressor
1.384,1.1016849290240958,GradientBoostingRegressor
3.625,1.1853235048077833,GradientBoostingRegressor
1.181,1.1016849290240958,GradientBoostingRegressor
1.807,1.1016849290240958,GradientBoostingRegressor
4.019,-5.843753227158417,GradientBoostingRegressor
0.897,1.1016849290240958,GradientBoostingRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
3.927,1.1853235048077833,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
0.662,0.597,RandomForestRegressor
0.2,10.0,RandomForestRegressor
0.521,0.349,RandomForestRegressor
0.603,0.67,RandomForestRegressor
5.0,10.0,RandomForestRegressor
4.291,4.346,RandomForestRegressor
0.554,0.24,RandomForestRegressor
3.985,5.085,RandomForestRegressor
0.678,0.451,RandomForestRegressor
4.086,4.455,RandomForestRegressor
4.245,-1017.54,RandomForestRegressor
4.785,5.085,RandomForestRegressor
1.384,0.605,RandomForestRegressor
3.625,10.0,RandomForestRegressor
1.181,10.0,RandomForestRegressor
1.807,0.868,RandomForestRegressor
4.019,10.0,RandomForestRegressor
0.897,1.215,RandomForestRegressor
10.0,0.273,RandomForestRegressor
3.927,4.346,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
0.662,1.1517499999999998,AdaBoostRegressor
0.2,1.1517499999999998,AdaBoostRegressor
0.521,1.1517499999999998,AdaBoostRegressor
0.603,1.1517499999999998,AdaBoostRegressor
5.0,1.1517499999999998,AdaBoostRegressor
4.291,4.346030303030305,AdaBoostRegressor
0.554,1.1517499999999998,AdaBoostRegressor
3.985,4.346030303030305,AdaBoostRegressor
0.678,1.1517499999999998,AdaBoostRegressor
4.086,4.346030303030305,AdaBoostRegressor
4.245,4.346030303030305,AdaBoostRegressor
4.785,4.346030303030305,AdaBoostRegressor
1.384,1.1517499999999998,AdaBoostRegressor
3.625,4.346030303030305,AdaBoostRegressor
1.181,1.1517499999999998,AdaBoostRegressor
1.807,1.1517499999999998,AdaBoostRegressor
4.019,4.346030303030305,AdaBoostRegressor
0.897,1.1517499999999998,AdaBoostRegressor
10.0,4.346030303030305,AdaBoostRegressor
3.927,4.346030303030305,AdaBoostRegressor
10.0,5.579910753619717,KNeighborsRegressor
0.662,0.6165392754432544,KNeighborsRegressor
0.2,1.66135674119209,KNeighborsRegressor
0.521,1.3897312721537176,KNeighborsRegressor
0.603,4.047819930139381,KNeighborsRegressor
5.0,1.3002380223832237,KNeighborsRegressor
4.291,4.188928604612831,KNeighborsRegressor
0.554,0.6296559492342138,KNeighborsRegressor
3.985,1.6385899333474654,KNeighborsRegressor
0.678,0.5010168327482335,KNeighborsRegressor
4.086,3.4820436094489433,KNeighborsRegressor
4.245,2.703272080934031,KNeighborsRegressor
4.785,3.4388963109727513,KNeighborsRegressor
1.384,3.1958933435450163,KNeighborsRegressor
3.625,3.457827309127909,KNeighborsRegressor
1.181,0.7007968290945205,KNeighborsRegressor
1.807,3.4671157729791635,KNeighborsRegressor
4.019,2.9923093224939277,KNeighborsRegressor
0.897,1.6151473411112127,KNeighborsRegressor
10.0,4.3079743185675765,KNeighborsRegressor
3.927,1.9083378270671705,KNeighborsRegressor
10.0,2.634915331762378,MLPRegressor
0.662,6.870180233086025,MLPRegressor
0.2,2.286584048099999,MLPRegressor
0.521,8.443645423414141,MLPRegressor
0.603,5.44967782280045,MLPRegressor
5.0,7.684519668099891,MLPRegressor
4.291,14.375832003556729,MLPRegressor
0.554,3.564011539659751,MLPRegressor
3.985,-1.9109407766928097,MLPRegressor
0.678,6.718739086953789,MLPRegressor
4.086,11.324365574037481,MLPRegressor
4.245,4.704795490928567,MLPRegressor
4.785,24.219994494783172,MLPRegressor
1.384,-5.22106297305074,MLPRegressor
3.625,9.781133870905899,MLPRegressor
1.181,-1.6097842174715387,MLPRegressor
1.807,12.212143884429295,MLPRegressor
4.019,-3.7653600546918033,MLPRegressor
0.897,-8.385538464550585,MLPRegressor
10.0,17.448921227877545,MLPRegressor
3.927,6.057514355826652,MLPRegressor
10.0,-0.6604727768314769,ElasticNet
0.662,5.3341508532001,ElasticNet
0.2,-8.59350408892639,ElasticNet
0.521,4.981539235896474,ElasticNet
0.603,3.653662980264859,ElasticNet
5.0,-11.052870129354059,ElasticNet
4.291,-18.901508423480298,ElasticNet
0.554,5.111145958381519,ElasticNet
3.985,1.2144397085419851,ElasticNet
0.678,8.748302372896225,ElasticNet
4.086,3.6737617669096765,ElasticNet
4.245,9.26304192248084,ElasticNet
4.785,-45.27515115545784,ElasticNet
1.384,-2.9880990079240344,ElasticNet
3.625,10.169584115661012,ElasticNet
1.181,-9.392258058416916,ElasticNet
1.807,-3.040820971124077,ElasticNet
4.019,-14.056227734030816,ElasticNet
0.897,-0.2014576861544186,ElasticNet
10.0,14.445444840766235,ElasticNet
3.927,9.87355783160649,ElasticNet
10.0,1.826247098215036,SGDRegressor
0.662,0.8275963858592617,SGDRegressor
0.2,0.4161703210149057,SGDRegressor
0.521,0.32954658812816207,SGDRegressor
0.603,1.531107659471845,SGDRegressor
5.0,1.4231414638141695,SGDRegressor
4.291,2.3437503081812148,SGDRegressor
0.554,0.6269362975119416,SGDRegressor
3.985,1.3629527454769634,SGDRegressor
0.678,0.35199259271762695,SGDRegressor
4.086,1.743823359866397,SGDRegressor
4.245,1.4414675355408826,SGDRegressor
4.785,1.0226507748175377,SGDRegressor
1.384,1.1904899460131964,SGDRegressor
3.625,1.1849479653653854,SGDRegressor
1.181,0.8739131534697615,SGDRegressor
1.807,1.776883606362928,SGDRegressor
4.019,1.6692774998799305,SGDRegressor
0.897,0.520835022894539,SGDRegressor
10.0,2.2406579811763807,SGDRegressor
3.927,1.484609664127377,SGDRegressor
10.0,12.090352706594839,BayesianRidge
0.662,0.25638647550541505,BayesianRidge
0.2,1.6443522780809037,BayesianRidge
0.521,1.137954883457267,BayesianRidge
0.603,1.012328798481557,BayesianRidge
5.0,4.437268939648961,BayesianRidge
4.291,5.108942240271581,BayesianRidge
0.554,-1.0264372450987493,BayesianRidge
3.985,3.4951191674354796,BayesianRidge
0.678,0.06496015490369711,BayesianRidge
4.086,4.9808348422858675,BayesianRidge
4.245,3.5891832284108487,BayesianRidge
4.785,5.183857702187819,BayesianRidge
1.384,2.0492942348206302,BayesianRidge
3.625,2.602442440331445,BayesianRidge
1.181,1.871566694666332,BayesianRidge
1.807,2.4060246308371447,BayesianRidge
4.019,5.179310348155495,BayesianRidge
0.897,1.8442634668992914,BayesianRidge
10.0,14.854557144982788,BayesianRidge
3.927,3.502464463695704,BayesianRidge
10.0,3.9971677268033234,KernelRidge
0.662,1.3346594736211765,KernelRidge
0.2,0.851961885151123,KernelRidge
0.521,1.204029007225246,KernelRidge
0.603,2.2952949069204327,KernelRidge
5.0,-0.6059408913666653,KernelRidge
4.291,-0.7835669691716869,KernelRidge
0.554,1.1916453926827457,KernelRidge
3.985,2.049361682284353,KernelRidge
0.678,1.7795160683385887,KernelRidge
4.086,3.0096216044019797,KernelRidge
4.245,2.112451160687792,KernelRidge
4.785,-4.607494404358146,KernelRidge
1.384,1.2183235197049203,KernelRidge
3.625,2.657630820029091,KernelRidge
1.181,0.2927386590846255,KernelRidge
1.807,0.3630583188966825,KernelRidge
4.019,0.38894986579396607,KernelRidge
0.897,0.21310713130621872,KernelRidge
10.0,2.4728970854728627,KernelRidge
3.927,3.6604742774499943,KernelRidge
10.0,14.798147019238137,LinearRegression
0.662,2.936204802646713,LinearRegression
0.2,4.338162218899189,LinearRegression
0.521,3.8184709164146367,LinearRegression
0.603,3.689146593161649,LinearRegression
5.0,7.128428521223682,LinearRegression
4.291,7.797860871778298,LinearRegression
0.554,1.6542787744627578,LinearRegression
3.985,6.191243341506688,LinearRegression
0.678,2.7420754127719533,LinearRegression
4.086,7.664225822749091,LinearRegression
4.245,6.277341446655493,LinearRegression
4.785,7.871979221164174,LinearRegression
1.384,4.741043362533041,LinearRegression
3.625,5.280008199996297,LinearRegression
1.181,4.572032649434446,LinearRegression
1.807,5.086373305124698,LinearRegression
4.019,7.886671574607408,LinearRegression
0.897,4.556540980082291,LinearRegression
10.0,17.533510905653046,LinearRegression
3.927,6.183179548183946,LinearRegression
10.0,0.12380317724163947,RANSACRegressor
0.662,0.33808202113526653,RANSACRegressor
0.2,0.1535691256920615,RANSACRegressor
0.521,0.5216606796489829,RANSACRegressor
0.603,0.365501172164523,RANSACRegressor
5.0,0.8907598822968914,RANSACRegressor
4.291,0.08867943347797802,RANSACRegressor
0.554,-0.515407590295591,RANSACRegressor
3.985,-0.14632464449844262,RANSACRegressor
0.678,1.0690162430508856,RANSACRegressor
4.086,0.8263793221983985,RANSACRegressor
4.245,1.1275641830000334,RANSACRegressor
4.785,3.027782886868928,RANSACRegressor
1.384,-0.1967647213165401,RANSACRegressor
3.625,-0.8577638622731178,RANSACRegressor
1.181,1.9118757169446972,RANSACRegressor
1.807,0.46677527808775954,RANSACRegressor
4.019,2.699917420166491,RANSACRegressor
0.897,1.2770115538697056,RANSACRegressor
10.0,1.3487481242011294,RANSACRegressor
3.927,-0.07819825042078066,RANSACRegressor
10.0,13.13715934858267,TheilSenRegressor
0.662,0.17332821845177282,TheilSenRegressor
0.2,1.3231309554520472,TheilSenRegressor
0.521,0.9173332384726067,TheilSenRegressor
0.603,-0.2631200827363016,TheilSenRegressor
5.0,1.8887571446770144,TheilSenRegressor
4.291,4.51383643817668,TheilSenRegressor
0.554,-0.39214258296522386,TheilSenRegressor
3.985,3.0488624034667424,TheilSenRegressor
0.678,0.713796316418887,TheilSenRegressor
4.086,3.9362291474571514,TheilSenRegressor
4.245,3.0982217474616043,TheilSenRegressor
4.785,3.867951152167474,TheilSenRegressor
1.384,2.054536141147249,TheilSenRegressor
3.625,3.4916050064789603,TheilSenRegressor
1.181,3.5996885477401737,TheilSenRegressor
1.807,3.274282468844821,TheilSenRegressor
4.019,4.874777964469513,TheilSenRegressor
0.897,1.8736594989892756,TheilSenRegressor
10.0,14.770778321293626,TheilSenRegressor
3.927,2.867639859499028,TheilSenRegressor
10.0,6.750550270080566,TensorFlow
0.662,1.3764259815216064,TensorFlow
0.2,1.3094751834869385,TensorFlow
0.521,0.6331003904342651,TensorFlow
0.603,0.760927140712738,TensorFlow
5.0,2.337099552154541,TensorFlow
4.291,3.6168010234832764,TensorFlow
0.554,0.24875472486019135,TensorFlow
3.985,1.6641088724136353,TensorFlow
0.678,0.49543944001197815,TensorFlow
4.086,4.02032995223999,TensorFlow
4.245,2.645725965499878,TensorFlow
4.785,4.149910926818848,TensorFlow
1.384,3.353365898132324,TensorFlow
3.625,3.448676824569702,TensorFlow
1.181,0.8087888956069946,TensorFlow
1.807,2.883901596069336,TensorFlow
4.019,3.309581756591797,TensorFlow
0.897,1.0586355924606323,TensorFlow
10.0,7.880870342254639,TensorFlow
3.927,0.9874830842018127,TensorFlow
