Actual,Predicted,Model
10.0,11.14952843698143,Ridge
0.662,0.9375735120302413,Ridge
0.2,1.7573007427707115,Ridge
0.521,1.6096854299985273,Ridge
0.603,0.9274214330732238,Ridge
5.0,5.277715311331903,Ridge
4.291,5.228006369117659,Ridge
0.554,-0.6797717130586625,Ridge
3.985,3.8091805683735913,Ridge
0.678,0.4114290459177514,Ridge
4.086,5.0285673250304175,Ridge
4.245,4.06958330921117,Ridge
4.785,5.183255376134205,Ridge
1.384,1.7750110149501515,Ridge
3.625,2.7551091686055775,Ridge
1.181,1.672870170590647,Ridge
1.807,2.735619582867752,Ridge
4.019,4.6324524550702115,Ridge
0.897,1.1839661103720993,Ridge
10.0,15.274793006902371,Ridge
3.927,4.076482733079847,Ridge
10.0,4.524,DecisionTreeRegressor
0.662,0.8885000000000001,DecisionTreeRegressor
0.2,10.0,DecisionTreeRegressor
0.521,0.729,DecisionTreeRegressor
0.603,0.24,DecisionTreeRegressor
5.0,10.0,DecisionTreeRegressor
4.291,1.404,DecisionTreeRegressor
0.554,0.679,DecisionTreeRegressor
3.985,3.889,DecisionTreeRegressor
0.678,0.725,DecisionTreeRegressor
4.086,10.0,DecisionTreeRegressor
4.245,3.8375,DecisionTreeRegressor
4.785,5.14,DecisionTreeRegressor
1.384,0.706,DecisionTreeRegressor
3.625,2.0065,DecisionTreeRegressor
1.181,0.698,DecisionTreeRegressor
1.807,4.268,DecisionTreeRegressor
4.019,3.913,DecisionTreeRegressor
0.897,0.574,DecisionTreeRegressor
10.0,4.616,DecisionTreeRegressor
3.927,4.0,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,-6.864516343225249,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
