Actual,Predicted,Model
10.0,11.559960788844549,Ridge
0.662,0.7526999460045656,Ridge
0.2,1.5870742991716762,Ridge
0.521,1.3683265096619257,Ridge
0.603,0.7914771187943059,Ridge
5.0,4.872077657604146,Ridge
4.291,4.2044874822084655,Ridge
0.554,-0.03598983972468517,Ridge
3.985,3.9885631506739596,Ridge
0.678,0.45032311506338196,Ridge
4.086,5.111451194717944,Ridge
4.245,3.575676687923674,Ridge
4.785,5.898941301340584,Ridge
1.384,1.8238656942534783,Ridge
3.625,2.954646089413144,Ridge
1.181,0.9763445644150184,Ridge
1.807,2.084353436501063,Ridge
4.019,4.123722812336599,Ridge
0.897,1.8043063324198005,Ridge
10.0,14.91243228297245,Ridge
3.927,3.582938033109947,Ridge
10.0,4.0,DecisionTreeRegressor
0.662,0.99,DecisionTreeRegressor
0.2,0.56,DecisionTreeRegressor
0.521,0.914,DecisionTreeRegressor
0.603,0.527,DecisionTreeRegressor
5.0,4.096,DecisionTreeRegressor
4.291,3.96,DecisionTreeRegressor
0.554,4.638,DecisionTreeRegressor
3.985,4.024,DecisionTreeRegressor
0.678,0.39,DecisionTreeRegressor
4.086,4.36,DecisionTreeRegressor
4.245,0.825,DecisionTreeRegressor
4.785,0.926,DecisionTreeRegressor
1.384,0.625,DecisionTreeRegressor
3.625,3.846,DecisionTreeRegressor
1.181,0.584,DecisionTreeRegressor
1.807,4.962,DecisionTreeRegressor
4.019,4.024,DecisionTreeRegressor
0.897,0.858,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.927,3.889,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,-5.879849908710291,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
4.086,1.1853235048077833,GradientBoostingRegressor
4.245,1.1983158269420071,GradientBoostingRegressor
4.785,1.1983158269420071,GradientBoostingRegressor
1.384,1.1016849290240958,GradientBoostingRegressor
3.625,1.1853235048077833,GradientBoostingRegressor
1.181,1.1016849290240958,GradientBoostingRegressor
1.807,1.1016849290240958,GradientBoostingRegressor
4.019,-6.886657472106653,GradientBoostingRegressor
0.897,1.1016849290240958,GradientBoostingRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
3.927,1.1853235048077833,GradientBoostingRegressor
10.0,3.8813333333333335,RandomForestRegressor
0.662,0.67,RandomForestRegressor
0.2,4.274,RandomForestRegressor
0.521,0.585,RandomForestRegressor
0.603,0.585,RandomForestRegressor
5.0,2.9160000000000004,RandomForestRegressor
4.291,1.2513333333333332,RandomForestRegressor
0.554,0.8310000000000001,RandomForestRegressor
3.985,1.062,RandomForestRegressor
0.678,0.67,RandomForestRegressor
4.086,4.1240000000000006,RandomForestRegressor
4.245,1.6243333333333334,RandomForestRegressor
4.785,3.779714285714286,RandomForestRegressor
1.384,-1017.54,RandomForestRegressor
3.625,4.274,RandomForestRegressor
1.181,3.247333333333333,RandomForestRegressor
1.807,6.1514444444444445,RandomForestRegressor
4.019,3.2531999999999996,RandomForestRegressor
0.897,1.5804,RandomForestRegressor
10.0,0.931,RandomForestRegressor
3.927,10.0,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
0.662,2.076717647058824,AdaBoostRegressor
0.2,2.076717647058824,AdaBoostRegressor
0.521,2.076717647058824,AdaBoostRegressor
0.603,2.076717647058824,AdaBoostRegressor
5.0,2.076717647058824,AdaBoostRegressor
4.291,2.076717647058824,AdaBoostRegressor
0.554,2.076717647058824,AdaBoostRegressor
3.985,2.076717647058824,AdaBoostRegressor
0.678,2.076717647058824,AdaBoostRegressor
4.086,2.076717647058824,AdaBoostRegressor
4.245,2.076717647058824,AdaBoostRegressor
4.785,2.076717647058824,AdaBoostRegressor
1.384,2.076717647058824,AdaBoostRegressor
3.625,2.076717647058824,AdaBoostRegressor
1.181,2.076717647058824,AdaBoostRegressor
1.807,2.076717647058824,AdaBoostRegressor
4.019,2.076717647058824,AdaBoostRegressor
0.897,2.076717647058824,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.927,2.076717647058824,AdaBoostRegressor
10.0,6.9945,KNeighborsRegressor
0.662,0.9075,KNeighborsRegressor
0.2,5.28,KNeighborsRegressor
0.521,0.40249999999999997,KNeighborsRegressor
0.603,4.528499999999999,KNeighborsRegressor
5.0,2.8195,KNeighborsRegressor
4.291,4.2265,KNeighborsRegressor
0.554,0.768,KNeighborsRegressor
3.985,3.9355,KNeighborsRegressor
0.678,0.5645,KNeighborsRegressor
4.086,4.305,KNeighborsRegressor
4.245,1.1325,KNeighborsRegressor
4.785,4.562,KNeighborsRegressor
1.384,0.7175,KNeighborsRegressor
3.625,3.7695,KNeighborsRegressor
1.181,0.9915,KNeighborsRegressor
1.807,4.9670000000000005,KNeighborsRegressor
4.019,3.927,KNeighborsRegressor
0.897,0.787,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.927,0.6839999999999999,KNeighborsRegressor
10.0,4.040461516540001,MLPRegressor
0.662,3.4030262339880712,MLPRegressor
0.2,-0.327796538345168,MLPRegressor
0.521,5.87103272626066,MLPRegressor
0.603,2.522368759168441,MLPRegressor
5.0,12.270354054926601,MLPRegressor
4.291,10.51294226558642,MLPRegressor
0.554,-0.932159468892544,MLPRegressor
3.985,-0.24165810476647853,MLPRegressor
0.678,4.482439336740319,MLPRegressor
4.086,11.474885695940044,MLPRegressor
4.245,4.994801864583787,MLPRegressor
4.785,6.607329892437711,MLPRegressor
1.384,1.4582275116910586,MLPRegressor
3.625,6.852570816480509,MLPRegressor
1.181,3.4642375796264524,MLPRegressor
1.807,11.276835831312306,MLPRegressor
4.019,5.053575862289806,MLPRegressor
0.897,0.623370313802877,MLPRegressor
10.0,22.000989350985485,MLPRegressor
3.927,3.2992243122370253,MLPRegressor
10.0,-1.4775423078063996,ElasticNet
0.662,4.645594129260002,ElasticNet
0.2,-10.078129070937536,ElasticNet
0.521,5.432112456946887,ElasticNet
0.603,0.6756685245928492,ElasticNet
5.0,-10.219324812400723,ElasticNet
4.291,-17.763962077192478,ElasticNet
0.554,1.758696000025857,ElasticNet
3.985,1.7338229493063213,ElasticNet
0.678,6.866592470347946,ElasticNet
4.086,2.8952676722209345,ElasticNet
4.245,8.703236004911334,ElasticNet
4.785,-43.199084208634076,ElasticNet
1.384,-2.4739650504045994,ElasticNet
3.625,10.458466993253472,ElasticNet
1.181,-9.567171287870975,ElasticNet
1.807,-1.5964970860505077,ElasticNet
4.019,-14.61691176121907,ElasticNet
0.897,-1.181840915262718,ElasticNet
10.0,14.122516540616672,ElasticNet
3.927,8.813430121604123,ElasticNet
10.0,2.1921754474582036,SGDRegressor
0.662,0.737737833175965,SGDRegressor
0.2,0.47445358483866906,SGDRegressor
0.521,0.23061364291865416,SGDRegressor
0.603,1.565578873708577,SGDRegressor
5.0,1.4179478297471257,SGDRegressor
4.291,2.706188647082654,SGDRegressor
0.554,0.70240402095084,SGDRegressor
3.985,1.3894364137372366,SGDRegressor
0.678,0.27432641645206224,SGDRegressor
4.086,1.812077295199007,SGDRegressor
4.245,1.5595465068396517,SGDRegressor
4.785,1.1346451208010266,SGDRegressor
1.384,1.195995970690311,SGDRegressor
3.625,1.1692753349003782,SGDRegressor
1.181,0.9619678205485921,SGDRegressor
1.807,1.9067350335187419,SGDRegressor
4.019,1.5434842524917534,SGDRegressor
0.897,0.47577709193176165,SGDRegressor
10.0,2.3336528912839167,SGDRegressor
3.927,1.4538628171480945,SGDRegressor
10.0,11.708371303493376,BayesianRidge
0.662,0.611349708781054,BayesianRidge
0.2,1.6486958810797994,BayesianRidge
0.521,1.2366605800609243,BayesianRidge
0.603,0.789166208507698,BayesianRidge
5.0,4.949362380471257,BayesianRidge
4.291,3.942720042934977,BayesianRidge
0.554,-0.07044530735012877,BayesianRidge
3.985,4.1987924873367195,BayesianRidge
0.678,0.2582433798520829,BayesianRidge
4.086,4.913068619044578,BayesianRidge
4.245,3.7122383141660515,BayesianRidge
4.785,6.011250726034487,BayesianRidge
1.384,1.7219998053393093,BayesianRidge
3.625,2.8404660154335124,BayesianRidge
1.181,1.2000166427625567,BayesianRidge
1.807,1.9428556176149092,BayesianRidge
4.019,4.290584297086639,BayesianRidge
0.897,2.005589184638004,BayesianRidge
10.0,14.831357188477877,BayesianRidge
3.927,3.4376462807036985,BayesianRidge
10.0,4.277625678071808,KernelRidge
0.662,0.8450510516646044,KernelRidge
0.2,0.7921318571342357,KernelRidge
0.521,1.1540268203232873,KernelRidge
0.603,2.0970912945069884,KernelRidge
5.0,-0.8895734464249951,KernelRidge
4.291,-0.7978607674663571,KernelRidge
0.554,1.1298409687537698,KernelRidge
3.985,1.446541998166035,KernelRidge
0.678,1.4169600301297103,KernelRidge
4.086,3.3882197152186087,KernelRidge
4.245,1.8586440297308924,KernelRidge
4.785,-5.086031689899886,KernelRidge
1.384,1.3607299207385166,KernelRidge
3.625,2.656024232191145,KernelRidge
1.181,0.1420876474697037,KernelRidge
1.807,0.5031609342940269,KernelRidge
4.019,0.35768219746289365,KernelRidge
0.897,0.06856836762662999,KernelRidge
10.0,2.3119454914582738,KernelRidge
3.927,3.5104201738374563,KernelRidge
10.0,14.413805923599629,LinearRegression
0.662,3.2924448315792807,LinearRegression
0.2,4.344816444059873,LinearRegression
0.521,3.9182633305577,LinearRegression
0.603,3.475409443981595,LinearRegression
5.0,7.634453991880424,LinearRegression
4.291,6.626166888154085,LinearRegression
0.554,2.6187415105578036,LinearRegression
3.985,6.898137349965392,LinearRegression
0.678,2.9372024175688085,LinearRegression
4.086,7.593542290161201,LinearRegression
4.245,6.40318473138079,LinearRegression
4.785,8.705209574068041,LinearRegression
1.384,4.407291820430155,LinearRegression
3.625,5.523383375512868,LinearRegression
1.181,3.897416779620694,LinearRegression
1.807,4.6217795344196455,LinearRegression
4.019,6.993942210295892,LinearRegression
0.897,4.709698690771183,LinearRegression
10.0,17.50799361592586,LinearRegression
3.927,6.1166173364133245,LinearRegression
10.0,9.716567039489746,RANSACRegressor
0.662,0.3772449493408203,RANSACRegressor
0.2,-0.40807151794433594,RANSACRegressor
0.521,0.5785970687866211,RANSACRegressor
0.603,0.13558578491210938,RANSACRegressor
5.0,4793913640687.896,RANSACRegressor
4.291,4.4678544998168945,RANSACRegressor
0.554,0.6402359008789062,RANSACRegressor
3.985,4.278008460998535,RANSACRegressor
0.678,0.47368717193603516,RANSACRegressor
4.086,3.8535890579223633,RANSACRegressor
4.245,4.133105278015137,RANSACRegressor
4.785,5.263341903686523,RANSACRegressor
1.384,0.9751596450805664,RANSACRegressor
3.625,3.9123411178588867,RANSACRegressor
1.181,0.27401065826416016,RANSACRegressor
1.807,1.3745708465576172,RANSACRegressor
4.019,3.7163009643554688,RANSACRegressor
0.897,1.1392097473144531,RANSACRegressor
10.0,10.099749565124512,RANSACRegressor
3.927,3.838134765625,RANSACRegressor
10.0,11.695324708689036,TheilSenRegressor
0.662,0.28781040130673485,TheilSenRegressor
0.2,1.2672573897867525,TheilSenRegressor
0.521,1.1390647813720705,TheilSenRegressor
0.603,0.43614833558449506,TheilSenRegressor
5.0,3.682168499090113,TheilSenRegressor
4.291,4.423537526362349,TheilSenRegressor
0.554,0.01859101755096093,TheilSenRegressor
3.985,3.8854441287445045,TheilSenRegressor
0.678,0.17049411412088578,TheilSenRegressor
4.086,4.643197983144251,TheilSenRegressor
