Actual,Predicted,Model
10.0,11.23065294391371,Ridge
0.662,0.8178505982132145,Ridge
0.2,1.6856780613582973,Ridge
0.521,1.5579854904335013,Ridge
0.603,0.7199618224778357,Ridge
5.0,5.497928844964238,Ridge
4.291,3.605489392023437,Ridge
0.554,-0.1542370822336041,Ridge
3.985,4.197868921191095,Ridge
0.678,0.1732588388504439,Ridge
4.086,4.6369066849817555,Ridge
4.245,3.3499072982331866,Ridge
4.785,5.072870426871517,Ridge
1.384,1.9687906461180544,Ridge
3.625,3.336604124088888,Ridge
1.181,2.226878058031452,Ridge
1.807,2.1104443373975394,Ridge
4.019,4.430055073494688,Ridge
0.897,2.0679748014077663,Ridge
10.0,15.546891060685905,Ridge
3.927,3.7966544207981645,Ridge
10.0,3.989,DecisionTreeRegressor
0.662,0.825,DecisionTreeRegressor
0.2,1.032,DecisionTreeRegressor
0.521,0.611,DecisionTreeRegressor
0.603,0.589,DecisionTreeRegressor
5.0,4.585,DecisionTreeRegressor
4.291,0.825,DecisionTreeRegressor
0.554,1.131,DecisionTreeRegressor
3.985,4.232,DecisionTreeRegressor
0.678,0.95,DecisionTreeRegressor
4.086,4.448,DecisionTreeRegressor
4.245,0.625,DecisionTreeRegressor
4.785,0.625,DecisionTreeRegressor
1.384,4.4,DecisionTreeRegressor
3.625,3.846,DecisionTreeRegressor
1.181,1.404,DecisionTreeRegressor
1.807,1.388,DecisionTreeRegressor
4.019,4.0,DecisionTreeRegressor
0.897,10.0,DecisionTreeRegressor
10.0,0.597,DecisionTreeRegressor
3.927,3.894,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,-5.862686256082408,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
4.086,1.1853235048077833,GradientBoostingRegressor
4.245,1.1983158269420071,GradientBoostingRegressor
4.785,1.1983158269420071,GradientBoostingRegressor
1.384,1.1016849290240958,GradientBoostingRegressor
3.625,1.1853235048077833,GradientBoostingRegressor
1.181,1.1016849290240958,GradientBoostingRegressor
1.807,1.1016849290240958,GradientBoostingRegressor
4.019,-3.8409055576690183,GradientBoostingRegressor
0.897,1.1016849290240958,GradientBoostingRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
3.927,1.1853235048077833,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
0.662,0.534,RandomForestRegressor
0.2,10.0,RandomForestRegressor
0.521,0.411,RandomForestRegressor
0.603,0.789,RandomForestRegressor
5.0,4.113,RandomForestRegressor
4.291,4.569,RandomForestRegressor
0.554,0.8285,RandomForestRegressor
3.985,3.922,RandomForestRegressor
0.678,0.671,RandomForestRegressor
4.086,4.1035,RandomForestRegressor
4.245,1.548,RandomForestRegressor
4.785,4.638,RandomForestRegressor
1.384,1.364,RandomForestRegressor
3.625,1.215,RandomForestRegressor
1.181,4.113,RandomForestRegressor
1.807,4.232,RandomForestRegressor
4.019,1.404,RandomForestRegressor
0.897,0.463,RandomForestRegressor
10.0,4.638,RandomForestRegressor
3.927,4.1035,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
0.662,0.8342153846153839,AdaBoostRegressor
0.2,0.8342153846153839,AdaBoostRegressor
0.521,0.8342153846153839,AdaBoostRegressor
0.603,0.8342153846153839,AdaBoostRegressor
5.0,0.8342153846153839,AdaBoostRegressor
4.291,4.175326923076925,AdaBoostRegressor
0.554,0.8342153846153839,AdaBoostRegressor
3.985,4.175326923076925,AdaBoostRegressor
0.678,0.8342153846153839,AdaBoostRegressor
4.086,4.175326923076925,AdaBoostRegressor
4.245,4.175326923076925,AdaBoostRegressor
4.785,4.175326923076925,AdaBoostRegressor
1.384,0.8342153846153839,AdaBoostRegressor
3.625,4.175326923076925,AdaBoostRegressor
1.181,0.8342153846153839,AdaBoostRegressor
1.807,0.8342153846153839,AdaBoostRegressor
4.019,4.175326923076925,AdaBoostRegressor
0.897,0.8342153846153839,AdaBoostRegressor
10.0,4.175326923076925,AdaBoostRegressor
3.927,4.175326923076925,AdaBoostRegressor
10.0,5.6047593754722635,KNeighborsRegressor
0.662,0.6259092798623662,KNeighborsRegressor
0.2,3.424532273319215,KNeighborsRegressor
0.521,1.3705742128363145,KNeighborsRegressor
0.603,4.062639625906426,KNeighborsRegressor
5.0,1.2843757586785254,KNeighborsRegressor
4.291,4.653991223916392,KNeighborsRegressor
