Actual,Predicted,Model
10.0,11.230861659021137,Ridge
0.662,0.8950012024398695,Ridge
0.2,1.7808476759911223,Ridge
0.521,1.4269484842311302,Ridge
0.603,0.6885255477983927,Ridge
5.0,5.458900161769969,Ridge
4.291,3.5367175030398768,Ridge
0.554,-0.4718629223180848,Ridge
3.985,4.068373582935111,Ridge
0.678,-0.047953324284162324,Ridge
4.086,4.9807256580627035,Ridge
4.245,3.446093857028994,Ridge
4.785,5.32879355294681,Ridge
1.384,1.9262020694127866,Ridge
3.625,3.261232749471282,Ridge
1.181,2.1274830473080915,Ridge
1.807,2.394828333250799,Ridge
4.019,4.763606137043663,Ridge
0.897,2.418745177802359,Ridge
10.0,15.23113683748657,Ridge
3.927,3.6046499008931345,Ridge
10.0,10.0,DecisionTreeRegressor
0.662,0.725,DecisionTreeRegressor
0.2,10.0,DecisionTreeRegressor
0.521,0.617,DecisionTreeRegressor
0.603,4.585,DecisionTreeRegressor
5.0,4.524,DecisionTreeRegressor
4.291,4.725,DecisionTreeRegressor
0.554,0.617,DecisionTreeRegressor
3.985,0.65,DecisionTreeRegressor
0.678,0.737,DecisionTreeRegressor
4.086,4.849,DecisionTreeRegressor
4.245,4.3555,DecisionTreeRegressor
4.785,4.448,DecisionTreeRegressor
1.384,4.327,DecisionTreeRegressor
3.625,0.756,DecisionTreeRegressor
1.181,0.597,DecisionTreeRegressor
1.807,4.849,DecisionTreeRegressor
4.019,3.913,DecisionTreeRegressor
0.897,1.111,DecisionTreeRegressor
10.0,4.3555,DecisionTreeRegressor
3.927,4.232,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,-6.913028319101777,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
4.086,1.1853235048077833,GradientBoostingRegressor
4.245,1.1983158269420071,GradientBoostingRegressor
4.785,1.1983158269420071,GradientBoostingRegressor
1.384,1.1016849290240958,GradientBoostingRegressor
3.625,1.1853235048077833,GradientBoostingRegressor
1.181,1.1016849290240958,GradientBoostingRegressor
1.807,1.1016849290240958,GradientBoostingRegressor
4.019,-2.8516714786833863,GradientBoostingRegressor
0.897,1.1016849290240958,GradientBoostingRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
3.927,1.1853235048077833,GradientBoostingRegressor
10.0,0.756,RandomForestRegressor
0.662,0.896,RandomForestRegressor
0.2,0.642,RandomForestRegressor
0.521,0.5135000000000001,RandomForestRegressor
0.603,0.8035,RandomForestRegressor
5.0,0.642,RandomForestRegressor
4.291,4.443,RandomForestRegressor
0.554,0.7050000000000001,RandomForestRegressor
3.985,0.8035,RandomForestRegressor
0.678,10.0,RandomForestRegressor
4.086,2.3005,RandomForestRegressor
4.245,4.638,RandomForestRegressor
4.785,4.327,RandomForestRegressor
1.384,4.327,RandomForestRegressor
3.625,0.756,RandomForestRegressor
1.181,0.576,RandomForestRegressor
1.807,4.232,RandomForestRegressor
4.019,10.0,RandomForestRegressor
0.897,0.642,RandomForestRegressor
10.0,4.275,RandomForestRegressor
3.927,3.98,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
0.662,0.7227549019607845,AdaBoostRegressor
0.2,10.0,AdaBoostRegressor
0.521,0.7227549019607845,AdaBoostRegressor
0.603,0.7227549019607845,AdaBoostRegressor
5.0,0.7227549019607845,AdaBoostRegressor
4.291,4.280430555555556,AdaBoostRegressor
0.554,0.7227549019607845,AdaBoostRegressor
3.985,4.280430555555556,AdaBoostRegressor
0.678,0.7227549019607845,AdaBoostRegressor
4.086,4.280430555555556,AdaBoostRegressor
4.245,4.280430555555556,AdaBoostRegressor
4.785,4.280430555555556,AdaBoostRegressor
1.384,0.7227549019607845,AdaBoostRegressor
3.625,10.0,AdaBoostRegressor
1.181,0.7227549019607845,AdaBoostRegressor
1.807,0.7227549019607845,AdaBoostRegressor
4.019,4.280430555555556,AdaBoostRegressor
0.897,0.7227549019607845,AdaBoostRegressor
10.0,4.280430555555556,AdaBoostRegressor
3.927,4.280430555555556,AdaBoostRegressor
10.0,5.607513246265299,KNeighborsRegressor
0.662,0.6927419628684676,KNeighborsRegressor
0.2,2.588667808215939,KNeighborsRegressor
0.521,1.3894792457619056,KNeighborsRegressor
0.603,4.064446826482079,KNeighborsRegressor
5.0,1.3487990752014456,KNeighborsRegressor
4.291,4.654887312884649,KNeighborsRegressor
0.554,0.657420575517849,KNeighborsRegressor
3.985,1.6392033713671752,KNeighborsRegressor
0.678,0.49710639352063857,KNeighborsRegressor
4.086,4.018836497720938,KNeighborsRegressor
4.245,2.7893065799671204,KNeighborsRegressor
4.785,3.8148312568707663,KNeighborsRegressor
1.384,3.7059248589513523,KNeighborsRegressor
3.625,1.8512347016714312,KNeighborsRegressor
1.181,1.1303978448090781,KNeighborsRegressor
1.807,3.85000816002038,KNeighborsRegressor
4.019,3.2768553973856895,KNeighborsRegressor
0.897,1.6101541920707962,KNeighborsRegressor
10.0,4.273669036251178,KNeighborsRegressor
3.927,1.9172039438241681,KNeighborsRegressor
10.0,6.774878751162339,MLPRegressor
0.662,3.0694859314947625,MLPRegressor
0.2,4.37962632743475,MLPRegressor
0.521,4.843816205804367,MLPRegressor
0.603,1.0269728537048706,MLPRegressor
5.0,13.054780458862353,MLPRegressor
4.291,6.159563382010427,MLPRegressor
0.554,-1.132984323445842,MLPRegressor
3.985,0.8581443298713961,MLPRegressor
0.678,1.0012100516673896,MLPRegressor
4.086,6.057824144868533,MLPRegressor
4.245,3.93186941824088,MLPRegressor
4.785,7.689006024055438,MLPRegressor
1.384,1.36074793480081,MLPRegressor
3.625,4.772001337092394,MLPRegressor
1.181,9.094423982622766,MLPRegressor
1.807,2.987216723968425,MLPRegressor
4.019,1.3924589908614229,MLPRegressor
0.897,-2.401335193974331,MLPRegressor
10.0,18.83522135539496,MLPRegressor
3.927,10.913947559171486,MLPRegressor
10.0,-0.6075066629322718,ElasticNet
0.662,5.46613809750846,ElasticNet
0.2,-9.704037395807712,ElasticNet
0.521,8.000366050179348,ElasticNet
0.603,1.7972635121351115,ElasticNet
5.0,-12.127553701404267,ElasticNet
4.291,-16.256051310929372,ElasticNet
0.554,2.9231923306773786,ElasticNet
3.985,0.6936736637006629,ElasticNet
0.678,7.768497848451323,ElasticNet
4.086,2.2726865015535296,ElasticNet
4.245,10.000245758464335,ElasticNet
4.785,-41.45081184749166,ElasticNet
1.384,-3.269783086451713,ElasticNet
3.625,10.596554238690022,ElasticNet
1.181,-9.75285473893208,ElasticNet
1.807,-3.7672495337690544,ElasticNet
4.019,-13.513621907175516,ElasticNet
0.897,0.7516504236653033,ElasticNet
10.0,13.34438799712249,ElasticNet
3.927,9.360558089479397,ElasticNet
10.0,8.269698919929935,SGDRegressor
0.662,-0.31322871494280813,SGDRegressor
0.2,1.2277644443354232,SGDRegressor
0.521,1.4853875492830322,SGDRegressor
0.603,-5.3314149736282115,SGDRegressor
5.0,7.384565919806301,SGDRegressor
4.291,-10.276742234012703,SGDRegressor
0.554,-2.577844581971944,SGDRegressor
3.985,5.377265745689488,SGDRegressor
0.678,2.599962548399326,SGDRegressor
4.086,9.251971992584961,SGDRegressor
4.245,1.3024175599199967,SGDRegressor
4.785,7.7433166775390525,SGDRegressor
1.384,4.844541859954539,SGDRegressor
3.625,-2.7196172030105643,SGDRegressor
1.181,8.17696717967737,SGDRegressor
1.807,6.0744764007111485,SGDRegressor
4.019,4.245404149705186,SGDRegressor
0.897,5.4775657174162,SGDRegressor
10.0,15.699171384305622,SGDRegressor
3.927,2.126337814306393,SGDRegressor
10.0,11.586865402080086,BayesianRidge
0.662,0.8338005595177918,BayesianRidge
0.2,1.703437623251447,BayesianRidge
0.521,1.3378712855954982,BayesianRidge
0.603,0.614094186344361,BayesianRidge
5.0,5.516344034566036,BayesianRidge
4.291,3.4269590656127207,BayesianRidge
0.554,-0.4740601952813055,BayesianRidge
3.985,4.303399597914684,BayesianRidge
0.678,-0.203256712052307,BayesianRidge
4.086,4.739571002255838,BayesianRidge
4.245,3.4927094848324947,BayesianRidge
4.785,5.465726583268602,BayesianRidge
1.384,1.7489501020982239,BayesianRidge
3.625,3.1242926376836424,BayesianRidge
1.181,2.309773484323717,BayesianRidge
1.807,2.327871421097993,BayesianRidge
4.019,4.769244299271954,BayesianRidge
0.897,2.4833618193787252,BayesianRidge
10.0,15.306987523684203,BayesianRidge
3.927,3.364226971903064,BayesianRidge
