Actual,Predicted,Model
10.0,11.084515413737087,Ridge
0.662,1.3332935325382822,Ridge
0.2,1.640613438356489,Ridge
0.521,1.6775466938654748,Ridge
0.603,0.45039883172377815,Ridge
5.0,5.703873697724258,Ridge
4.291,3.967470389879905,Ridge
0.554,-0.39663441040209246,Ridge
3.985,3.9921492091604325,Ridge
0.678,0.26772026625111156,Ridge
4.086,4.85328106091887,Ridge
4.245,3.389800093636701,Ridge
4.785,5.637058435949327,Ridge
1.384,2.0265135553214764,Ridge
3.625,3.2258136520542253,Ridge
1.181,2.3762452493236594,Ridge
1.807,2.304368418603123,Ridge
4.019,4.579179280929063,Ridge
0.897,2.1213126305836543,Ridge
10.0,15.063232635304875,Ridge
3.927,3.801487489735158,Ridge
10.0,4.113,DecisionTreeRegressor
0.662,0.502,DecisionTreeRegressor
0.2,0.732,DecisionTreeRegressor
0.521,0.589,DecisionTreeRegressor
0.603,0.576,DecisionTreeRegressor
5.0,3.894,DecisionTreeRegressor
4.291,4.01,DecisionTreeRegressor
0.554,1.097,DecisionTreeRegressor
3.985,4.096,DecisionTreeRegressor
0.678,0.725,DecisionTreeRegressor
4.086,10.0,DecisionTreeRegressor
4.245,0.903,DecisionTreeRegressor
4.785,1.215,DecisionTreeRegressor
1.384,5.14,DecisionTreeRegressor
3.625,0.268,DecisionTreeRegressor
1.181,0.99,DecisionTreeRegressor
1.807,5.085,DecisionTreeRegressor
4.019,10.0,DecisionTreeRegressor
0.897,0.95,DecisionTreeRegressor
10.0,0.772,DecisionTreeRegressor
3.927,3.937,DecisionTreeRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
0.662,1.1016849290240958,GradientBoostingRegressor
0.2,1.1016849290240958,GradientBoostingRegressor
0.521,1.1016849290240958,GradientBoostingRegressor
0.603,1.1016849290240958,GradientBoostingRegressor
5.0,1.3305786327248528,GradientBoostingRegressor
4.291,-8.889680579092916,GradientBoostingRegressor
0.554,1.1016849290240958,GradientBoostingRegressor
3.985,1.1853235048077833,GradientBoostingRegressor
0.678,1.1016849290240958,GradientBoostingRegressor
4.086,1.1853235048077833,GradientBoostingRegressor
4.245,1.1983158269420071,GradientBoostingRegressor
4.785,1.1983158269420071,GradientBoostingRegressor
1.384,1.1016849290240958,GradientBoostingRegressor
3.625,1.1853235048077833,GradientBoostingRegressor
1.181,1.1016849290240958,GradientBoostingRegressor
1.807,1.1016849290240958,GradientBoostingRegressor
4.019,-3.8338875423460155,GradientBoostingRegressor
0.897,1.1016849290240958,GradientBoostingRegressor
10.0,1.1983158269420071,GradientBoostingRegressor
3.927,1.1853235048077833,GradientBoostingRegressor
10.0,3.99,RandomForestRegressor
0.662,0.896,RandomForestRegressor
0.2,0.502,RandomForestRegressor
0.521,0.273,RandomForestRegressor
0.603,0.737,RandomForestRegressor
5.0,10.0,RandomForestRegressor
4.291,0.67,RandomForestRegressor
0.554,0.907,RandomForestRegressor
3.985,0.838,RandomForestRegressor
0.678,0.719,RandomForestRegressor
4.086,0.679,RandomForestRegressor
4.245,0.625,RandomForestRegressor
4.785,5.14,RandomForestRegressor
1.384,0.838,RandomForestRegressor
3.625,4.524,RandomForestRegressor
1.181,0.851,RandomForestRegressor
1.807,10.0,RandomForestRegressor
4.019,0.625,RandomForestRegressor
0.897,10.0,RandomForestRegressor
10.0,0.851,RandomForestRegressor
3.927,3.894,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
0.662,0.7695277777777778,AdaBoostRegressor
0.2,0.7576274509803925,AdaBoostRegressor
0.521,0.7695277777777778,AdaBoostRegressor
0.603,0.7695277777777778,AdaBoostRegressor
5.0,1.2327181818181818,AdaBoostRegressor
4.291,4.259971014492755,AdaBoostRegressor
0.554,0.7695277777777778,AdaBoostRegressor
3.985,4.2468196721311475,AdaBoostRegressor
0.678,0.7695277777777778,AdaBoostRegressor
4.086,4.254522388059702,AdaBoostRegressor
4.245,4.265910447761195,AdaBoostRegressor
4.785,4.259971014492755,AdaBoostRegressor
1.384,0.7720887096774195,AdaBoostRegressor
3.625,4.259421052631577,AdaBoostRegressor
1.181,0.7720887096774195,AdaBoostRegressor
1.807,0.7720887096774195,AdaBoostRegressor
4.019,4.245567164179107,AdaBoostRegressor
0.897,0.7720887096774195,AdaBoostRegressor
10.0,4.357596774193549,AdaBoostRegressor
3.927,4.254522388059702,AdaBoostRegressor
10.0,6.9945,KNeighborsRegressor
0.662,0.9075,KNeighborsRegressor
0.2,5.28,KNeighborsRegressor
0.521,0.7849999999999999,KNeighborsRegressor
