Actual,Predicted,Model
2.879,3.3111622813058466,Ridge
8.194,6.5659656447231995,Ridge
7.917,8.036622922350729,Ridge
6.559,5.064450674538219,Ridge
6.792,6.845771388905609,Ridge
1.348,4.186966241271341,Ridge
4.775,3.804986232688786,Ridge
5.434,4.445532085084918,Ridge
4.865,3.9992530266886352,Ridge
5.434,5.560038624110145,Ridge
3.122,3.7464439827895992,Ridge
1.946,2.148072999057003,Ridge
2.197,3.961404945670817,Ridge
3.494,2.9158897660621017,Ridge
3.268,4.129325723645616,Ridge
4.556,3.9371920412139225,Ridge
2.522,3.4558019309303196,Ridge
3.326,3.5580038890787913,Ridge
5.139,5.281652406308744,Ridge
1.939,3.8394903731420706,Ridge
1.85,3.5832587712249127,Ridge
2.879,5.185,DecisionTreeRegressor
8.194,8.056,DecisionTreeRegressor
7.917,8.056,DecisionTreeRegressor
6.559,5.698,DecisionTreeRegressor
6.792,5.157,DecisionTreeRegressor
1.348,4.138,DecisionTreeRegressor
4.775,3.118,DecisionTreeRegressor
5.434,5.906,DecisionTreeRegressor
4.865,5.475,DecisionTreeRegressor
5.434,6.549,DecisionTreeRegressor
3.122,3.085,DecisionTreeRegressor
1.946,4.543,DecisionTreeRegressor
2.197,2.131,DecisionTreeRegressor
3.494,3.971,DecisionTreeRegressor
3.268,3.696,DecisionTreeRegressor
4.556,3.844,DecisionTreeRegressor
2.522,2.542,DecisionTreeRegressor
3.326,5.223,DecisionTreeRegressor
5.139,5.312,DecisionTreeRegressor
1.939,2.83,DecisionTreeRegressor
1.85,2.647,DecisionTreeRegressor
2.879,3.5700769182591423,GradientBoostingRegressor
8.194,6.2574870611275095,GradientBoostingRegressor
7.917,6.192413035613685,GradientBoostingRegressor
6.559,5.642909667942066,GradientBoostingRegressor
6.792,5.642909667942066,GradientBoostingRegressor
1.348,2.628175584799586,GradientBoostingRegressor
4.775,4.766641044426545,GradientBoostingRegressor
5.434,5.69082663261751,GradientBoostingRegressor
4.865,4.770796120704022,GradientBoostingRegressor
5.434,5.642909667942066,GradientBoostingRegressor
3.122,3.653954671297053,GradientBoostingRegressor
1.946,3.1890439072114405,GradientBoostingRegressor
2.197,3.1890439072114405,GradientBoostingRegressor
3.494,3.687760281678546,GradientBoostingRegressor
3.268,3.8059858419679697,GradientBoostingRegressor
