Actual,Predicted,Model
2.879,4.089241136429818,Ridge
8.194,5.895589903624555,Ridge
7.917,8.83531476689772,Ridge
6.559,4.97675597267688,Ridge
6.792,7.576491846562703,Ridge
1.348,3.0744312024339084,Ridge
4.775,4.059698327596984,Ridge
5.434,4.414248147288175,Ridge
4.865,3.4769641815240275,Ridge
5.434,5.1560315341853755,Ridge
3.122,3.821334351741739,Ridge
1.946,1.77821691235218,Ridge
2.197,1.9986368177660738,Ridge
3.494,2.0775538557161592,Ridge
3.268,3.6335880199649604,Ridge
4.556,4.079306895907797,Ridge
2.522,3.8055226150040373,Ridge
3.326,3.353185203636544,Ridge
5.139,4.3893571025235785,Ridge
1.939,5.065294827663411,Ridge
1.85,3.4084630247619314,Ridge
2.879,4.853,DecisionTreeRegressor
8.194,6.0,DecisionTreeRegressor
7.917,8.009666666666666,DecisionTreeRegressor
6.559,6.184,DecisionTreeRegressor
6.792,4.4525,DecisionTreeRegressor
1.348,2.27,DecisionTreeRegressor
4.775,3.004,DecisionTreeRegressor
5.434,4.481333333333333,DecisionTreeRegressor
4.865,4.6690000000000005,DecisionTreeRegressor
5.434,6.47775,DecisionTreeRegressor
3.122,2.841,DecisionTreeRegressor
1.946,3.4795,DecisionTreeRegressor
2.197,2.3635,DecisionTreeRegressor
3.494,3.971,DecisionTreeRegressor
3.268,3.004,DecisionTreeRegressor
4.556,3.971,DecisionTreeRegressor
2.522,2.56825,DecisionTreeRegressor
3.326,4.853,DecisionTreeRegressor
5.139,5.906000000000001,DecisionTreeRegressor
1.939,2.683666666666667,DecisionTreeRegressor
1.85,3.4795,DecisionTreeRegressor
2.879,3.661540692396748,GradientBoostingRegressor
8.194,6.253879748207363,GradientBoostingRegressor
7.917,6.202299341417646,GradientBoostingRegressor
6.559,5.645925905645503,GradientBoostingRegressor
6.792,5.645925905645503,GradientBoostingRegressor
1.348,2.635480097429859,GradientBoostingRegressor
4.775,4.764661040083567,GradientBoostingRegressor
5.434,5.708023647857773,GradientBoostingRegressor
