Actual,Predicted,Model
2.879,3.529691513366833,Ridge
8.194,6.773752048896766,Ridge
7.917,8.048447936772144,Ridge
6.559,5.377297665218667,Ridge
6.792,7.142210174724708,Ridge
1.348,3.022251396908172,Ridge
4.775,3.32850706712121,Ridge
5.434,5.302056733298992,Ridge
4.865,4.695798009559812,Ridge
5.434,5.286695004710646,Ridge
3.122,3.5732507861340275,Ridge
1.946,1.7601631250208327,Ridge
2.197,3.518872733154692,Ridge
3.494,3.1116411575765746,Ridge
3.268,3.8735716192148386,Ridge
4.556,4.299265837191403,Ridge
2.522,3.2549183436827644,Ridge
3.326,2.5938202277002422,Ridge
5.139,5.596756608177528,Ridge
1.939,4.87499041213312,Ridge
1.85,3.2825918105681176,Ridge
2.879,3.7082499999999996,DecisionTreeRegressor
8.194,5.4535,DecisionTreeRegressor
7.917,5.541333333333334,DecisionTreeRegressor
6.559,5.5409999999999995,DecisionTreeRegressor
6.792,3.028,DecisionTreeRegressor
1.348,1.7534999999999998,DecisionTreeRegressor
4.775,3.7082499999999996,DecisionTreeRegressor
5.434,6.181500000000001,DecisionTreeRegressor
4.865,5.199333333333334,DecisionTreeRegressor
5.434,5.5409999999999995,DecisionTreeRegressor
3.122,3.1895,DecisionTreeRegressor
1.946,2.326333333333333,DecisionTreeRegressor
2.197,2.3523333333333336,DecisionTreeRegressor
3.494,2.0125,DecisionTreeRegressor
3.268,2.051,DecisionTreeRegressor
4.556,2.1093333333333333,DecisionTreeRegressor
2.522,3.1895,DecisionTreeRegressor
3.326,3.478,DecisionTreeRegressor
5.139,6.181500000000001,DecisionTreeRegressor
1.939,4.091,DecisionTreeRegressor
1.85,2.051,DecisionTreeRegressor
2.879,3.5700769182591423,GradientBoostingRegressor
8.194,6.253943340263758,GradientBoostingRegressor
7.917,6.195082434197149,GradientBoostingRegressor
6.559,5.642078767249772,GradientBoostingRegressor
6.792,5.642078767249772,GradientBoostingRegressor
1.348,2.60811582063985,GradientBoostingRegressor
4.775,4.763619551830366,GradientBoostingRegressor
5.434,5.690005697279625,GradientBoostingRegressor
4.865,4.77197200839147,GradientBoostingRegressor
5.434,5.642078767249772,GradientBoostingRegressor
3.122,3.653954671297053,GradientBoostingRegressor
1.946,3.1890439072114405,GradientBoostingRegressor
2.197,3.1890439072114405,GradientBoostingRegressor
3.494,3.687760281678546,GradientBoostingRegressor
3.268,3.698083947642999,GradientBoostingRegressor
4.556,4.43682431581566,GradientBoostingRegressor
2.522,3.418045747588225,GradientBoostingRegressor
3.326,3.687760281678546,GradientBoostingRegressor
5.139,5.623980119432497,GradientBoostingRegressor
1.939,3.237339646117177,GradientBoostingRegressor
1.85,2.702099832692507,GradientBoostingRegressor
