Actual,Predicted,Model
2.879,3.2001719321734816,Ridge
8.194,6.243897748429804,Ridge
7.917,8.105872159064692,Ridge
6.559,5.312744684183031,Ridge
6.792,6.982153578800089,Ridge
1.348,4.313566784292538,Ridge
4.775,3.4176406530303822,Ridge
5.434,4.735237544466224,Ridge
4.865,4.517282552140389,Ridge
5.434,4.9971198633714575,Ridge
3.122,4.172461396874882,Ridge
1.946,2.4302316000791966,Ridge
2.197,4.182197501315532,Ridge
3.494,3.0147619774297656,Ridge
3.268,3.4265888321375315,Ridge
4.556,4.452657491108916,Ridge
2.522,3.4907784490732334,Ridge
3.326,3.342409498365109,Ridge
5.139,4.774635004678097,Ridge
1.939,4.44869561059845,Ridge
1.85,3.391654589558255,Ridge
2.879,3.218,DecisionTreeRegressor
8.194,6.0,DecisionTreeRegressor
7.917,6.0,DecisionTreeRegressor
6.559,6.0885,DecisionTreeRegressor
6.792,7.294,DecisionTreeRegressor
1.348,2.412,DecisionTreeRegressor
4.775,5.1665,DecisionTreeRegressor
5.434,5.434,DecisionTreeRegressor
4.865,5.1635,DecisionTreeRegressor
5.434,5.434,DecisionTreeRegressor
3.122,4.138,DecisionTreeRegressor
1.946,2.5945,DecisionTreeRegressor
2.197,3.019,DecisionTreeRegressor
3.494,2.6470000000000002,DecisionTreeRegressor
3.268,3.723,DecisionTreeRegressor
4.556,3.838,DecisionTreeRegressor
2.522,2.932,DecisionTreeRegressor
3.326,3.028,DecisionTreeRegressor
5.139,5.312,DecisionTreeRegressor
1.939,1.8,DecisionTreeRegressor
1.85,2.1609999999999996,DecisionTreeRegressor
2.879,3.5608683249258815,GradientBoostingRegressor
8.194,6.2533281880316425,GradientBoostingRegressor
7.917,6.276547072105248,GradientBoostingRegressor
6.559,5.644636634818538,GradientBoostingRegressor
6.792,5.669079437228077,GradientBoostingRegressor
1.348,2.619893355752221,GradientBoostingRegressor
4.775,4.784914872950859,GradientBoostingRegressor
5.434,5.7145725115816335,GradientBoostingRegressor
4.865,4.792191348045963,GradientBoostingRegressor
5.434,5.644636634818538,GradientBoostingRegressor
3.122,3.7016233036358006,GradientBoostingRegressor
1.946,3.169014717006283,GradientBoostingRegressor
2.197,3.169014717006283,GradientBoostingRegressor
3.494,3.6502725772747366,GradientBoostingRegressor
3.268,3.781082106942514,GradientBoostingRegressor
4.556,4.5687052512957536,GradientBoostingRegressor
2.522,3.4178780696866613,GradientBoostingRegressor
3.326,3.657784402685795,GradientBoostingRegressor
5.139,5.618503921070586,GradientBoostingRegressor
1.939,3.4323836621670605,GradientBoostingRegressor
1.85,2.7815348784301674,GradientBoostingRegressor
2.879,3.7045,RandomForestRegressor
8.194,6.796720000000001,RandomForestRegressor
7.917,6.642339999999998,RandomForestRegressor
6.559,6.106159999999999,RandomForestRegressor
6.792,5.51908,RandomForestRegressor
1.348,2.2873599999999996,RandomForestRegressor
4.775,4.178000000000001,RandomForestRegressor
5.434,5.97178,RandomForestRegressor
4.865,4.59084,RandomForestRegressor
