Actual,Predicted,Model
2.879,3.7029977443351845,Ridge
8.194,6.379146388388813,Ridge
7.917,8.553539463871308,Ridge
6.559,4.982210411536835,Ridge
6.792,7.045464814890728,Ridge
1.348,3.291113715404494,Ridge
4.775,4.186216642857553,Ridge
5.434,4.527049756341941,Ridge
4.865,3.9395454331675066,Ridge
5.434,5.473950256871516,Ridge
3.122,3.8430293865717946,Ridge
1.946,2.0217137727750796,Ridge
2.197,2.6913524586286366,Ridge
3.494,2.145601626920396,Ridge
3.268,3.3538219370751285,Ridge
4.556,4.308242849788975,Ridge
2.522,3.6055982490051437,Ridge
3.326,3.3573935257918857,Ridge
5.139,4.369776820656941,Ridge
1.939,4.204471206624309,Ridge
1.85,3.7555998562545367,Ridge
2.879,2.583,DecisionTreeRegressor
8.194,8.611,DecisionTreeRegressor
7.917,5.6945,DecisionTreeRegressor
6.559,5.011,DecisionTreeRegressor
6.792,5.157,DecisionTreeRegressor
1.348,3.379,DecisionTreeRegressor
4.775,4.2935,DecisionTreeRegressor
5.434,4.102,DecisionTreeRegressor
4.865,4.953333333333333,DecisionTreeRegressor
5.434,5.707333333333334,DecisionTreeRegressor
3.122,3.401666666666667,DecisionTreeRegressor
1.946,1.5076666666666665,DecisionTreeRegressor
2.197,3.064666666666667,DecisionTreeRegressor
3.494,2.974,DecisionTreeRegressor
3.268,3.6704999999999997,DecisionTreeRegressor
4.556,4.715,DecisionTreeRegressor
2.522,3.379,DecisionTreeRegressor
3.326,3.6704999999999997,DecisionTreeRegressor
5.139,5.312,DecisionTreeRegressor
1.939,3.601,DecisionTreeRegressor
1.85,2.583,DecisionTreeRegressor
2.879,3.5693319533867025,GradientBoostingRegressor
8.194,6.2574870611275095,GradientBoostingRegressor
7.917,6.192413035613685,GradientBoostingRegressor
6.559,5.642909667942066,GradientBoostingRegressor
6.792,5.642909667942066,GradientBoostingRegressor
1.348,2.6182600628674186,GradientBoostingRegressor
4.775,4.766641044426545,GradientBoostingRegressor
5.434,5.69082663261751,GradientBoostingRegressor
4.865,4.770796120704022,GradientBoostingRegressor
5.434,5.642909667942066,GradientBoostingRegressor
3.122,3.669275284312855,GradientBoostingRegressor
1.946,3.188531214221505,GradientBoostingRegressor
2.197,3.188531214221505,GradientBoostingRegressor
3.494,3.679732930524277,GradientBoostingRegressor
3.268,3.7133901094111397,GradientBoostingRegressor
4.556,4.414075355690313,GradientBoostingRegressor
2.522,3.4173448861091797,GradientBoostingRegressor
3.326,3.6838896034658424,GradientBoostingRegressor
5.139,5.624570592311233,GradientBoostingRegressor
1.939,3.4242225490821783,GradientBoostingRegressor
1.85,2.7024473085906258,GradientBoostingRegressor
2.879,3.4621,RandomForestRegressor
8.194,7.10336,RandomForestRegressor
7.917,7.029159999999999,RandomForestRegressor
6.559,6.03754,RandomForestRegressor
6.792,5.511220000000001,RandomForestRegressor
1.348,2.891400000000001,RandomForestRegressor
4.775,4.19596,RandomForestRegressor
5.434,5.60966,RandomForestRegressor
4.865,4.58272,RandomForestRegressor
5.434,5.781680000000003,RandomForestRegressor
3.122,3.1612000000000005,RandomForestRegressor
1.946,2.7520200000000004,RandomForestRegressor
2.197,3.05998,RandomForestRegressor
3.494,3.3031400000000004,RandomForestRegressor
3.268,3.6546000000000007,RandomForestRegressor
4.556,3.846760000000001,RandomForestRegressor
2.522,2.91716,RandomForestRegressor
3.326,3.612260000000001,RandomForestRegressor
5.139,5.938820000000001,RandomForestRegressor
1.939,3.098779999999999,RandomForestRegressor
1.85,3.06514,RandomForestRegressor
2.879,3.032677419354839,AdaBoostRegressor
8.194,7.1609298245614,AdaBoostRegressor
7.917,7.072774193548384,AdaBoostRegressor
6.559,6.12435,AdaBoostRegressor
6.792,6.19597222222222,AdaBoostRegressor
1.348,1.8185454545454542,AdaBoostRegressor
4.775,4.531964285714285,AdaBoostRegressor
5.434,6.156550000000001,AdaBoostRegressor
4.865,5.092136363636364,AdaBoostRegressor
5.434,6.132434782608695,AdaBoostRegressor
3.122,3.228238095238095,AdaBoostRegressor
1.946,2.4990400000000004,AdaBoostRegressor
2.197,2.646068181818182,AdaBoostRegressor
3.494,3.135434782608696,AdaBoostRegressor
3.268,3.2462999999999993,AdaBoostRegressor
4.556,4.429121212121212,AdaBoostRegressor
2.522,2.598142857142857,AdaBoostRegressor
3.326,3.2391666666666663,AdaBoostRegressor
5.139,6.248511627906976,AdaBoostRegressor
1.939,3.2472500000000006,AdaBoostRegressor
1.85,2.0396363636363635,AdaBoostRegressor
2.879,3.0098,KNeighborsRegressor
8.194,5.9186,KNeighborsRegressor
7.917,7.089,KNeighborsRegressor
6.559,5.9126,KNeighborsRegressor
6.792,3.7516,KNeighborsRegressor
1.348,1.9835999999999998,KNeighborsRegressor
4.775,3.6079999999999997,KNeighborsRegressor
5.434,6.801399999999999,KNeighborsRegressor
4.865,4.99,KNeighborsRegressor
5.434,5.984,KNeighborsRegressor
3.122,3.431,KNeighborsRegressor
1.946,3.6369999999999996,KNeighborsRegressor
2.197,2.7738000000000005,KNeighborsRegressor
3.494,2.9978,KNeighborsRegressor
3.268,3.3310000000000004,KNeighborsRegressor
4.556,3.4095999999999997,KNeighborsRegressor
2.522,2.6125999999999996,KNeighborsRegressor
3.326,4.3912,KNeighborsRegressor
5.139,6.4958,KNeighborsRegressor
1.939,5.2402,KNeighborsRegressor
1.85,4.076,KNeighborsRegressor
2.879,3.4842567810150964,MLPRegressor
8.194,7.344852718591076,MLPRegressor
7.917,8.332772868954846,MLPRegressor
6.559,5.235527623332916,MLPRegressor
6.792,6.909127781837743,MLPRegressor
1.348,1.5724180718229992,MLPRegressor
4.775,3.126080540238492,MLPRegressor
5.434,4.302954072835816,MLPRegressor
4.865,5.3343366716945075,MLPRegressor
5.434,4.742156850419758,MLPRegressor
3.122,4.110085617067676,MLPRegressor
1.946,3.140075699388196,MLPRegressor
2.197,2.2873434428316806,MLPRegressor
3.494,3.0526088440214405,MLPRegressor
3.268,4.426069694830673,MLPRegressor
4.556,2.0107251445042955,MLPRegressor
2.522,2.540546678733433,MLPRegressor
3.326,3.5698284747156857,MLPRegressor
5.139,4.823462898740965,MLPRegressor
1.939,2.5839574411514707,MLPRegressor
1.85,3.1231640600193034,MLPRegressor
2.879,3.3374301501803347,ElasticNet
8.194,6.110006241276251,ElasticNet
7.917,6.04072776892615,ElasticNet
6.559,5.5051808304550285,ElasticNet
6.792,5.342132783214142,ElasticNet
1.348,3.9270519074760712,ElasticNet
4.775,3.5681710459306695,ElasticNet
5.434,5.788717106610684,ElasticNet
4.865,4.384158179499073,ElasticNet
5.434,5.73787233744236,ElasticNet
3.122,3.706908276163064,ElasticNet
1.946,3.5670243603962897,ElasticNet
2.197,3.4484823213472633,ElasticNet
3.494,3.4584879146128795,ElasticNet
3.268,3.812277997352134,ElasticNet
4.556,4.031303286308506,ElasticNet
2.522,3.529989700862771,ElasticNet
3.326,3.5513527971754426,ElasticNet
5.139,5.925312943465458,ElasticNet
1.939,3.8136157220406757,ElasticNet
1.85,3.8723400929197407,ElasticNet
2.879,2.4339642557710577,SGDRegressor
8.194,4.623080467733471,SGDRegressor
7.917,5.070267743426911,SGDRegressor
6.559,4.775086438047807,SGDRegressor
6.792,4.298356283936364,SGDRegressor
1.348,2.196080693042277,SGDRegressor
4.775,1.9798291895622293,SGDRegressor
5.434,4.664456500838264,SGDRegressor
4.865,3.274463749197246,SGDRegressor
5.434,4.709161727954882,SGDRegressor
3.122,2.9855547644443674,SGDRegressor
1.946,2.074841136507562,SGDRegressor
