Actual,Predicted,Model
0.775,4.796519131395616,Ridge
1.32,-5.307980576455247,Ridge
5.35,7.6331792160853595,Ridge
0.6,-5.306217800050877,Ridge
1.0,-2.614102866615813,Ridge
3.52,19.604596152599708,Ridge
3.572,-6.865643026104085,Ridge
10.0,2.44806567858911,Ridge
2.04,12.380058172885605,Ridge
2.275,-4.434161946963901,Ridge
1.05,-2.4078068944594797,Ridge
0.84,6.852868772939225,Ridge
3.7,22.45065047225769,Ridge
10.0,7.731624653381484,Ridge
1.8,-1.360873194817966,Ridge
10.0,12.261064064536296,Ridge
5.824,3.680151728321686,Ridge
1.4,14.570598143113834,Ridge
4.04,13.97582265172569,Ridge
3.6,-5.087821648737684,Ridge
1.05,-1.3562019110027528,Ridge
0.775,1.9,DecisionTreeRegressor
1.32,3.775,DecisionTreeRegressor
5.35,3.792,DecisionTreeRegressor
0.6,1.9,DecisionTreeRegressor
1.0,4.52,DecisionTreeRegressor
3.52,5.3,DecisionTreeRegressor
3.572,1.92,DecisionTreeRegressor
10.0,0.4,DecisionTreeRegressor
2.04,1.125,DecisionTreeRegressor
2.275,4.22,DecisionTreeRegressor
1.05,1.825,DecisionTreeRegressor
0.84,3.047,DecisionTreeRegressor
3.7,6.26,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.8,1.475,DecisionTreeRegressor
10.0,0.943,DecisionTreeRegressor
5.824,3.905,DecisionTreeRegressor
1.4,1.55,DecisionTreeRegressor
4.04,10.0,DecisionTreeRegressor
3.6,1.875,DecisionTreeRegressor
1.05,0.725,DecisionTreeRegressor
0.775,6.276638632811431,GradientBoostingRegressor
1.32,6.276638632811431,GradientBoostingRegressor
5.35,6.276638632811431,GradientBoostingRegressor
0.6,6.276638632811431,GradientBoostingRegressor
1.0,6.276638632811431,GradientBoostingRegressor
3.52,6.276638632811431,GradientBoostingRegressor
3.572,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.276638632811431,GradientBoostingRegressor
2.275,6.276638632811431,GradientBoostingRegressor
1.05,6.276638632811431,GradientBoostingRegressor
