Actual,Predicted,Model
0.775,8.215802661856078,Ridge
1.32,-8.892953345617194,Ridge
5.35,10.676683158185845,Ridge
0.6,-11.188311918095827,Ridge
1.0,4.7742449957939,Ridge
3.52,8.5557726825669,Ridge
3.572,-3.664674205541864,Ridge
10.0,6.106206420320113,Ridge
2.04,8.170706472700491,Ridge
2.275,-7.632260492291671,Ridge
1.05,-3.724678974085741,Ridge
0.84,2.5262662188894147,Ridge
3.7,0.19942977928405625,Ridge
10.0,3.4871162543294467,Ridge
1.8,-3.6998966396873456,Ridge
10.0,15.519253750266289,Ridge
5.824,7.94414890351009,Ridge
1.4,10.662646107846665,Ridge
4.04,12.581094014764162,Ridge
3.6,0.8496917160500921,Ridge
1.05,-15.51900531552755,Ridge
0.775,1.175,DecisionTreeRegressor
1.32,2.78,DecisionTreeRegressor
5.35,0.7625,DecisionTreeRegressor
0.6,2.0625,DecisionTreeRegressor
1.0,2.3733333333333335,DecisionTreeRegressor
3.52,10.0,DecisionTreeRegressor
3.572,1.2930000000000001,DecisionTreeRegressor
10.0,1.0316666666666667,DecisionTreeRegressor
2.04,2.3733333333333335,DecisionTreeRegressor
2.275,3.775,DecisionTreeRegressor
1.05,1.335,DecisionTreeRegressor
0.84,0.455,DecisionTreeRegressor
3.7,4.411,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.8,1.925,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.824,10.0,DecisionTreeRegressor
1.4,1.1625,DecisionTreeRegressor
4.04,10.0,DecisionTreeRegressor
3.6,2.4000000000000004,DecisionTreeRegressor
1.05,3.775,DecisionTreeRegressor
0.775,6.276638632811431,GradientBoostingRegressor
1.32,6.276638632811431,GradientBoostingRegressor
5.35,6.276638632811431,GradientBoostingRegressor
0.6,6.276638632811431,GradientBoostingRegressor
1.0,6.276638632811431,GradientBoostingRegressor
3.52,6.276638632811431,GradientBoostingRegressor
3.572,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.276638632811431,GradientBoostingRegressor
2.275,6.276638632811431,GradientBoostingRegressor
