Actual,Predicted,Model
0.775,14.015339444701016,Ridge
1.32,-5.78960701476629,Ridge
5.35,7.106093100134057,Ridge
0.6,-6.49159853813714,Ridge
1.0,-3.2152892779152467,Ridge
3.52,-2.3043845946754686,Ridge
3.572,-2.723073983513032,Ridge
10.0,4.575328666394256,Ridge
2.04,10.831765484560282,Ridge
2.275,-7.709585732214329,Ridge
1.05,-7.743475738984451,Ridge
0.84,-1.6911110613665983,Ridge
3.7,8.154790367770069,Ridge
10.0,7.250954434894279,Ridge
1.8,-7.626393149491491,Ridge
10.0,12.773029938759056,Ridge
5.824,1.1342375276434211,Ridge
1.4,7.590254913594581,Ridge
4.04,19.175399781472507,Ridge
3.6,-5.661752067451644,Ridge
1.05,-5.713546108402255,Ridge
0.775,1.6333333333333335,DecisionTreeRegressor
1.32,4.097666666666666,DecisionTreeRegressor
5.35,1.8250000000000002,DecisionTreeRegressor
0.6,0.5375,DecisionTreeRegressor
1.0,1.7916666666666667,DecisionTreeRegressor
3.52,2.58,DecisionTreeRegressor
3.572,2.3000000000000003,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.04,0.316,DecisionTreeRegressor
2.275,1.6875,DecisionTreeRegressor
1.05,1.65,DecisionTreeRegressor
0.84,2.455666666666666,DecisionTreeRegressor
3.7,0.316,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.8,1.3416666666666666,DecisionTreeRegressor
10.0,3.5973333333333333,DecisionTreeRegressor
5.824,2.3606666666666665,DecisionTreeRegressor
1.4,1.1666666666666667,DecisionTreeRegressor
4.04,2.03,DecisionTreeRegressor
3.6,10.0,DecisionTreeRegressor
1.05,1.6333333333333335,DecisionTreeRegressor
0.775,6.276638632811431,GradientBoostingRegressor
1.32,6.276638632811431,GradientBoostingRegressor
5.35,6.276638632811431,GradientBoostingRegressor
0.6,6.276638632811431,GradientBoostingRegressor
1.0,6.276638632811431,GradientBoostingRegressor
3.52,6.276638632811431,GradientBoostingRegressor
3.572,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.276638632811431,GradientBoostingRegressor
2.275,6.276638632811431,GradientBoostingRegressor
1.05,6.276638632811431,GradientBoostingRegressor
0.84,6.276638632811431,GradientBoostingRegressor
3.7,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
1.8,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
5.824,6.276638632811431,GradientBoostingRegressor
1.4,6.276638632811431,GradientBoostingRegressor
4.04,6.276638632811431,GradientBoostingRegressor
3.6,6.276638632811431,GradientBoostingRegressor
1.05,6.276638632811431,GradientBoostingRegressor
0.775,0.875,RandomForestRegressor
1.32,10.0,RandomForestRegressor
5.35,1.8,RandomForestRegressor
0.6,2.9,RandomForestRegressor
1.0,2.4,RandomForestRegressor
3.52,0.725,RandomForestRegressor
3.572,1.92,RandomForestRegressor
10.0,2.025,RandomForestRegressor
2.04,1.825,RandomForestRegressor
2.275,3.2,RandomForestRegressor
1.05,0.65,RandomForestRegressor
0.84,2.562,RandomForestRegressor
3.7,0.032,RandomForestRegressor
10.0,6.66,RandomForestRegressor
1.8,1.45,RandomForestRegressor
10.0,2.222,RandomForestRegressor
5.824,10.0,RandomForestRegressor
1.4,0.875,RandomForestRegressor
4.04,1.925,RandomForestRegressor
3.6,10.0,RandomForestRegressor
1.05,2.222,RandomForestRegressor
0.775,1.4358467741935481,AdaBoostRegressor
1.32,1.4358467741935481,AdaBoostRegressor
5.35,1.4358467741935481,AdaBoostRegressor
0.6,1.4358467741935481,AdaBoostRegressor
1.0,1.4358467741935481,AdaBoostRegressor
3.52,1.4358467741935481,AdaBoostRegressor
3.572,1.4358467741935481,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.04,1.4358467741935481,AdaBoostRegressor
2.275,1.4358467741935481,AdaBoostRegressor
