Actual,Predicted,Model
0.775,0.984191417778753,Ridge
1.32,0.36714140397456774,Ridge
5.35,8.68733370844965,Ridge
0.6,2.9421612268033996,Ridge
1.0,2.2840938086703453,Ridge
3.52,3.9413629538816153,Ridge
3.572,-3.1372477075153036,Ridge
10.0,6.902800860037246,Ridge
2.04,1.523196420769203,Ridge
2.275,-4.1623641708570425,Ridge
1.05,4.335694266473428,Ridge
0.84,6.867071004308993,Ridge
3.7,8.976086580569419,Ridge
10.0,5.742630390970881,Ridge
1.8,8.545060862231583,Ridge
10.0,3.314957002966487,Ridge
5.824,9.369076472335017,Ridge
1.4,9.82077130446195,Ridge
4.04,0.9301789437980119,Ridge
3.6,5.79424791513074,Ridge
1.05,3.564640381464347,Ridge
0.775,0.9416666666666668,DecisionTreeRegressor
1.32,1.27,DecisionTreeRegressor
5.35,1.6537499999999998,DecisionTreeRegressor
0.6,1.6083333333333334,DecisionTreeRegressor
1.0,1.3416666666666668,DecisionTreeRegressor
3.52,2.7466666666666666,DecisionTreeRegressor
3.572,4.12,DecisionTreeRegressor
10.0,1.5666666666666667,DecisionTreeRegressor
2.04,1.4333333333333336,DecisionTreeRegressor
2.275,2.1333333333333333,DecisionTreeRegressor
1.05,0.39999999999999997,DecisionTreeRegressor
0.84,2.475,DecisionTreeRegressor
3.7,10.0,DecisionTreeRegressor
10.0,2.073,DecisionTreeRegressor
1.8,5.32,DecisionTreeRegressor
10.0,3.0524999999999998,DecisionTreeRegressor
5.824,10.0,DecisionTreeRegressor
1.4,1.7249999999999999,DecisionTreeRegressor
4.04,1.4003333333333332,DecisionTreeRegressor
3.6,2.0,DecisionTreeRegressor
1.05,2.1333333333333333,DecisionTreeRegressor
0.775,6.2769573476624805,GradientBoostingRegressor
1.32,6.2769573476624805,GradientBoostingRegressor
5.35,6.2769573476624805,GradientBoostingRegressor
0.6,6.2769573476624805,GradientBoostingRegressor
1.0,6.2769573476624805,GradientBoostingRegressor
3.52,6.2769573476624805,GradientBoostingRegressor
3.572,6.2769573476624805,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.2769573476624805,GradientBoostingRegressor
2.275,6.2769573476624805,GradientBoostingRegressor
1.05,6.2769573476624805,GradientBoostingRegressor
0.84,6.330873327744297,GradientBoostingRegressor
3.7,6.2769573476624805,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
1.8,6.2769573476624805,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
