Actual,Predicted,Model
0.775,12.454969895773147,Ridge
1.32,-4.592340856539558,Ridge
5.35,9.444440810527698,Ridge
0.6,-4.830151129209163,Ridge
1.0,0.02131617961848775,Ridge
3.52,1.8946900735490573,Ridge
3.572,-0.7539876924540572,Ridge
10.0,5.605155629013037,Ridge
2.04,10.101950830984098,Ridge
2.275,-6.177880013052075,Ridge
1.05,-7.215011618189578,Ridge
0.84,3.8919573319866174,Ridge
3.7,8.340442595161193,Ridge
10.0,3.488987237562956,Ridge
1.8,-2.7745199040373763,Ridge
10.0,16.169779303059514,Ridge
5.824,-0.25956114452407064,Ridge
1.4,10.249162548150732,Ridge
4.04,15.319654549823552,Ridge
3.6,-5.312590397595365,Ridge
1.05,-5.622588644963962,Ridge
0.775,3.22,DecisionTreeRegressor
1.32,1.7309999999999999,DecisionTreeRegressor
5.35,7.65,DecisionTreeRegressor
0.6,0.3,DecisionTreeRegressor
1.0,2.706,DecisionTreeRegressor
3.52,0.5625,DecisionTreeRegressor
3.572,2.3289999999999997,DecisionTreeRegressor
10.0,2.0,DecisionTreeRegressor
2.04,2.2,DecisionTreeRegressor
2.275,10.0,DecisionTreeRegressor
1.05,1.3625,DecisionTreeRegressor
0.84,2.075,DecisionTreeRegressor
3.7,5.2175,DecisionTreeRegressor
10.0,0.7825,DecisionTreeRegressor
1.8,2.32,DecisionTreeRegressor
10.0,3.62,DecisionTreeRegressor
5.824,10.0,DecisionTreeRegressor
1.4,1.2625,DecisionTreeRegressor
4.04,2.275,DecisionTreeRegressor
3.6,2.2,DecisionTreeRegressor
1.05,1.325,DecisionTreeRegressor
0.775,6.276638632811431,GradientBoostingRegressor
1.32,6.276638632811431,GradientBoostingRegressor
5.35,6.276638632811431,GradientBoostingRegressor
0.6,6.276638632811431,GradientBoostingRegressor
1.0,6.276638632811431,GradientBoostingRegressor
3.52,6.276638632811431,GradientBoostingRegressor
3.572,6.276638632811431,GradientBoostingRegressor
