Actual,Predicted,Model
0.775,11.091745856263518,Ridge
1.32,-1.3532892912403192,Ridge
5.35,4.240866884418633,Ridge
0.6,-8.08895835149833,Ridge
1.0,0.03255074530531488,Ridge
3.52,4.666978244853464,Ridge
3.572,1.1472403628420125,Ridge
10.0,5.6141148231808415,Ridge
2.04,9.581714573806579,Ridge
2.275,-4.6565910142880576,Ridge
1.05,-5.403039238244414,Ridge
0.84,4.497621773035501,Ridge
3.7,7.81002220998143,Ridge
10.0,1.6904764426022467,Ridge
1.8,-1.9655058176972666,Ridge
10.0,11.48405755994888,Ridge
5.824,6.307175546359343,Ridge
1.4,9.010969808333876,Ridge
4.04,10.033862163058767,Ridge
3.6,0.48016265144388015,Ridge
1.05,-8.936862240343071,Ridge
0.775,0.8083333333333332,DecisionTreeRegressor
1.32,2.9699999999999998,DecisionTreeRegressor
5.35,1.9673333333333334,DecisionTreeRegressor
0.6,1.3083333333333333,DecisionTreeRegressor
1.0,1.9375,DecisionTreeRegressor
3.52,2.0375,DecisionTreeRegressor
3.572,2.94,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.04,10.0,DecisionTreeRegressor
2.275,3.345,DecisionTreeRegressor
1.05,3.2075,DecisionTreeRegressor
0.84,0.875,DecisionTreeRegressor
3.7,2.7383333333333333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.8,0.35,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.824,3.926,DecisionTreeRegressor
1.4,3.2075,DecisionTreeRegressor
4.04,1.7750000000000001,DecisionTreeRegressor
3.6,2.921333333333333,DecisionTreeRegressor
1.05,0.175,DecisionTreeRegressor
0.775,6.276638632811431,GradientBoostingRegressor
1.32,6.276638632811431,GradientBoostingRegressor
5.35,6.276638632811431,GradientBoostingRegressor
0.6,6.276638632811431,GradientBoostingRegressor
1.0,6.276638632811431,GradientBoostingRegressor
3.52,6.276638632811431,GradientBoostingRegressor
3.572,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.276638632811431,GradientBoostingRegressor
2.275,6.276638632811431,GradientBoostingRegressor
1.05,6.276638632811431,GradientBoostingRegressor
0.84,6.276638632811431,GradientBoostingRegressor
3.7,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
1.8,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
5.824,6.276638632811431,GradientBoostingRegressor
1.4,6.276638632811431,GradientBoostingRegressor
4.04,6.276638632811431,GradientBoostingRegressor
3.6,6.276638632811431,GradientBoostingRegressor
1.05,6.276638632811431,GradientBoostingRegressor
0.775,2.34,RandomForestRegressor
1.32,0.032,RandomForestRegressor
5.35,0.5,RandomForestRegressor
0.6,2.35,RandomForestRegressor
1.0,3.76,RandomForestRegressor
3.52,10.0,RandomForestRegressor
3.572,4.415,RandomForestRegressor
10.0,0.5,RandomForestRegressor
2.04,2.275,RandomForestRegressor
2.275,2.275,RandomForestRegressor
1.05,1.475,RandomForestRegressor
0.84,0.39,RandomForestRegressor
3.7,1.02,RandomForestRegressor
10.0,2.6,RandomForestRegressor
1.8,3.905,RandomForestRegressor
10.0,1.98,RandomForestRegressor
5.824,2.1,RandomForestRegressor
1.4,1.02,RandomForestRegressor
4.04,1.8,RandomForestRegressor
3.6,1.7,RandomForestRegressor
1.05,1.25,RandomForestRegressor
0.775,1.437061068702291,AdaBoostRegressor
1.32,1.437061068702291,AdaBoostRegressor
5.35,1.437061068702291,AdaBoostRegressor
0.6,1.437061068702291,AdaBoostRegressor
1.0,1.437061068702291,AdaBoostRegressor
3.52,1.437061068702291,AdaBoostRegressor
3.572,1.437061068702291,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.04,1.437061068702291,AdaBoostRegressor
2.275,1.437061068702291,AdaBoostRegressor
1.05,1.437061068702291,AdaBoostRegressor
0.84,1.437061068702291,AdaBoostRegressor
3.7,1.437061068702291,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.8,1.437061068702291,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.824,3.5223333333333344,AdaBoostRegressor
1.4,1.437061068702291,AdaBoostRegressor
4.04,3.5223333333333344,AdaBoostRegressor
