Actual,Predicted,Model
0.775,10.73144260493434,Ridge
1.32,-4.97295676028514,Ridge
5.35,6.915320544540847,Ridge
0.6,-10.004940559632079,Ridge
1.0,4.225948069141662,Ridge
3.52,4.4275917019021485,Ridge
3.572,-0.23399629935648392,Ridge
10.0,5.730633133309265,Ridge
2.04,9.790275621662062,Ridge
2.275,-5.489795288952255,Ridge
1.05,-6.648304361957987,Ridge
0.84,4.187794150805054,Ridge
3.7,1.0840198132102437,Ridge
10.0,2.2320561846902223,Ridge
1.8,-2.1146939852957125,Ridge
10.0,10.408724048683993,Ridge
5.824,7.571867967583838,Ridge
1.4,10.028691431589042,Ridge
4.04,10.465085254770798,Ridge
3.6,4.129296964216806,Ridge
1.05,-14.388223581371616,Ridge
0.775,1.92,DecisionTreeRegressor
1.32,1.7,DecisionTreeRegressor
5.35,0.7,DecisionTreeRegressor
0.6,0.9875,DecisionTreeRegressor
1.0,2.2,DecisionTreeRegressor
3.52,3.775,DecisionTreeRegressor
3.572,1.92,DecisionTreeRegressor
10.0,3.15,DecisionTreeRegressor
2.04,2.706,DecisionTreeRegressor
2.275,1.175,DecisionTreeRegressor
1.05,0.1125,DecisionTreeRegressor
0.84,0.39,DecisionTreeRegressor
3.7,2.706,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.8,1.8,DecisionTreeRegressor
10.0,4.52,DecisionTreeRegressor
5.824,10.0,DecisionTreeRegressor
1.4,1.5,DecisionTreeRegressor
4.04,10.0,DecisionTreeRegressor
3.6,2.706,DecisionTreeRegressor
1.05,0.1125,DecisionTreeRegressor
0.775,6.276638632811431,GradientBoostingRegressor
1.32,6.276638632811431,GradientBoostingRegressor
5.35,6.276638632811431,GradientBoostingRegressor
0.6,6.276638632811431,GradientBoostingRegressor
1.0,6.276638632811431,GradientBoostingRegressor
3.52,6.276638632811431,GradientBoostingRegressor
3.572,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
2.04,6.276638632811431,GradientBoostingRegressor
2.275,6.276638632811431,GradientBoostingRegressor
1.05,6.276638632811431,GradientBoostingRegressor
0.84,6.276638632811431,GradientBoostingRegressor
3.7,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
1.8,6.276638632811431,GradientBoostingRegressor
10.0,6.4304103718948165,GradientBoostingRegressor
5.824,6.276638632811431,GradientBoostingRegressor
1.4,6.276638632811431,GradientBoostingRegressor
4.04,6.276638632811431,GradientBoostingRegressor
3.6,6.276638632811431,GradientBoostingRegressor
1.05,6.276638632811431,GradientBoostingRegressor
0.775,8.517777777777777,RandomForestRegressor
1.32,1.5950000000000002,RandomForestRegressor
5.35,0.4,RandomForestRegressor
0.6,1.0625555555555557,RandomForestRegressor
1.0,0.7166666666666667,RandomForestRegressor
3.52,0.5375,RandomForestRegressor
3.572,2.3396,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.04,1.9119999999999997,RandomForestRegressor
2.275,1.1360000000000001,RandomForestRegressor
1.05,1.3999999999999997,RandomForestRegressor
0.84,0.5375,RandomForestRegressor
3.7,7.756,RandomForestRegressor
10.0,0.6625,RandomForestRegressor
1.8,0.5950000000000001,RandomForestRegressor
10.0,1.395,RandomForestRegressor
5.824,7.756,RandomForestRegressor
1.4,1.28,RandomForestRegressor
4.04,0.35,RandomForestRegressor
3.6,8.517777777777777,RandomForestRegressor
1.05,1.1360000000000001,RandomForestRegressor
0.775,1.5529716312056745,AdaBoostRegressor
1.32,1.5529716312056745,AdaBoostRegressor
5.35,1.5529716312056745,AdaBoostRegressor
0.6,1.5529716312056745,AdaBoostRegressor
1.0,1.5529716312056745,AdaBoostRegressor
3.52,1.5529716312056745,AdaBoostRegressor
3.572,1.5529716312056745,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.04,1.5529716312056745,AdaBoostRegressor
2.275,1.5529716312056745,AdaBoostRegressor
1.05,1.5529716312056745,AdaBoostRegressor
0.84,1.5529716312056745,AdaBoostRegressor
3.7,1.5529716312056745,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.8,1.5529716312056745,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.824,3.7222592592592596,AdaBoostRegressor
1.4,1.5529716312056745,AdaBoostRegressor
4.04,3.7222592592592596,AdaBoostRegressor
3.6,1.5529716312056745,AdaBoostRegressor
1.05,1.5529716312056745,AdaBoostRegressor
0.775,0.7631912085651102,KNeighborsRegressor
1.32,3.5259736424640082,KNeighborsRegressor
5.35,3.36973132968171,KNeighborsRegressor
0.6,1.8791546738118388,KNeighborsRegressor
1.0,1.718445903566628,KNeighborsRegressor
3.52,1.5694990210443351,KNeighborsRegressor
3.572,2.2038212349794972,KNeighborsRegressor
10.0,3.4084753685911773,KNeighborsRegressor
2.04,2.039250178342021,KNeighborsRegressor
2.275,1.9109353345184574,KNeighborsRegressor
1.05,1.5809108938469496,KNeighborsRegressor
0.84,3.491317693481574,KNeighborsRegressor
3.7,4.787081409706281,KNeighborsRegressor
10.0,1.7669998923412003,KNeighborsRegressor
1.8,1.3479596612881275,KNeighborsRegressor
10.0,1.3564336566512905,KNeighborsRegressor
5.824,6.684891559013631,KNeighborsRegressor
1.4,1.1285678999320181,KNeighborsRegressor
4.04,2.8719798490209127,KNeighborsRegressor
3.6,1.3695960051026732,KNeighborsRegressor
1.05,1.4014160546546164,KNeighborsRegressor
0.775,1.3113873328290193,MLPRegressor
1.32,0.8773611871696039,MLPRegressor
5.35,2.307979512159679,MLPRegressor
0.6,1.30109797333388,MLPRegressor
1.0,1.5320786970774538,MLPRegressor
