Actual,Predicted,Model
10.0,10.954942191737716,Ridge
10.0,11.150699559442806,Ridge
10.0,7.897488808271943,Ridge
3.168,4.0864751706009095,Ridge
0.748,3.5164434413738146,Ridge
2.288,0.6101188077597666,Ridge
2.498,3.0861293219274746,Ridge
10.0,10.332468858871641,Ridge
2.411,4.305261271337434,Ridge
2.055,0.758009266110232,Ridge
1.742,1.9613797996640194,Ridge
10.0,9.792165534132376,Ridge
3.856,3.7321291490945008,Ridge
10.0,9.287674871450724,Ridge
1.199,1.2847783205008536,Ridge
1.321,1.6242494017418583,Ridge
10.0,12.763124210635128,Ridge
2.146,1.705638654289963,Ridge
2.318,0.3246538486603523,Ridge
2.374,2.6956649797758523,Ridge
3.441,1.3742961415520512,Ridge
10.0,2.387,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.168,3.544,DecisionTreeRegressor
0.748,10.0,DecisionTreeRegressor
2.288,0.986,DecisionTreeRegressor
2.498,0.222,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,2.387,DecisionTreeRegressor
2.055,3.095,DecisionTreeRegressor
1.742,10.0,DecisionTreeRegressor
10.0,0.182,DecisionTreeRegressor
3.856,2.689,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,3.857,DecisionTreeRegressor
1.321,2.819,DecisionTreeRegressor
10.0,2.1,DecisionTreeRegressor
2.146,2.819,DecisionTreeRegressor
2.318,2.944,DecisionTreeRegressor
2.374,10.0,DecisionTreeRegressor
3.441,2.071,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,3.531,RandomForestRegressor
10.0,1.336,RandomForestRegressor
10.0,1.708,RandomForestRegressor
3.168,3.531,RandomForestRegressor
0.748,10.0,RandomForestRegressor
2.288,0.516,RandomForestRegressor
2.498,2.183,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.411,1.984,RandomForestRegressor
2.055,2.629,RandomForestRegressor
1.742,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.856,2.254,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.199,0.702,RandomForestRegressor
1.321,2.844,RandomForestRegressor
10.0,3.111,RandomForestRegressor
2.146,1.406,RandomForestRegressor
2.318,2.518,RandomForestRegressor
2.374,10.0,RandomForestRegressor
3.441,3.058,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.168,2.6329615384615384,AdaBoostRegressor
0.748,1.0297333333333332,AdaBoostRegressor
2.288,2.6329615384615384,AdaBoostRegressor
2.498,1.0297333333333332,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.411,2.6329615384615384,AdaBoostRegressor
2.055,2.6329615384615384,AdaBoostRegressor
1.742,1.0297333333333332,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.856,2.6329615384615384,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.199,2.6329615384615384,AdaBoostRegressor
1.321,2.6329615384615384,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.146,2.6329615384615384,AdaBoostRegressor
2.318,2.6329615384615384,AdaBoostRegressor
2.374,2.6329615384615384,AdaBoostRegressor
3.441,2.6329615384615384,AdaBoostRegressor
10.0,6.366225919401802,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,7.146165337173937,KNeighborsRegressor
3.168,3.2196687660343106,KNeighborsRegressor
0.748,4.025509816581894,KNeighborsRegressor
2.288,1.4888028360687937,KNeighborsRegressor
2.498,3.398856786674859,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
2.411,4.180835870218962,KNeighborsRegressor
2.055,2.76024979406556,KNeighborsRegressor
1.742,2.0305059495444455,KNeighborsRegressor
10.0,7.947281400140688,KNeighborsRegressor
3.856,2.918209798009828,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
1.199,1.5190147002754437,KNeighborsRegressor
1.321,2.6999556086856074,KNeighborsRegressor
10.0,7.324867319994058,KNeighborsRegressor
2.146,3.739933531519132,KNeighborsRegressor
2.318,2.222246856017673,KNeighborsRegressor
2.374,5.342665755862556,KNeighborsRegressor
3.441,2.414714835805185,KNeighborsRegressor
10.0,8.45934251409964,MLPRegressor
10.0,10.007945647883025,MLPRegressor
10.0,6.5674540831515635,MLPRegressor
3.168,6.724608868109253,MLPRegressor
0.748,2.664718520867977,MLPRegressor
2.288,1.666816359562801,MLPRegressor
2.498,1.6656255606198767,MLPRegressor
10.0,11.01472086152761,MLPRegressor
2.411,2.6120751586666024,MLPRegressor
2.055,1.8575586621401692,MLPRegressor
1.742,0.3424024205847514,MLPRegressor
10.0,9.764379020957644,MLPRegressor
3.856,3.049513889186769,MLPRegressor
10.0,10.24459833355316,MLPRegressor
1.199,1.98685497349812,MLPRegressor
1.321,3.567450256480079,MLPRegressor
10.0,6.754096376086357,MLPRegressor
2.146,1.8981207247271066,MLPRegressor
2.318,2.3414284987938982,MLPRegressor
2.374,0.35130368470023365,MLPRegressor
3.441,3.564557153657116,MLPRegressor
10.0,-0.5319503257509552,ElasticNet
10.0,9.358886635631782,ElasticNet
10.0,8.62834831808652,ElasticNet
3.168,11.24916489493258,ElasticNet
0.748,3.45116749823954,ElasticNet
2.288,2.6227900018710546,ElasticNet
2.498,0.06805725186218936,ElasticNet
10.0,10.11754710584514,ElasticNet
2.411,14.680857905594792,ElasticNet
2.055,2.8373720138483858,ElasticNet
1.742,1.0913645893814046,ElasticNet
10.0,6.100963576563247,ElasticNet
3.856,-0.1886588461082308,ElasticNet
10.0,14.85642560716935,ElasticNet
1.199,3.8286917370162143,ElasticNet
1.321,32.44053930615857,ElasticNet
10.0,6.39127072301948,ElasticNet
2.146,4.369527358011032,ElasticNet
2.318,-1.1055701458698746,ElasticNet
2.374,5.453182595079769,ElasticNet
3.441,4.03782338976714,ElasticNet
10.0,4.4957620918620425,SGDRegressor
10.0,4.618265520489038,SGDRegressor
10.0,2.0326867561211084,SGDRegressor
3.168,2.9644783600171674,SGDRegressor
0.748,1.514631444213974,SGDRegressor
2.288,0.6627201992651095,SGDRegressor
2.498,2.276615837954359,SGDRegressor
10.0,4.715173479931362,SGDRegressor
2.411,3.056728999327916,SGDRegressor
2.055,1.7865970004394813,SGDRegressor
1.742,1.125268841524013,SGDRegressor
10.0,4.383582547959094,SGDRegressor
3.856,2.7381424994241685,SGDRegressor
10.0,4.874128544007492,SGDRegressor
1.199,0.4732804971790343,SGDRegressor
1.321,2.5784899024219428,SGDRegressor
10.0,4.335233314025059,SGDRegressor
2.146,1.6729380403614216,SGDRegressor
2.318,2.061047697282004,SGDRegressor
2.374,1.0962756493016879,SGDRegressor
3.441,2.588679051914897,SGDRegressor
10.0,11.19143122325002,BayesianRidge
10.0,11.460643728582706,BayesianRidge
10.0,7.949507950980992,BayesianRidge
3.168,4.2690934958651345,BayesianRidge
0.748,2.9423857573718255,BayesianRidge
2.288,0.30767314973330784,BayesianRidge
2.498,3.196300262335587,BayesianRidge
10.0,10.46628790970907,BayesianRidge
2.411,4.279063530447315,BayesianRidge
2.055,0.847928168323886,BayesianRidge
1.742,1.955968062881178,BayesianRidge
10.0,9.754481477659224,BayesianRidge
3.856,3.797192139170882,BayesianRidge
10.0,9.27377488702069,BayesianRidge
1.199,1.331492707000237,BayesianRidge
1.321,1.5171336929530739,BayesianRidge
10.0,12.99665302592967,BayesianRidge
2.146,2.0011476520362184,BayesianRidge
2.318,0.3177489121623065,BayesianRidge
2.374,3.0858228814909143,BayesianRidge
3.441,0.6084075842105463,BayesianRidge
10.0,4.0730613950662455,KernelRidge
10.0,11.425516493771834,KernelRidge
10.0,5.783654078102375,KernelRidge
3.168,3.079109486772617,KernelRidge
0.748,3.439300983762595,KernelRidge
2.288,5.796033667922551,KernelRidge
2.498,6.348706506436702,KernelRidge
10.0,11.46267958608326,KernelRidge
2.411,1.9798325187826757,KernelRidge
2.055,2.220753964162247,KernelRidge
1.742,2.189232998642397,KernelRidge
10.0,6.063302809003326,KernelRidge
3.856,2.285961399741987,KernelRidge
10.0,11.029464594735176,KernelRidge
1.199,0.3432497694036285,KernelRidge
1.321,4.364633960589222,KernelRidge
10.0,4.169926573407833,KernelRidge
2.146,2.6315196355096915,KernelRidge
2.318,3.1816571456957745,KernelRidge
2.374,3.431752719206074,KernelRidge
3.441,0.9794104044503988,KernelRidge
10.0,11.596005295035837,LinearRegression
10.0,10.840025184476687,LinearRegression
10.0,7.3032112357817915,LinearRegression
3.168,3.794430411336867,LinearRegression
0.748,2.2046133909903407,LinearRegression
2.288,1.275603430007326,LinearRegression
