Actual,Predicted,Model
10.0,9.899642091311751,Ridge
10.0,11.161480616961608,Ridge
10.0,7.547211153298607,Ridge
3.168,4.365614070633202,Ridge
0.748,3.4833528507908156,Ridge
2.288,1.7279392353054366,Ridge
2.498,1.77510563469143,Ridge
10.0,10.622778733604463,Ridge
2.411,5.171774246386993,Ridge
2.055,1.2904712749304466,Ridge
1.742,1.2985206360855344,Ridge
10.0,9.53334135274881,Ridge
3.856,3.7229061044372003,Ridge
10.0,8.924530075351472,Ridge
1.199,2.9974299994247318,Ridge
1.321,2.8988384223404733,Ridge
10.0,10.683348542125296,Ridge
2.146,1.5382747054163843,Ridge
2.318,0.283384277513516,Ridge
2.374,3.711704002877452,Ridge
3.441,1.3871792776959087,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.168,3.084,DecisionTreeRegressor
0.748,0.764,DecisionTreeRegressor
2.288,2.8015,DecisionTreeRegressor
2.498,1.709,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,3.108,DecisionTreeRegressor
2.055,2.82,DecisionTreeRegressor
1.742,0.972,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.856,2.338,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,3.8245,DecisionTreeRegressor
1.321,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.146,2.376,DecisionTreeRegressor
2.318,1.9315,DecisionTreeRegressor
2.374,-0.499,DecisionTreeRegressor
3.441,3.531,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,2.786,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.168,3.0765000000000002,RandomForestRegressor
0.748,0.699,RandomForestRegressor
2.288,3.143,RandomForestRegressor
2.498,0.6105,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.411,2.338,RandomForestRegressor
2.055,0.699,RandomForestRegressor
1.742,1.281,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.856,0.736,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.199,2.885,RandomForestRegressor
1.321,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.146,3.857,RandomForestRegressor
2.318,1.899,RandomForestRegressor
2.374,0.699,RandomForestRegressor
3.441,-0.292,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.168,3.1549285714285715,AdaBoostRegressor
0.748,0.924128205128205,AdaBoostRegressor
2.288,3.1549285714285715,AdaBoostRegressor
2.498,0.924128205128205,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.411,3.1549285714285715,AdaBoostRegressor
2.055,3.1549285714285715,AdaBoostRegressor
1.742,0.924128205128205,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.856,3.1549285714285715,AdaBoostRegressor
