Actual,Predicted,Model
10.0,13.389943856513375,Ridge
10.0,8.391616541547272,Ridge
10.0,9.101836687853172,Ridge
3.168,5.496052329646094,Ridge
0.748,2.669637479665397,Ridge
2.288,3.1165673361726984,Ridge
2.498,2.163423725635763,Ridge
10.0,10.276682104702605,Ridge
2.411,2.358766837584138,Ridge
2.055,-0.040997312051329615,Ridge
1.742,2.0957117196307156,Ridge
10.0,14.028743200300015,Ridge
3.856,4.162532975814709,Ridge
10.0,10.14827329159318,Ridge
1.199,4.53353136152467,Ridge
1.321,0.7448094761785118,Ridge
10.0,8.708212175769662,Ridge
2.146,5.363876587465589,Ridge
2.318,2.657266833409828,Ridge
2.374,4.178719223976998,Ridge
3.441,3.2878275977005185,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,1.5070000000000001,DecisionTreeRegressor
3.168,2.392,DecisionTreeRegressor
0.748,0.12000000000000001,DecisionTreeRegressor
2.288,3.436,DecisionTreeRegressor
2.498,2.0855,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,3.1316666666666664,DecisionTreeRegressor
2.055,1.5070000000000001,DecisionTreeRegressor
1.742,2.65425,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.856,3.001,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,2.40325,DecisionTreeRegressor
1.321,4.1842500000000005,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.146,4.1842500000000005,DecisionTreeRegressor
2.318,2.392,DecisionTreeRegressor
2.374,3.13275,DecisionTreeRegressor
3.441,1.6235,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,2.82,RandomForestRegressor
3.168,2.817,RandomForestRegressor
0.748,2.817,RandomForestRegressor
2.288,2.5015,RandomForestRegressor
2.498,3.731,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.411,1.651,RandomForestRegressor
2.055,2.82,RandomForestRegressor
1.742,0.4275,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.856,2.817,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.199,1.3885,RandomForestRegressor
1.321,10.0,RandomForestRegressor
10.0,2.817,RandomForestRegressor
2.146,2.817,RandomForestRegressor
