Actual,Predicted,Model
10.0,6.004217653586138,Ridge
10.0,10.598830152868553,Ridge
10.0,8.011898380165603,Ridge
3.168,0.5488334874829803,Ridge
0.748,7.745496675971436,Ridge
2.288,5.449284064294133,Ridge
2.498,3.108810715171426,Ridge
10.0,11.081933935916448,Ridge
2.411,12.339155716953835,Ridge
2.055,-1.890399460160662,Ridge
1.742,-1.2142760024667485,Ridge
10.0,9.44030571048605,Ridge
3.856,1.6720065945859286,Ridge
10.0,9.44005596555119,Ridge
1.199,0.004219762735582222,Ridge
1.321,6.427026079517711,Ridge
10.0,12.388311707883695,Ridge
2.146,3.066438073947655,Ridge
2.318,-2.9668318239716935,Ridge
2.374,-2.164140165411963,Ridge
3.441,-1.4449596747164684,Ridge
10.0,3.058,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,1.406,DecisionTreeRegressor
3.168,3.544,DecisionTreeRegressor
0.748,10.0,DecisionTreeRegressor
2.288,2.056,DecisionTreeRegressor
2.498,1.362,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,3.108,DecisionTreeRegressor
2.055,2.82,DecisionTreeRegressor
1.742,0.516,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.856,1.406,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,0.26,DecisionTreeRegressor
1.321,10.0,DecisionTreeRegressor
10.0,1.062,DecisionTreeRegressor
2.146,2.425,DecisionTreeRegressor
2.318,10.0,DecisionTreeRegressor
2.374,10.0,DecisionTreeRegressor
3.441,3.56,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
1.742,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.856,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
1.199,9.840200902790299,GradientBoostingRegressor
1.321,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.146,9.840200902790299,GradientBoostingRegressor
2.318,9.840200902790299,GradientBoostingRegressor
2.374,9.840200902790299,GradientBoostingRegressor
3.441,9.840200902790299,GradientBoostingRegressor
10.0,1.0035714285714286,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,2.186166666666667,RandomForestRegressor
3.168,2.5412,RandomForestRegressor
0.748,0.33859999999999996,RandomForestRegressor
2.288,0.9875,RandomForestRegressor
2.498,5.668,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.411,4.49875,RandomForestRegressor
2.055,2.4650000000000003,RandomForestRegressor
1.742,0.7655,RandomForestRegressor
10.0,1.0035714285714286,RandomForestRegressor
3.856,2.8798000000000004,RandomForestRegressor
10.0,10.0,RandomForestRegressor
1.199,1.83175,RandomForestRegressor
1.321,1328.184,RandomForestRegressor
10.0,1.83175,RandomForestRegressor
2.146,2.4650000000000003,RandomForestRegressor
2.318,2.5412,RandomForestRegressor
2.374,2.4690000000000003,RandomForestRegressor
3.441,0.9875,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.168,2.79710606060606,AdaBoostRegressor
0.748,1.2791372549019606,AdaBoostRegressor
2.288,2.79710606060606,AdaBoostRegressor
2.498,1.2791372549019606,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.411,2.79710606060606,AdaBoostRegressor
2.055,2.79710606060606,AdaBoostRegressor
1.742,1.2791372549019606,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.856,2.79710606060606,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.199,1.2791372549019606,AdaBoostRegressor
1.321,1.2791372549019606,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.146,2.79710606060606,AdaBoostRegressor
2.318,2.79710606060606,AdaBoostRegressor
2.374,1.2791372549019606,AdaBoostRegressor
3.441,2.79710606060606,AdaBoostRegressor
10.0,5.636414234955915,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,6.414861190769152,KNeighborsRegressor
3.168,3.3342944594395707,KNeighborsRegressor
0.748,3.9843692443249648,KNeighborsRegressor
2.288,1.7855927809241339,KNeighborsRegressor
2.498,3.171736703162164,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
2.411,4.381809052072584,KNeighborsRegressor
2.055,2.405416920436063,KNeighborsRegressor
1.742,3.000905333034413,KNeighborsRegressor
10.0,8.539434034078294,KNeighborsRegressor
3.856,2.743364489530065,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
1.199,1.623696242906376,KNeighborsRegressor
1.321,2.6944211417159525,KNeighborsRegressor
10.0,5.690397419717551,KNeighborsRegressor
2.146,3.4790246810866843,KNeighborsRegressor
2.318,2.217610478599315,KNeighborsRegressor
2.374,4.641132743656721,KNeighborsRegressor
3.441,2.461707136747485,KNeighborsRegressor
10.0,9.435903919006265,MLPRegressor
10.0,9.799395858542894,MLPRegressor
10.0,5.161362515807037,MLPRegressor
3.168,2.5343097843853113,MLPRegressor
0.748,0.9991539965043305,MLPRegressor
2.288,1.917265948130967,MLPRegressor
2.498,1.7341491308724462,MLPRegressor
10.0,11.9369422796272,MLPRegressor
2.411,5.744618702295959,MLPRegressor
2.055,2.7020952894076053,MLPRegressor
1.742,1.7944855251264862,MLPRegressor
10.0,8.34448645159737,MLPRegressor
3.856,3.167381878213903,MLPRegressor
10.0,8.921181104808463,MLPRegressor
1.199,3.255640813957131,MLPRegressor
1.321,2.200230128760699,MLPRegressor
10.0,5.622384042284166,MLPRegressor
2.146,2.8459292042346007,MLPRegressor
2.318,1.2527550687287083,MLPRegressor
2.374,1.8640959673351685,MLPRegressor
3.441,4.050309533239821,MLPRegressor
10.0,-1.82531103759597,ElasticNet
10.0,8.3826548501973,ElasticNet
10.0,10.294465148133451,ElasticNet
3.168,11.539037116705634,ElasticNet
0.748,8.348214196260251,ElasticNet
2.288,1.0924865038813074,ElasticNet
2.498,-0.7574802271981653,ElasticNet
10.0,8.5402314649861,ElasticNet
2.411,13.911474398217363,ElasticNet
2.055,3.726750948024355,ElasticNet
1.742,1.0792133645487674,ElasticNet
10.0,6.09790062099946,ElasticNet
3.856,-1.642117734652519,ElasticNet
10.0,14.856924372055786,ElasticNet
1.199,5.238586214261944,ElasticNet
1.321,42.9473281759497,ElasticNet
10.0,4.977027758163233,ElasticNet
2.146,4.685506569693888,ElasticNet
2.318,-1.02693824823033,ElasticNet
2.374,3.7029209702992034,ElasticNet
3.441,11.544902448799863,ElasticNet
10.0,5.615907526542133,SGDRegressor
10.0,12.999360791269083,SGDRegressor
10.0,4.969144021779155,SGDRegressor
3.168,4.8072774340499445,SGDRegressor
0.748,2.174439034803431,SGDRegressor
2.288,1.0455844590209367,SGDRegressor
2.498,5.283373629249957,SGDRegressor
10.0,9.000925867291437,SGDRegressor
2.411,9.838730239035085,SGDRegressor
2.055,-1.8869798192745524,SGDRegressor
1.742,-3.9388439690545454,SGDRegressor
10.0,10.274671336985627,SGDRegressor
3.856,4.463627197193216,SGDRegressor
10.0,8.696949323149276,SGDRegressor
1.199,-4.672576845736831,SGDRegressor
1.321,7.419133057455508,SGDRegressor
10.0,11.111285000776848,SGDRegressor
2.146,-2.137940779509245,SGDRegressor
2.318,-1.8458657871527642,SGDRegressor
2.374,5.339512685903439,SGDRegressor
3.441,-0.035340662147332225,SGDRegressor
10.0,10.070339635761597,BayesianRidge
10.0,11.063102192403079,BayesianRidge
10.0,7.765329086899765,BayesianRidge
3.168,4.777559936162305,BayesianRidge
0.748,3.1684639105898267,BayesianRidge
2.288,1.3827551365345485,BayesianRidge
2.498,2.457427329681483,BayesianRidge
10.0,9.699397723443766,BayesianRidge
2.411,3.055865032658124,BayesianRidge
2.055,0.6932388127942719,BayesianRidge
1.742,1.4960554258286702,BayesianRidge
10.0,9.645761048203456,BayesianRidge
3.856,4.272295576282434,BayesianRidge
10.0,8.665444136053086,BayesianRidge
1.199,2.8610806330990037,BayesianRidge
1.321,2.1149935444147374,BayesianRidge
10.0,11.097705811366898,BayesianRidge
2.146,1.6555042999687881,BayesianRidge
2.318,0.7827607752602628,BayesianRidge
2.374,3.4462083865432156,BayesianRidge
3.441,1.3501236565161197,BayesianRidge
10.0,3.753364397353179,KernelRidge
10.0,10.712253900273982,KernelRidge
10.0,5.543556710919429,KernelRidge
3.168,3.5420929479297754,KernelRidge
0.748,6.450802407202933,KernelRidge
2.288,4.435027812012988,KernelRidge
2.498,4.272698021874895,KernelRidge
10.0,10.864924371197642,KernelRidge
2.411,1.739399369980719,KernelRidge
2.055,1.6355599149544613,KernelRidge
1.742,2.1508174299670344,KernelRidge
10.0,6.431819341205599,KernelRidge
3.856,2.2772707122206484,KernelRidge
10.0,10.936853103496627,KernelRidge
1.199,-0.11823233137154343,KernelRidge
1.321,5.3153612725482535,KernelRidge
10.0,3.704593258451566,KernelRidge
2.146,3.104078069132399,KernelRidge
2.318,2.5600135628808314,KernelRidge
2.374,3.04631814670525,KernelRidge
3.441,1.931112162265559,KernelRidge
10.0,11.387638582640104,LinearRegression
10.0,10.931859913587253,LinearRegression
10.0,7.2834411752824515,LinearRegression
3.168,3.884712711204827,LinearRegression
0.748,1.7927072660507086,LinearRegression
2.288,1.2589025958247504,LinearRegression
2.498,4.074933019740574,LinearRegression
10.0,9.690323991407803,LinearRegression
2.411,4.359736804618609,LinearRegression
2.055,1.0660128624090408,LinearRegression
1.742,2.9798269179712857,LinearRegression
10.0,9.649351259562245,LinearRegression
3.856,5.182234674663322,LinearRegression
10.0,8.204757565547439,LinearRegression
1.199,2.5894040432275833,LinearRegression
1.321,4.409265682553015,LinearRegression
10.0,10.839237541420536,LinearRegression
2.146,1.522812491232699,LinearRegression
2.318,1.7215246364799341,LinearRegression
2.374,3.279005232646883,LinearRegression
3.441,2.280302249197881,LinearRegression
10.0,3.875889401167625,RANSACRegressor
10.0,2.8669138750564698,RANSACRegressor
10.0,3.0843513621480927,RANSACRegressor
3.168,1.4650397259015684,RANSACRegressor
0.748,1.7753189530702642,RANSACRegressor
2.288,2.013009212014995,RANSACRegressor
2.498,3.2624741824042824,RANSACRegressor
10.0,4.111595212966337,RANSACRegressor
2.411,2.2696338491868158,RANSACRegressor
2.055,2.131289981728224,RANSACRegressor
1.742,-0.0072097050761605885,RANSACRegressor
10.0,6.912468486366743,RANSACRegressor
3.856,3.22855214877876,RANSACRegressor
10.0,3.841108697122936,RANSACRegressor
1.199,1.6005977210959654,RANSACRegressor
1.321,0.6137376996786617,RANSACRegressor
10.0,7.7638636295589,RANSACRegressor
2.146,2.5711683320832788,RANSACRegressor
2.318,3.910421400400123,RANSACRegressor
2.374,1.2803717665508645,RANSACRegressor
3.441,1.9716275185160963,RANSACRegressor
10.0,13.736149706079141,TheilSenRegressor
10.0,13.269981676930286,TheilSenRegressor
10.0,8.031225208253524,TheilSenRegressor
3.168,2.9604184247231338,TheilSenRegressor
0.748,-1.2601009721012133,TheilSenRegressor
2.288,-1.713668670620704,TheilSenRegressor
2.498,6.788183956236671,TheilSenRegressor
10.0,10.050304678857245,TheilSenRegressor
2.411,-0.2321473434472061,TheilSenRegressor
2.055,-4.065149081672656,TheilSenRegressor
1.742,3.589217275041161,TheilSenRegressor
10.0,10.89340791443474,TheilSenRegressor
3.856,7.45795310590751,TheilSenRegressor
10.0,7.088499303578646,TheilSenRegressor
1.199,-3.2991672067932676,TheilSenRegressor
1.321,9.0709697913144,TheilSenRegressor
10.0,11.087311340085593,TheilSenRegressor
2.146,-0.7466982579867487,TheilSenRegressor
2.318,1.6256182809733115,TheilSenRegressor
2.374,7.31825570158403,TheilSenRegressor
3.441,2.028879842352662,TheilSenRegressor
10.0,8.51953125,TensorFlow
10.0,11.351778984069824,TensorFlow
10.0,2.5502967834472656,TensorFlow
3.168,2.5407779216766357,TensorFlow
0.748,4.470421314239502,TensorFlow
2.288,0.5255929231643677,TensorFlow
2.498,1.4971803426742554,TensorFlow
10.0,10.919922828674316,TensorFlow
2.411,4.559426784515381,TensorFlow
2.055,2.6443278789520264,TensorFlow
1.742,1.7762387990951538,TensorFlow
10.0,8.302409172058105,TensorFlow
3.856,1.2040517330169678,TensorFlow
10.0,10.47899055480957,TensorFlow
1.199,1.3683959245681763,TensorFlow
1.321,7.7437357902526855,TensorFlow
10.0,10.458827018737793,TensorFlow
2.146,2.336151361465454,TensorFlow
2.318,4.039303779602051,TensorFlow
2.374,1.2162574529647827,TensorFlow
3.441,1.0546178817749023,TensorFlow
